ShipmentID,OrderDate,Warehouse,Carrier,ProductCategory,Units,ShippingCost,DistanceMiles,PromisedDays,ActualDays,LateFlag
SH800070,2025-12-26,New Jersey,NorthStar,Electronics,388,371.68,2938,2,1,False
SH800071,2025-01-23,New Jersey,FastShip,Health,489,20.03,1317,2,3,True
SH800072,2025-12-12,Atlanta,BlueFreight,Apparel,340,1355.17,810,3,3,False
SH800073,2025-02-05,Atlanta,RoadRunner,Office,149,663.97,206,2,1,False
SH800074,2025-10-23,LA,RoadRunner,Apparel,191,1022.18,2091,7,8,True
SH800075,2025-02-17,Atlanta,BlueFreight,Home,373,1321.7,652,7,6,False
SH800076,2025-02-10,LA,BlueFreight,Health,19,947.81,1103,3,3,False
SH800077,2025-02-27,Atlanta,RoadRunner,Apparel,449,954.58,520,5,8,True
SH800078,2025-01-15,Atlanta,FastShip,Office,324,534.3,146,10,12,True
SH800079,2025-01-21,Atlanta,BlueFreight,Health,311,665.02,1181,2,3,True
SH800080,2025-08-20,Dallas,NorthStar,Health,5,166.0,2482,10,13,True
SH800081,2025-07-08,Atlanta,RoadRunner,Apparel,124,559.22,1469,2,1,False
SH800082,2025-12-18,Dallas,RoadRunner,Apparel,1,229.77,1289,7,6,False
SH800083,2025-03-08,LA,FastShip,Office,95,1147.31,166,7,10,True
SH800084,2025-04-20,Chicago,FastShip,Electronics,439,617.69,1511,3,3,False
SH800085,2025-09-25,Atlanta,BlueFreight,Office,24,1296.57,100,7,8,True
SH800086,2025-04-07,LA,NorthStar,Office,485,1137.33,1892,5,8,True
SH800087,2025-02-17,Atlanta,NorthStar,Apparel,323,721.57,107,2,2,False
SH800088,2025-12-06,Dallas,NorthStar,Electronics,98,1303.56,1650,7,7,False
SH800089,2025-01-28,Atlanta,FastShip,Health,170,1416.43,472,7,9,True
SH800090,2025-05-21,Atlanta,FastShip,Electronics,100,358.48,622,5,9,True
SH800091,2025-10-07,Chicago,BlueFreight,Home,28,1003.81,2852,10,12,True
SH800092,2025-01-29,Atlanta,RoadRunner,Office,460,213.99,202,5,5,False
SH800093,2025-05-14,New Jersey,RoadRunner,Health,403,885.49,2149,7,9,True
SH800094,2025-01-01,Chicago,RoadRunner,Electronics,385,1172.34,2883,2,4,True
SH800095,2025-03-31,LA,NorthStar,Electronics,336,840.99,1630,2,6,True
SH800096,2025-08-03,New Jersey,FastShip,Office,71,1100.99,722,10,10,False
SH800097,2025-04-15,New Jersey,FastShip,Apparel,95,1072.13,1301,2,4,True
SH800098,2025-01-18,Dallas,NorthStar,Apparel,432,655.03,1264,5,5,False
SH800099,2025-02-15,LA,RoadRunner,Electronics,131,674.69,1983,10,10,False
SH800100,2025-05-27,New Jersey,NorthStar,Apparel,173,1229.2,36,10,13,True
SH800101,2025-06-17,Atlanta,RoadRunner,Health,14,322.96,638,5,5,False
SH800102,2025-09-11,LA,NorthStar,Apparel,296,160.85,2099,10,10,False
SH800103,2025-12-18,New Jersey,NorthStar,Apparel,142,743.22,1435,10,12,True
SH800104,2025-06-27,Atlanta,RoadRunner,Apparel,242,1309.75,2048,2,4,True
SH800105,2025-11-12,LA,RoadRunner,Health,295,1029.3,1180,3,7,True
SH800106,2025-08-07,Atlanta,BlueFreight,Apparel,277,636.94,1734,10,12,True
SH800107,2025-05-27,Chicago,FastShip,Office,85,1381.38,365,7,8,True
SH800108,2025-04-27,Dallas,RoadRunner,Office,498,188.25,2230,7,9,True
SH800109,2025-04-21,New Jersey,FastShip,Electronics,294,458.0,1157,3,5,True
SH800110,2025-02-05,LA,BlueFreight,Electronics,324,1119.87,1289,10,14,True
SH800111,2025-08-11,Chicago,FastShip,Office,140,676.54,645,10,13,True
SH800112,2025-01-21,New Jersey,BlueFreight,Electronics,49,802.88,1998,3,3,False
SH800113,2025-06-17,Atlanta,RoadRunner,Apparel,186,674.1,2027,3,3,False
SH800114,2025-12-31,Chicago,BlueFreight,Office,440,824.91,2699,7,7,False
SH800115,2025-11-23,Dallas,FastShip,Apparel,227,518.89,1699,10,11,True
SH800116,2025-05-04,Dallas,BlueFreight,Health,162,1498.58,1098,2,6,True
SH800117,2025-06-25,New Jersey,BlueFreight,Health,409,358.89,2703,7,6,False
SH800118,2025-12-24,Chicago,RoadRunner,Home,473,613.42,2372,5,6,True
SH800119,2025-02-22,Dallas,FastShip,Office,359,1091.76,477,5,5,False
SH800120,2025-10-25,Atlanta,FastShip,Electronics,86,922.77,2688,5,6,True
SH800121,2025-12-03,Dallas,NorthStar,Health,34,1434.07,2313,10,11,True
SH800122,2025-05-11,Atlanta,RoadRunner,Office,23,157.65,772,3,6,True
SH800123,2025-01-13,New Jersey,NorthStar,Apparel,99,1444.44,2497,5,7,True
SH800124,2025-12-24,Dallas,RoadRunner,Apparel,349,815.8,1991,3,5,True
SH800125,2025-08-23,Dallas,NorthStar,Electronics,331,643.25,1679,10,14,True
SH800126,2025-09-06,Dallas,NorthStar,Health,160,828.29,323,3,6,True
SH800127,2025-05-20,New Jersey,RoadRunner,Office,213,693.32,2201,7,6,False
SH800128,2025-04-08,Chicago,RoadRunner,Electronics,371,1238.18,772,2,4,True
SH800129,2025-01-13,Dallas,NorthStar,Apparel,167,1145.71,2900,10,13,True
SH800130,2025-11-29,New Jersey,FastShip,Health,211,980.09,2816,2,6,True
SH800131,2025-02-24,New Jersey,BlueFreight,Electronics,437,1290.93,1450,5,7,True
SH800132,2025-03-29,New Jersey,NorthStar,Electronics,268,1386.42,1951,5,6,True
SH800133,2025-04-15,LA,NorthStar,Electronics,488,876.57,480,3,4,True
SH800134,2025-09-09,LA,RoadRunner,Health,82,1262.59,2370,5,5,False
SH800135,2025-02-22,Atlanta,FastShip,Apparel,256,1176.92,494,10,12,True
SH800136,2025-08-15,Chicago,NorthStar,Office,344,1202.48,2810,10,11,True
SH800137,2025-07-20,Chicago,RoadRunner,Health,484,894.76,1778,2,6,True
SH800138,2025-12-16,Atlanta,BlueFreight,Health,146,150.96,617,2,5,True
SH800139,2025-11-13,Atlanta,RoadRunner,Electronics,193,969.76,2726,7,11,True
SH800140,2025-03-24,New Jersey,NorthStar,Apparel,446,1360.27,1547,3,6,True
SH800141,2025-11-13,Dallas,RoadRunner,Apparel,336,365.75,2859,2,6,True
SH800142,2025-02-07,LA,RoadRunner,Health,344,1489.53,1073,10,9,False
SH800143,2025-06-27,LA,BlueFreight,Electronics,327,1161.88,1470,3,2,False
SH800144,2025-06-30,Dallas,NorthStar,Health,212,81.0,2881,10,12,True
SH800145,2025-01-21,Atlanta,BlueFreight,Electronics,413,1358.26,839,7,7,False
SH800146,2025-07-16,New Jersey,FastShip,Apparel,49,1496.07,702,10,12,True
SH800147,2025-10-31,LA,RoadRunner,Health,92,139.61,2990,10,9,False
SH800148,2025-08-26,New Jersey,NorthStar,Health,296,534.1,2507,5,9,True
SH800149,2025-11-16,Dallas,RoadRunner,Home,486,26.29,1104,2,3,True
SH800150,2025-05-15,Atlanta,RoadRunner,Apparel,45,621.55,1434,10,12,True
SH800151,2025-01-20,New Jersey,NorthStar,Electronics,458,722.09,2954,2,6,True
SH800152,2025-10-22,Atlanta,BlueFreight,Electronics,297,1247.44,1729,3,3,False
SH800153,2025-08-24,New Jersey,NorthStar,Office,370,792.14,824,2,5,True
SH800154,2025-03-27,LA,FastShip,Home,244,1072.14,521,10,10,False
SH800155,2025-05-28,New Jersey,BlueFreight,Home,139,229.42,1626,5,5,False
SH800156,2025-05-04,Dallas,BlueFreight,Health,2,1421.19,973,3,6,True
SH800157,2025-09-14,New Jersey,NorthStar,Electronics,67,920.75,1660,5,7,True
SH800158,2025-05-18,Atlanta,NorthStar,Home,282,1330.42,221,3,6,True
SH800159,2025-05-12,Atlanta,RoadRunner,Electronics,477,340.05,1435,3,5,True
SH800160,2025-11-11,New Jersey,FastShip,Electronics,426,770.09,2685,5,4,False
SH800161,2025-01-07,LA,FastShip,Electronics,254,1096.47,2401,10,9,False
SH800162,2025-06-08,Chicago,FastShip,Home,134,1102.66,1145,3,3,False
SH800163,2025-06-17,LA,BlueFreight,Electronics,278,133.65,369,2,5,True
SH800164,2025-01-05,Chicago,BlueFreight,Home,448,331.77,335,7,7,False
SH800165,2025-12-15,New Jersey,FastShip,Apparel,145,94.81,309,7,8,True
SH800166,2025-03-31,Chicago,NorthStar,Health,159,526.2,753,2,4,True
SH800167,2025-11-07,Atlanta,BlueFreight,Electronics,356,384.9,360,10,12,True
SH800168,2025-03-14,Chicago,RoadRunner,Office,97,1002.46,834,10,14,True
SH800169,2025-08-13,Dallas,RoadRunner,Home,418,1395.03,2243,5,8,True
SH800170,2025-09-14,Atlanta,RoadRunner,Office,327,279.02,1265,3,4,True
SH800171,2025-03-24,Atlanta,FastShip,Office,482,1282.4,1829,2,4,True
SH800172,2025-02-28,LA,FastShip,Home,182,775.62,1257,2,4,True
SH800173,2025-06-10,Dallas,BlueFreight,Apparel,131,1326.79,2974,7,6,False
SH800174,2025-03-19,LA,RoadRunner,Home,203,681.8,2179,3,5,True
SH800175,2025-12-28,LA,NorthStar,Electronics,466,1448.04,1047,3,5,True
SH800176,2025-01-27,New Jersey,FastShip,Apparel,1,1493.83,2858,5,9,True
SH800177,2025-02-26,LA,BlueFreight,Office,286,441.09,1181,10,12,True
SH800178,2025-02-07,Chicago,RoadRunner,Apparel,58,1386.03,1512,3,7,True
SH800179,2025-10-20,Chicago,NorthStar,Office,177,1076.99,1387,3,2,False
SH800180,2025-08-15,Dallas,FastShip,Apparel,390,1114.87,1700,10,10,False
SH800181,2025-03-15,LA,NorthStar,Health,110,275.74,1409,3,3,False
SH800182,2025-07-19,LA,NorthStar,Electronics,288,1187.92,1475,2,1,False
SH800183,2025-04-04,Chicago,BlueFreight,Office,498,1306.18,2977,3,3,False
SH800184,2025-08-19,New Jersey,RoadRunner,Home,187,686.21,2397,5,8,True
SH800185,2025-03-23,Atlanta,RoadRunner,Electronics,101,890.12,2743,3,7,True
SH800186,2025-11-03,LA,RoadRunner,Home,250,612.5,231,5,7,True
SH800187,2025-11-22,Chicago,RoadRunner,Office,456,665.16,1188,3,3,False
SH800188,2025-03-14,New Jersey,FastShip,Apparel,119,1422.82,2296,10,14,True
SH800189,2025-09-23,Atlanta,BlueFreight,Electronics,202,647.17,1267,3,4,True
SH800190,2025-10-03,Atlanta,BlueFreight,Office,134,324.13,2573,3,5,True
SH800191,2025-06-10,Atlanta,FastShip,Apparel,210,904.63,939,2,6,True
SH800192,2025-09-11,Dallas,NorthStar,Home,165,1430.87,1980,2,5,True
SH800193,2025-12-19,New Jersey,NorthStar,Apparel,136,1215.35,422,2,3,True
SH800194,2025-02-06,LA,BlueFreight,Apparel,497,68.41,1557,2,3,True
SH800195,2025-11-20,New Jersey,BlueFreight,Home,295,240.76,2710,3,7,True
SH800196,2025-11-03,Dallas,RoadRunner,Office,72,409.74,1250,10,14,True
SH800197,2025-05-06,Chicago,NorthStar,Apparel,29,1298.4,2520,5,6,True
SH800198,2025-02-11,New Jersey,RoadRunner,Home,30,829.52,319,3,7,True
SH800199,2025-09-09,New Jersey,NorthStar,Health,180,588.04,1496,10,13,True
SH800200,2025-05-28,New Jersey,NorthStar,Home,373,365.94,1152,10,14,True
SH800201,2025-01-07,LA,RoadRunner,Office,169,946.6,1222,3,7,True
SH800202,2025-08-30,Atlanta,FastShip,Home,423,47.71,2742,2,2,False
SH800203,2025-06-18,LA,RoadRunner,Apparel,38,1340.43,2917,2,2,False
SH800204,2025-01-31,LA,RoadRunner,Health,113,745.92,1529,2,3,True
SH800205,2025-07-07,Atlanta,NorthStar,Electronics,17,787.86,291,5,9,True
SH800206,2025-08-31,Atlanta,RoadRunner,Office,27,1024.63,2359,5,7,True
SH800207,2025-12-31,Chicago,NorthStar,Apparel,135,480.41,1208,3,3,False
SH800208,2025-07-14,LA,RoadRunner,Apparel,63,1128.98,2455,3,4,True
SH800209,2025-06-07,New Jersey,BlueFreight,Home,74,1304.86,235,2,2,False
SH800210,2025-10-12,Dallas,BlueFreight,Office,103,689.3,2507,7,10,True
SH800211,2025-05-24,Chicago,NorthStar,Electronics,421,1363.4,298,2,3,True
SH800212,2025-01-27,Atlanta,FastShip,Electronics,243,57.77,2147,3,2,False
SH800213,2025-12-24,New Jersey,BlueFreight,Apparel,42,495.59,2704,10,13,True
SH800214,2025-07-03,New Jersey,BlueFreight,Health,183,300.05,972,2,5,True
SH800215,2025-05-11,Dallas,BlueFreight,Health,393,1282.91,2919,7,10,True
SH800216,2025-07-04,Dallas,NorthStar,Home,450,963.79,995,2,5,True
SH800217,2025-11-18,LA,NorthStar,Home,136,1247.58,2514,3,3,False
SH800218,2025-12-20,LA,BlueFreight,Apparel,465,1121.5,2498,7,9,True
SH800219,2025-10-28,LA,RoadRunner,Electronics,492,182.57,40,7,10,True
SH800220,2025-03-07,LA,FastShip,Home,299,1343.71,537,5,4,False
SH800221,2025-03-06,LA,NorthStar,Health,36,508.82,801,10,9,False
SH800222,2025-05-09,LA,FastShip,Home,138,1144.05,2069,2,2,False
SH800223,2025-11-05,LA,BlueFreight,Electronics,481,399.27,2816,7,10,True
SH800224,2025-11-12,Chicago,RoadRunner,Home,357,523.92,2331,2,4,True
SH800225,2025-07-27,New Jersey,RoadRunner,Home,356,1154.6,2565,2,3,True
SH800226,2025-10-25,LA,NorthStar,Apparel,254,1225.57,851,10,11,True
SH800227,2025-10-03,LA,FastShip,Electronics,224,436.02,166,10,9,False
SH800228,2025-09-22,Dallas,RoadRunner,Apparel,255,1334.9,2553,7,6,False
SH800229,2025-06-05,Chicago,FastShip,Health,117,146.49,1931,5,7,True
SH800230,2025-07-05,Dallas,NorthStar,Health,412,465.19,782,5,8,True
SH800231,2025-08-15,Dallas,FastShip,Health,77,516.6,2337,10,14,True
SH800232,2025-04-09,Dallas,NorthStar,Electronics,416,360.22,1372,5,5,False
SH800233,2025-01-30,Chicago,RoadRunner,Electronics,177,873.3,1341,2,2,False
SH800234,2025-10-21,Dallas,NorthStar,Home,280,1120.03,2482,7,10,True
SH800235,2025-01-27,Dallas,RoadRunner,Office,331,1236.76,2635,7,11,True
SH800236,2025-01-25,Dallas,NorthStar,Electronics,160,512.87,2337,3,6,True
SH800237,2025-04-27,Dallas,BlueFreight,Health,278,430.41,210,10,12,True
SH800238,2025-08-05,Dallas,RoadRunner,Home,170,1098.47,1336,10,9,False
SH800239,2025-05-11,LA,NorthStar,Electronics,189,189.9,2701,5,9,True
SH800240,2025-01-15,New Jersey,NorthStar,Office,302,103.08,1463,5,6,True
SH800241,2025-02-11,Atlanta,RoadRunner,Apparel,113,1128.44,89,7,9,True
SH800242,2025-12-01,Atlanta,FastShip,Health,26,613.62,1650,10,10,False
SH800243,2025-05-26,Chicago,FastShip,Office,207,260.99,178,5,6,True
SH800244,2025-04-26,LA,FastShip,Home,168,1107.7,2111,10,11,True
SH800245,2025-03-22,New Jersey,FastShip,Office,395,1376.05,710,5,7,True
SH800246,2025-01-24,Dallas,FastShip,Electronics,285,1381.19,747,7,6,False
SH800247,2025-09-20,New Jersey,BlueFreight,Health,336,1482.89,858,10,12,True
SH800248,2025-02-20,Chicago,FastShip,Home,69,759.93,253,7,11,True
SH800249,2025-07-02,Dallas,BlueFreight,Office,187,1125.69,242,10,11,True
SH800250,2025-05-27,New Jersey,NorthStar,Office,216,409.95,1503,2,4,True
SH800251,2025-09-06,Atlanta,NorthStar,Apparel,449,227.7,2608,5,4,False
SH800252,2025-02-06,LA,FastShip,Health,282,952.3,999,2,1,False
SH800253,2025-01-30,Chicago,BlueFreight,Office,395,1144.91,1336,5,8,True
SH800254,2025-07-10,Atlanta,FastShip,Office,451,1121.02,1385,2,5,True
SH800255,2025-09-13,Chicago,FastShip,Home,237,912.51,2857,7,6,False
SH800256,2025-08-23,New Jersey,NorthStar,Apparel,259,895.84,728,5,8,True
SH800257,2025-10-05,Dallas,NorthStar,Apparel,118,463.51,2041,2,1,False
SH800258,2025-12-04,Chicago,BlueFreight,Apparel,147,1182.27,115,7,11,True
SH800259,2025-01-19,New Jersey,FastShip,Home,342,1478.38,2642,3,4,True
SH800260,2025-03-16,New Jersey,RoadRunner,Electronics,146,818.14,2502,10,11,True
SH800261,2025-01-19,New Jersey,BlueFreight,Electronics,119,139.09,564,3,4,True
SH800262,2025-06-11,Chicago,RoadRunner,Electronics,126,737.07,1089,5,5,False
SH800263,2025-12-09,LA,RoadRunner,Electronics,487,317.89,570,2,5,True
SH800264,2025-06-13,New Jersey,FastShip,Health,443,874.99,41,2,5,True
SH800265,2025-10-04,Atlanta,BlueFreight,Health,427,787.56,1463,10,10,False
SH800266,2025-02-05,Dallas,FastShip,Home,440,1063.84,1354,10,11,True
SH800267,2025-12-25,Atlanta,RoadRunner,Office,245,45.07,1838,3,6,True
SH800268,2025-11-04,LA,BlueFreight,Office,155,801.58,1310,3,2,False
SH800269,2025-08-13,New Jersey,FastShip,Office,346,40.77,1210,5,6,True
SH800270,2025-02-16,Chicago,NorthStar,Health,156,51.95,2724,5,8,True
SH800271,2025-01-04,Dallas,NorthStar,Office,197,378.35,2920,10,14,True
SH800272,2025-05-26,Chicago,FastShip,Home,490,811.08,2109,5,4,False
SH800273,2025-07-11,Chicago,BlueFreight,Office,442,777.97,2402,3,3,False
SH800274,2025-06-10,Chicago,BlueFreight,Office,358,990.68,2312,10,13,True
SH800275,2025-12-30,New Jersey,FastShip,Apparel,201,809.15,467,2,5,True
SH800276,2025-05-13,New Jersey,FastShip,Health,27,1444.2,1694,7,7,False
SH800277,2025-11-23,Chicago,FastShip,Electronics,263,1218.79,1625,7,11,True
SH800278,2025-04-29,Chicago,NorthStar,Health,331,793.28,84,7,10,True
SH800279,2025-06-07,Atlanta,RoadRunner,Office,53,20.54,2189,2,3,True
SH800280,2025-08-15,Chicago,RoadRunner,Electronics,189,857.09,2540,3,4,True
SH800281,2025-12-15,Atlanta,BlueFreight,Office,96,925.08,733,10,13,True
SH800282,2025-10-09,Chicago,RoadRunner,Apparel,174,511.33,687,5,6,True
SH800283,2025-10-05,LA,NorthStar,Apparel,174,195.7,2061,10,11,True
SH800284,2025-08-31,LA,RoadRunner,Office,384,1006.52,2398,2,6,True
SH800285,2025-04-03,Atlanta,BlueFreight,Office,104,723.51,374,5,9,True
SH800286,2025-10-19,New Jersey,NorthStar,Apparel,430,346.69,612,5,6,True
SH800287,2025-12-01,LA,FastShip,Electronics,444,1046.78,1815,7,9,True
SH800288,2025-05-16,Atlanta,NorthStar,Office,108,1491.04,2507,3,6,True
SH800289,2025-10-26,LA,RoadRunner,Apparel,494,1396.23,1712,2,1,False
SH800290,2025-06-24,LA,NorthStar,Health,155,1017.77,675,5,4,False
SH800291,2025-02-22,Atlanta,FastShip,Health,397,661.11,1607,3,4,True
SH800292,2025-05-02,LA,FastShip,Home,327,1185.97,2322,2,2,False
SH800293,2025-07-17,Dallas,NorthStar,Apparel,21,1201.77,1931,7,8,True
SH800294,2025-11-12,Atlanta,RoadRunner,Home,191,344.48,1744,2,6,True
SH800295,2025-10-28,LA,NorthStar,Apparel,389,1407.89,2570,3,2,False
SH800296,2025-03-25,New Jersey,FastShip,Home,201,159.07,2236,10,10,False
SH800297,2025-07-24,Chicago,FastShip,Office,354,854.48,2309,3,4,True
SH800298,2025-02-08,New Jersey,RoadRunner,Health,164,376.49,1483,5,4,False
SH800299,2025-10-15,Dallas,RoadRunner,Electronics,332,1113.63,1732,10,11,True
SH800300,2025-09-05,Chicago,NorthStar,Electronics,269,1332.21,1004,10,12,True
SH800301,2025-01-26,Atlanta,FastShip,Home,332,227.45,2083,2,4,True
SH800302,2025-05-20,Dallas,NorthStar,Electronics,186,678.7,2164,3,5,True
SH800303,2025-07-22,Dallas,NorthStar,Home,163,667.44,489,10,14,True
SH800304,2025-01-21,Chicago,RoadRunner,Office,182,554.91,2294,3,2,False
SH800305,2025-12-02,Chicago,NorthStar,Apparel,70,1129.7,1579,10,14,True
SH800306,2025-09-11,Atlanta,BlueFreight,Electronics,129,677.53,2734,3,7,True
SH800307,2025-03-17,LA,BlueFreight,Apparel,52,1385.05,2239,5,4,False
SH800308,2025-08-06,Chicago,NorthStar,Health,445,581.51,243,10,13,True
SH800309,2025-09-25,Dallas,NorthStar,Health,445,23.81,2642,7,7,False
SH800310,2025-04-25,LA,BlueFreight,Apparel,233,479.32,1259,3,3,False
SH800311,2025-12-12,Atlanta,FastShip,Office,404,275.98,1775,2,4,True
SH800312,2025-12-04,LA,BlueFreight,Apparel,421,1327.43,507,10,10,False
SH800313,2025-01-23,New Jersey,FastShip,Health,383,301.39,843,10,11,True
SH800314,2025-07-01,Atlanta,NorthStar,Apparel,446,583.72,1106,10,13,True
SH800315,2025-12-02,Dallas,BlueFreight,Apparel,371,655.81,319,10,9,False
SH800316,2025-07-14,LA,RoadRunner,Electronics,2,526.37,2908,3,4,True
SH800317,2025-05-26,LA,RoadRunner,Home,480,27.84,971,5,4,False
SH800318,2025-10-31,Chicago,FastShip,Electronics,99,491.71,980,5,8,True
SH800319,2025-04-03,Dallas,NorthStar,Office,148,176.21,2760,3,7,True
SH800320,2025-02-05,Dallas,FastShip,Apparel,354,296.72,2826,5,6,True
SH800321,2025-05-12,Chicago,NorthStar,Home,344,24.98,284,7,9,True
SH800322,2025-05-19,Dallas,NorthStar,Office,289,223.27,2587,3,7,True
SH800323,2025-12-25,LA,RoadRunner,Electronics,27,288.98,2203,10,11,True
SH800324,2025-11-27,New Jersey,BlueFreight,Electronics,444,1282.4,1712,7,11,True
SH800325,2025-11-26,Dallas,FastShip,Home,463,307.22,212,2,4,True
SH800326,2025-05-26,LA,NorthStar,Health,42,31.14,436,7,11,True
SH800327,2025-10-19,Chicago,BlueFreight,Electronics,364,1457.77,139,3,7,True
