LoanID,ApplicantAge,AnnualIncome,LoanAmount,CreditScore,DebtToIncome,EmploymentLengthYears,LoanPurpose,DefaultFlag
L400130,40,74246.93,31593.54,541,0.37,33,Auto,False
L400131,25,82560.47,49256.03,825,0.154,3,Medical,False
L400132,40,65080.97,53185.82,782,0.066,1,Medical,False
L400133,58,56443.97,42962.32,535,0.093,26,Debt Consolidation,False
L400134,45,100249.33,35693.05,762,0.294,8,Small Business,False
L400135,47,123692.67,23956.73,746,0.159,12,Home Improvement,False
L400136,30,66709.85,15379.63,567,0.432,8,Debt Consolidation,False
L400137,55,89452.74,38987.01,664,0.378,21,Education,False
L400138,46,42951.91,43124.92,833,0.412,15,Education,False
L400139,22,92724.97,29491.45,523,0.117,27,Home Improvement,True
L400140,56,42381.04,56817.22,702,0.598,26,Small Business,False
L400141,41,78570.52,10270.1,659,0.569,21,Small Business,False
L400142,26,86265.58,31557.82,702,0.27,12,Education,False
L400143,42,114271.35,40723.11,670,0.313,5,Small Business,False
L400144,48,18000.0,56610.29,524,0.317,31,Education,True
L400145,52,123394.33,16485.15,761,0.308,4,Home Improvement,False
L400146,51,110910.82,15423.78,848,0.297,34,Auto,False
L400147,69,89015.0,29555.93,736,0.349,15,Auto,False
L400148,47,62211.57,42483.41,838,0.423,5,Home Improvement,False
L400149,59,106239.67,19534.34,756,0.322,15,Home Improvement,False
L400150,58,132488.18,31011.17,785,0.199,3,Medical,False
L400151,64,63545.49,8542.04,763,0.412,11,Auto,False
L400152,69,118694.41,55913.2,550,0.24,34,Debt Consolidation,False
L400153,61,103768.47,12597.43,703,0.107,2,Education,False
L400154,74,112129.76,15938.68,541,0.293,27,Auto,False
L400155,31,97228.53,26024.42,749,0.405,6,Debt Consolidation,True
L400156,60,72810.76,9169.32,608,0.205,31,Education,True
L400157,48,34413.74,57378.68,694,0.64,18,Auto,True
L400158,37,56770.94,39641.27,819,0.585,3,Small Business,False
L400159,60,94161.33,39960.83,694,0.2,33,Medical,False
L400160,73,65901.21,12863.32,579,0.593,12,Debt Consolidation,False
L400161,49,18000.0,21071.13,815,0.184,7,Debt Consolidation,False
L400162,62,53295.42,12381.46,790,0.547,22,Education,True
L400163,72,36710.73,5685.2,528,0.176,1,Medical,False
L400164,22,80458.8,26325.56,682,0.258,32,Auto,False
L400165,48,99859.31,28072.09,823,0.526,5,Medical,False
L400166,74,79275.27,40830.43,695,0.366,4,Home Improvement,False
L400167,50,24773.99,27109.02,816,0.147,20,Small Business,False
L400168,29,60051.55,59359.43,629,0.597,32,Medical,False
L400169,27,38854.1,29748.4,758,0.345,6,Medical,False
L400170,37,67874.68,27492.15,730,0.393,17,Auto,False
L400171,25,96791.01,16720.23,796,0.555,5,Small Business,False
L400172,29,75570.19,37256.94,749,0.285,21,Small Business,False
L400173,24,73526.1,48915.54,532,0.226,29,Auto,True
L400174,42,123015.5,58031.07,697,0.624,18,Medical,False
L400175,29,43915.8,9443.23,703,0.095,20,Home Improvement,False
L400176,29,108366.94,2593.53,781,0.384,16,Medical,False
L400177,57,63039.68,58703.48,648,0.288,32,Debt Consolidation,False
L400178,27,152850.22,25577.06,767,0.213,11,Auto,False
L400179,30,81520.2,40742.87,721,0.097,26,Small Business,False
L400180,46,18000.0,57047.93,707,0.568,27,Debt Consolidation,False
L400181,26,60448.39,2433.82,623,0.485,10,Medical,False
L400182,21,31813.97,11141.14,638,0.346,10,Debt Consolidation,False
L400183,54,140750.97,47777.25,754,0.547,20,Education,False
L400184,63,49632.95,41228.18,525,0.327,22,Education,False
L400185,67,112434.88,27363.59,694,0.631,11,Education,True
L400186,21,102880.34,57590.6,817,0.14,3,Education,False
L400187,22,35089.47,39906.91,548,0.625,0,Medical,True
L400188,24,23643.83,2721.2,830,0.606,11,Small Business,False
L400189,48,103920.47,6997.83,766,0.608,15,Auto,False
L400190,62,61346.89,53199.0,753,0.109,8,Home Improvement,True
L400191,31,72620.13,57551.95,630,0.253,33,Small Business,False
L400192,68,77437.31,15470.24,732,0.513,12,Education,True
L400193,70,18000.0,14230.85,770,0.357,27,Auto,True
L400194,66,69778.61,3567.56,720,0.533,26,Education,False
L400195,43,108741.32,7821.48,740,0.361,0,Medical,False
L400196,37,18000.0,15289.0,590,0.158,0,Small Business,False
L400197,55,98163.09,54705.55,830,0.187,12,Small Business,False
L400198,70,65058.59,8960.33,626,0.587,11,Debt Consolidation,True
L400199,44,35612.09,5527.53,763,0.277,24,Education,False
L400200,47,83086.32,58785.49,785,0.326,8,Home Improvement,False
L400201,65,71448.94,7435.13,587,0.534,23,Debt Consolidation,True
L400202,68,115615.29,11088.37,698,0.562,6,Medical,False
L400203,47,54134.0,32110.47,608,0.25,8,Home Improvement,False
L400204,73,113259.73,17011.82,541,0.133,24,Home Improvement,True
L400205,72,70818.44,25531.96,819,0.116,14,Medical,False
L400206,54,85844.49,25593.56,741,0.584,32,Education,False
L400207,40,60740.28,34909.63,601,0.38,25,Small Business,False
L400208,69,41247.57,2152.66,666,0.278,7,Home Improvement,False
L400209,59,102219.38,48847.33,704,0.293,33,Medical,False
L400210,39,70524.53,21993.08,572,0.478,33,Home Improvement,True
L400211,25,61460.56,59776.03,745,0.209,11,Education,False
L400212,53,103843.64,51475.54,674,0.449,31,Education,False
L400213,29,119939.61,2048.71,553,0.31,3,Auto,False
L400214,38,54993.29,50524.62,689,0.273,31,Medical,False
L400215,49,124560.94,12883.09,575,0.377,22,Small Business,False
L400216,66,46983.74,1008.53,723,0.461,20,Medical,False
L400217,35,78792.87,3659.99,723,0.352,14,Home Improvement,False
L400218,64,99572.74,51713.43,819,0.489,32,Small Business,False
L400219,24,18000.0,21766.04,701,0.255,20,Home Improvement,False
L400220,57,40734.31,20456.67,653,0.203,15,Auto,False
L400221,34,58255.46,48399.66,529,0.369,10,Small Business,False
L400222,55,80520.64,59585.73,698,0.264,7,Home Improvement,False
L400223,35,71996.68,54037.32,755,0.595,20,Home Improvement,False
L400224,45,18000.0,57804.86,818,0.429,6,Education,False
L400225,54,59365.89,6206.56,540,0.315,5,Education,True
L400226,24,21750.75,25093.2,628,0.558,24,Education,False
L400227,29,52041.36,15384.59,766,0.618,2,Home Improvement,False
L400228,67,60714.23,37458.26,551,0.317,15,Auto,False
L400229,71,78545.84,58152.73,581,0.435,30,Medical,False
L400230,49,57309.47,58012.6,703,0.258,22,Medical,False
L400231,36,72659.94,40205.91,693,0.339,1,Medical,False
L400232,35,54292.72,46733.66,571,0.379,1,Home Improvement,True
L400233,73,82267.33,52527.19,729,0.217,13,Home Improvement,False
L400234,61,29863.09,27018.28,707,0.536,20,Debt Consolidation,False
L400235,43,69419.69,33626.39,607,0.153,14,Small Business,False
L400236,45,35014.0,52635.48,628,0.554,17,Medical,True
L400237,60,58723.52,24119.15,644,0.131,16,Small Business,False
L400238,44,78204.97,23146.88,659,0.556,22,Education,False
L400239,57,42799.53,50172.6,702,0.578,32,Debt Consolidation,False
L400240,62,67403.22,52511.09,585,0.244,25,Education,False
L400241,36,60115.15,45878.27,788,0.548,13,Small Business,False
L400242,61,137251.29,28593.21,594,0.181,34,Auto,False
L400243,44,82705.41,25309.02,726,0.319,22,Small Business,False
L400244,73,87398.68,7966.91,756,0.406,30,Education,False
L400245,33,43379.34,20017.44,623,0.645,16,Small Business,False
L400246,42,18000.0,14701.24,549,0.287,13,Small Business,True
L400247,68,51856.2,11976.64,644,0.156,22,Home Improvement,False
L400248,51,19261.28,45288.2,732,0.611,14,Education,True
L400249,68,78288.53,39946.7,715,0.249,34,Medical,False
L400250,27,79947.15,5035.94,536,0.531,2,Home Improvement,True
L400251,40,77758.36,10622.92,694,0.63,31,Medical,False
L400252,70,68762.05,22196.71,655,0.565,22,Debt Consolidation,False
L400253,43,42687.93,26899.25,840,0.187,32,Debt Consolidation,False
L400254,37,47703.05,51152.67,751,0.065,30,Medical,False
L400255,37,84329.25,3300.36,701,0.6,28,Education,True
L400256,70,134787.62,14207.16,585,0.605,11,Small Business,False
L400257,37,78898.81,53254.59,619,0.204,22,Debt Consolidation,True
L400258,27,82832.71,22829.9,654,0.439,31,Medical,False
L400259,25,131944.09,14182.91,837,0.088,21,Education,False
L400260,73,70603.92,35389.99,550,0.398,6,Education,False
L400261,55,41124.56,57703.6,847,0.482,20,Auto,False
L400262,72,83247.7,56114.4,760,0.214,25,Auto,False
L400263,62,124205.56,32009.88,608,0.164,7,Home Improvement,False
L400264,46,100015.46,7124.06,716,0.277,18,Small Business,False
L400265,39,78235.06,9650.9,736,0.63,28,Home Improvement,False
L400266,33,18000.0,19503.71,521,0.094,17,Home Improvement,False
L400267,48,22442.51,51808.21,520,0.213,24,Auto,False
L400268,23,82638.54,48152.1,691,0.054,3,Auto,False
L400269,22,60701.72,58604.91,836,0.348,23,Debt Consolidation,False
L400270,66,68916.41,30865.92,628,0.621,11,Education,False
L400271,55,103159.77,35227.0,814,0.599,24,Medical,False
L400272,59,31741.89,19656.93,539,0.429,10,Medical,False
L400273,38,51992.4,31168.45,611,0.054,24,Medical,False
L400274,51,110413.47,43693.39,739,0.093,26,Auto,False
L400275,28,31893.32,3346.52,530,0.233,5,Education,False
L400276,48,109158.37,53347.01,781,0.526,30,Home Improvement,False
L400277,21,83287.13,37167.17,577,0.343,31,Small Business,False
L400278,49,67965.75,19465.64,599,0.436,8,Debt Consolidation,False
L400279,44,76694.39,20042.09,815,0.56,6,Home Improvement,False
L400280,41,83797.36,59491.09,532,0.088,28,Medical,False
L400281,57,93021.65,18607.85,701,0.281,22,Home Improvement,False
L400282,53,18000.0,33975.62,599,0.362,15,Debt Consolidation,False
L400283,33,112529.12,22217.62,678,0.586,17,Medical,False
L400284,21,79840.18,33683.08,801,0.445,15,Medical,False
L400285,30,108854.82,25988.42,768,0.633,7,Home Improvement,False
L400286,68,86313.4,29797.45,750,0.28,19,Education,False
L400287,54,141865.99,5701.62,696,0.248,31,Education,False
L400288,57,49181.47,4751.05,621,0.129,13,Home Improvement,False
L400289,53,123741.62,51347.79,779,0.271,13,Small Business,False
L400290,65,44417.72,51123.41,676,0.258,6,Debt Consolidation,False
L400291,37,89442.64,58733.31,790,0.32,28,Medical,False
L400292,44,105979.16,37208.25,620,0.459,5,Education,False
L400293,66,72591.81,18817.83,605,0.073,14,Auto,False
L400294,27,18000.0,52663.15,688,0.624,21,Education,False
L400295,53,76286.69,56914.79,695,0.145,32,Home Improvement,False
L400296,65,56926.52,18294.71,788,0.649,20,Education,False
L400297,65,100885.51,25551.58,672,0.23,1,Medical,False
L400298,40,43551.08,30840.64,722,0.173,8,Small Business,False
L400299,70,54547.45,26537.9,743,0.485,31,Debt Consolidation,False
L400300,35,50457.31,35455.06,748,0.176,5,Small Business,False
L400301,57,62001.69,54289.17,655,0.406,32,Debt Consolidation,False
L400302,31,74727.85,55003.88,553,0.539,3,Small Business,True
L400303,36,90294.61,7091.83,648,0.486,29,Debt Consolidation,False
L400304,49,87794.42,43275.7,547,0.569,2,Small Business,True
L400305,57,31085.66,8569.65,813,0.208,20,Small Business,False
L400306,36,44289.96,20240.68,820,0.422,16,Small Business,False
L400307,43,53229.74,24453.79,785,0.295,34,Education,False
L400308,41,60803.6,54631.75,784,0.269,15,Debt Consolidation,False
L400309,30,44281.35,22421.57,837,0.55,11,Auto,False
L400310,52,48003.42,36487.94,735,0.302,13,Small Business,False
L400311,30,113507.58,38400.42,558,0.16,24,Debt Consolidation,True
L400312,48,81861.85,22278.63,564,0.629,6,Debt Consolidation,True
L400313,29,36628.83,42189.73,665,0.273,19,Small Business,False
L400314,51,84794.01,32099.48,794,0.59,11,Home Improvement,True
L400315,46,58816.51,20106.08,789,0.317,5,Medical,False
L400316,73,131110.39,27923.01,828,0.334,6,Medical,False
L400317,53,51821.89,13021.55,768,0.585,20,Auto,False
L400318,54,56177.65,2997.39,712,0.546,24,Education,True
L400319,73,62521.49,22528.5,666,0.16,13,Debt Consolidation,False
L400320,36,36644.95,55098.45,735,0.244,24,Debt Consolidation,False
L400321,57,86825.71,23414.64,654,0.291,4,Small Business,False
L400322,35,73487.87,53264.02,733,0.466,24,Auto,False
L400323,33,82872.25,5791.9,735,0.403,10,Auto,False
L400324,23,72907.48,28796.26,762,0.389,22,Education,False
L400325,66,77888.29,18367.85,760,0.458,0,Medical,False
L400326,48,123911.46,25606.03,620,0.131,26,Home Improvement,False
L400327,74,89591.09,42223.74,781,0.42,34,Home Improvement,False
L400328,25,18000.0,19266.29,728,0.307,18,Small Business,False
L400329,43,81991.08,9153.7,573,0.638,0,Auto,False
L400330,74,109323.86,3416.29,701,0.442,26,Auto,False
L400331,68,18000.0,18753.87,667,0.216,16,Education,True
L400332,62,34779.99,43301.01,552,0.624,12,Medical,True
L400333,61,91230.07,28703.14,727,0.081,1,Education,False
L400334,31,103069.1,59219.97,642,0.387,29,Home Improvement,False
L400335,38,77530.82,14464.28,775,0.496,15,Education,False
L400336,58,85986.02,54813.07,628,0.413,7,Medical,False
L400337,21,115849.43,49579.27,541,0.572,23,Debt Consolidation,False
L400338,72,55553.93,46743.06,804,0.288,33,Debt Consolidation,False
L400339,58,41858.2,42067.18,737,0.554,20,Auto,False
L400340,67,63940.69,2221.82,826,0.265,2,Debt Consolidation,False
L400341,73,77603.19,46431.93,556,0.517,18,Home Improvement,True
L400342,55,82072.48,13268.74,733,0.375,23,Debt Consolidation,False
L400343,28,96711.73,18715.13,646,0.075,4,Auto,False
L400344,29,125297.55,14006.12,543,0.439,27,Education,False
L400345,70,77911.57,26348.47,595,0.39,17,Education,False
L400346,45,31931.74,13644.18,780,0.216,15,Medical,True
L400347,32,47308.25,51337.15,550,0.448,6,Medical,False
L400348,28,76401.44,41115.48,562,0.5,14,Medical,True
L400349,50,118527.76,39009.13,574,0.167,18,Auto,False
L400350,51,92933.68,44701.44,607,0.495,30,Home Improvement,False
L400351,50,43523.57,19700.52,717,0.586,11,Auto,False
L400352,42,51171.16,33610.3,673,0.589,20,Auto,False
L400353,32,62632.68,38950.24,687,0.095,16,Debt Consolidation,False
L400354,27,74372.71,34237.82,533,0.627,26,Medical,False
L400355,22,63286.8,35152.2,813,0.206,6,Auto,False
L400356,31,44019.55,4633.16,630,0.492,32,Debt Consolidation,True
L400357,30,47924.03,27878.99,595,0.307,9,Debt Consolidation,False
L400358,29,69634.75,35134.91,748,0.577,17,Debt Consolidation,False
L400359,42,78705.41,7396.34,545,0.256,20,Home Improvement,False
L400360,49,40885.46,11757.47,768,0.614,11,Medical,False
L400361,31,82283.77,34546.86,655,0.364,8,Education,False
L400362,50,130088.49,11293.34,557,0.369,33,Education,True
L400363,57,78615.19,31200.57,771,0.402,17,Debt Consolidation,False
L400364,42,80736.94,14025.61,675,0.251,6,Medical,False
L400365,47,28112.8,11445.54,554,0.575,31,Education,False
L400366,52,95582.21,47776.86,562,0.144,26,Debt Consolidation,False
L400367,40,53462.9,48803.73,523,0.404,0,Education,True
L400368,39,106259.68,20467.81,595,0.367,34,Small Business,False
L400369,33,129650.14,20074.25,762,0.337,24,Debt Consolidation,False
L400370,55,50334.05,25358.12,532,0.405,29,Education,False
L400371,56,51314.76,12741.2,546,0.289,21,Debt Consolidation,True
L400372,51,89057.88,33437.82,731,0.3,29,Auto,False
L400373,69,31349.69,58339.57,641,0.587,33,Small Business,False
L400374,32,75175.18,45951.79,585,0.414,17,Small Business,True
L400375,56,62744.24,17478.83,634,0.48,34,Education,True
L400376,35,69430.37,21734.36,823,0.233,0,Medical,False
L400377,43,18000.0,12452.0,521,0.528,28,Small Business,True
L400378,36,88215.06,42281.39,608,0.61,10,Education,True
L400379,22,150645.75,20955.64,844,0.199,29,Auto,False
L400380,48,58740.95,52659.66,813,0.169,20,Home Improvement,False
L400381,63,25939.65,43596.86,725,0.144,20,Medical,False
L400382,74,97590.54,22190.0,841,0.398,31,Home Improvement,False
L400383,49,44207.45,23694.66,601,0.187,14,Home Improvement,True
L400384,59,72975.56,8870.77,576,0.265,28,Debt Consolidation,False
L400385,24,49291.84,28736.3,645,0.56,24,Debt Consolidation,False
L400386,22,26270.14,56054.64,589,0.112,12,Small Business,False
L400387,60,81942.14,38649.52,739,0.25,5,Medical,False
L400388,47,49929.06,29479.74,661,0.49,4,Medical,True
L400389,33,20836.44,25060.79,779,0.121,24,Home Improvement,False
L400390,46,81353.62,37143.3,545,0.063,6,Small Business,False
L400391,37,163912.58,54492.48,653,0.396,20,Debt Consolidation,False
L400392,34,104551.01,24352.59,619,0.209,8,Debt Consolidation,True
L400393,56,70764.14,37236.41,704,0.222,6,Debt Consolidation,False
L400394,56,169059.69,58902.86,658,0.477,4,Small Business,False
L400395,31,18000.0,36147.87,631,0.53,11,Debt Consolidation,False
L400396,68,90409.09,41838.11,795,0.612,24,Small Business,False
L400397,38,130636.24,52868.8,526,0.243,6,Small Business,False
L400398,54,39413.84,27907.07,620,0.052,12,Debt Consolidation,True
L400399,58,81649.78,4559.4,599,0.159,5,Auto,False
L400400,48,51829.58,26835.15,618,0.326,21,Medical,False
L400401,38,61137.47,8803.88,691,0.187,13,Education,False
L400402,71,85127.35,53424.45,571,0.407,28,Home Improvement,False
L400403,25,18000.0,47816.35,616,0.485,32,Medical,False
L400404,40,39797.68,46059.35,757,0.635,0,Home Improvement,True
L400405,26,73220.62,25532.12,554,0.357,6,Education,True
L400406,53,18000.0,45416.32,623,0.317,16,Medical,False
L400407,50,60217.04,35106.56,816,0.126,3,Medical,False
L400408,45,23311.08,7247.15,665,0.582,34,Education,False
L400409,74,25146.14,10132.65,754,0.159,33,Medical,False
L400410,62,101487.02,49763.1,589,0.054,4,Auto,False
L400411,49,75174.68,52741.98,806,0.181,15,Debt Consolidation,False
L400412,62,65021.15,38969.71,621,0.51,11,Small Business,False
L400413,73,57901.08,15622.97,648,0.492,10,Medical,False
L400414,56,82060.26,54359.75,837,0.087,12,Medical,False
L400415,69,56702.03,52659.49,757,0.085,21,Home Improvement,False
L400416,48,47883.46,42745.68,635,0.559,17,Medical,False
L400417,68,105479.94,46032.63,729,0.47,31,Medical,True
L400418,37,52289.23,7442.19,643,0.352,17,Small Business,False
L400419,45,114912.7,45601.62,634,0.24,28,Auto,False
L400420,60,54248.25,52683.21,636,0.192,4,Small Business,True
L400421,51,96013.14,41035.63,631,0.061,7,Small Business,False
L400422,39,80209.26,56044.71,559,0.569,12,Debt Consolidation,False
L400423,55,89978.16,6348.7,713,0.485,20,Home Improvement,False
L400424,28,81274.88,10287.84,564,0.129,17,Home Improvement,True
L400425,21,94835.63,59347.47,523,0.419,14,Small Business,False
L400426,50,118552.19,52854.26,848,0.114,18,Small Business,False
L400427,23,43821.1,16296.72,550,0.194,22,Small Business,True
L400428,22,119641.98,55863.45,548,0.593,4,Home Improvement,True
L400429,72,62471.76,4043.25,734,0.477,4,Auto,False
L400430,41,18000.0,27725.79,785,0.171,29,Medical,False
L400431,44,93884.37,12419.87,775,0.274,29,Home Improvement,False
L400432,41,98542.74,55524.06,822,0.537,21,Education,False
L400433,66,88079.48,59779.1,541,0.375,28,Debt Consolidation,False
L400434,43,61146.38,7542.84,815,0.138,14,Home Improvement,False
L400435,27,41959.21,53100.27,674,0.264,21,Education,False
L400436,62,55062.05,4876.24,648,0.607,22,Home Improvement,False
L400437,34,77315.52,56365.78,761,0.17,3,Education,False
L400438,38,63201.12,55333.49,623,0.298,18,Medical,False
L400439,23,38581.85,48208.4,653,0.217,31,Education,False
L400440,68,63695.2,2573.94,738,0.538,20,Small Business,True
L400441,62,45388.45,16796.89,560,0.519,24,Debt Consolidation,False
