MachineID,ReadingDate,Temperature,Vibration,Pressure,RuntimeHours,MaintenanceDaysAgo,ProductLine,FailureFlag
MC-035,2025-05-09 01:00,77.98,3.33,117.02,1717.3,79,Line B,False
MC-041,2025-04-24 09:00,74.98,3.34,120.35,1868.9,136,Line B,False
MC-078,2025-03-29 19:00,73.14,4.19,111.79,3154.1,97,Line D,False
MC-129,2025-04-16 22:00,72.62,4.02,141.95,4277.6,31,Line C,False
MC-020,2025-04-27 05:00,64.64,3.16,136.3,4099.4,176,Line B,False
MC-136,2025-06-24 11:00,77.47,4.18,111.48,3684.0,80,Line B,False
MC-089,2025-02-25 00:00,91.63,4.39,97.93,1508.8,182,Line D,True
MC-063,2025-04-04 18:00,60.53,2.7,88.87,4060.3,101,Line C,False
MC-149,2025-04-29 11:00,77.56,2.53,92.29,4005.2,45,Line A,False
MC-002,2025-06-08 16:00,85.78,4.39,104.63,3453.9,189,Line B,False
MC-064,2025-06-17 11:00,54.87,3.84,90.62,1708.5,225,Line C,False
MC-007,2025-03-21 18:00,65.17,1.51,108.96,1698.3,176,Line B,False
MC-075,2025-04-29 15:00,75.08,4.46,121.96,4109.7,16,Line B,False
MC-042,2025-01-19 03:00,63.38,4.01,111.88,60.8,124,Line A,False
MC-071,2025-03-26 02:00,72.64,2.46,90.29,4668.9,35,Line C,False
MC-070,2025-05-21 18:00,47.3,4.53,113.61,1117.4,93,Line C,False
MC-132,2025-04-21 02:00,59.56,1.65,103.94,3334.5,55,Line B,False
MC-112,2025-05-05 23:00,76.02,1.69,104.32,1452.9,94,Line B,False
MC-024,2025-06-01 05:00,73.95,2.27,73.72,2799.6,95,Line B,False
MC-133,2025-02-20 13:00,70.57,3.61,92.11,644.6,168,Line A,False
MC-067,2025-06-10 04:00,82.23,3.71,95.19,4702.7,213,Line C,True
MC-109,2025-05-18 00:00,73.29,4.39,81.87,134.7,38,Line C,False
MC-135,2025-02-04 09:00,77.83,4.26,86.52,2511.0,84,Line D,False
MC-056,2025-06-16 23:00,72.61,2.72,93.38,618.5,204,Line C,False
MC-082,2025-03-31 04:00,91.1,3.93,104.52,3820.4,23,Line D,False
MC-047,2025-03-29 04:00,78.95,2.9,96.95,2913.4,68,Line B,False
MC-124,2025-06-11 09:00,64.4,2.28,125.14,684.9,105,Line B,False
MC-027,2025-01-22 13:00,73.61,3.74,98.14,3031.8,143,Line B,False
MC-102,2025-02-28 13:00,72.24,3.55,95.52,227.0,2,Line D,False
MC-112,2025-03-18 19:00,85.02,2.26,127.47,416.6,94,Line B,False
MC-120,2025-03-09 01:00,60.22,2.58,118.98,3723.2,60,Line A,False
MC-057,2025-01-07 09:00,71.38,3.25,116.32,3255.8,75,Line A,False
MC-054,2025-01-26 06:00,59.04,3.43,95.88,4661.1,82,Line D,False
MC-120,2025-01-23 07:00,58.86,2.74,98.9,4823.1,178,Line B,False
MC-118,2025-04-25 10:00,73.19,3.36,103.97,4284.6,229,Line B,False
MC-124,2025-03-01 17:00,83.56,5.77,115.52,1646.5,74,Line B,True
MC-113,2025-04-27 23:00,65.06,2.87,85.25,4730.2,20,Line A,False
MC-020,2025-01-30 08:00,63.51,3.68,128.56,4963.3,63,Line B,False
MC-010,2025-06-14 16:00,88.51,3.93,71.58,4023.9,54,Line C,False
MC-129,2025-03-06 21:00,87.79,3.57,97.28,4483.3,85,Line D,False
MC-030,2025-06-11 01:00,68.54,4.03,135.85,3191.5,167,Line C,False
MC-091,2025-01-31 17:00,80.06,3.0,97.25,4049.3,56,Line C,False
MC-111,2025-06-01 17:00,73.73,3.76,107.23,4886.9,157,Line B,False
MC-016,2025-01-16 17:00,76.42,2.62,92.17,484.2,52,Line B,False
MC-119,2025-03-23 04:00,63.51,3.95,120.56,1259.0,74,Line B,False
MC-128,2025-05-14 23:00,83.68,2.72,134.88,3847.6,104,Line A,False
MC-075,2025-02-08 21:00,78.18,2.55,103.07,3765.1,36,Line A,False
MC-059,2025-02-06 03:00,87.55,4.96,89.93,3181.2,68,Line D,False
MC-052,2025-05-17 02:00,68.16,2.89,134.42,3688.2,191,Line D,False
MC-089,2025-06-11 19:00,76.62,2.74,134.03,1585.4,15,Line B,False
MC-100,2025-02-14 01:00,76.3,4.31,106.34,227.5,47,Line D,False
MC-023,2025-02-18 18:00,65.01,2.49,124.58,4427.7,122,Line D,False
MC-092,2025-05-22 11:00,80.21,3.92,68.11,1096.7,140,Line A,False
MC-036,2025-05-19 12:00,62.17,2.83,92.25,4302.9,172,Line D,False
MC-118,2025-04-21 04:00,71.73,4.46,93.36,233.0,193,Line B,False
MC-015,2025-04-14 01:00,92.8,1.26,97.25,3617.8,45,Line A,False
MC-131,2025-01-08 01:00,66.81,3.0,81.24,4834.1,84,Line D,False
MC-033,2025-05-16 05:00,67.19,1.22,116.92,3773.4,58,Line B,False
MC-097,2025-04-13 00:00,79.62,2.78,87.73,3283.3,104,Line D,False
MC-110,2025-02-04 09:00,82.09,2.99,107.26,4691.3,212,Line D,False
MC-106,2025-05-27 03:00,72.28,5.38,94.13,4301.2,151,Line A,False
MC-137,2025-05-16 03:00,85.0,1.09,99.94,952.9,117,Line B,False
MC-140,2025-05-17 08:00,85.55,2.43,109.67,1669.6,35,Line C,False
MC-047,2025-06-25 12:00,83.13,4.94,103.57,3178.2,95,Line C,False
MC-014,2025-01-13 01:00,59.66,4.18,67.54,3441.2,67,Line D,False
MC-020,2025-02-22 20:00,81.19,3.34,100.39,1525.6,69,Line D,False
MC-013,2025-05-04 23:00,77.64,4.56,111.91,1894.3,68,Line B,True
MC-142,2025-01-09 14:00,73.52,3.84,73.23,4354.4,33,Line C,False
MC-123,2025-03-10 22:00,78.14,2.11,99.04,4406.4,5,Line A,False
MC-031,2025-04-27 14:00,82.39,4.77,111.4,341.5,2,Line A,False
MC-065,2025-06-19 08:00,67.89,2.49,106.98,3248.6,80,Line D,False
MC-104,2025-01-18 11:00,74.62,3.19,74.17,499.1,175,Line B,True
MC-072,2025-05-15 19:00,71.64,3.04,84.86,4601.3,135,Line D,False
MC-091,2025-01-03 18:00,72.39,4.43,119.62,2835.7,33,Line B,False
MC-012,2025-06-05 15:00,60.27,3.44,99.78,1441.1,68,Line C,False
MC-029,2025-04-13 15:00,76.24,3.74,111.98,1102.1,168,Line B,False
MC-045,2025-05-15 19:00,85.26,3.38,106.4,789.6,225,Line B,True
MC-144,2025-01-13 14:00,61.16,3.24,111.07,1514.1,129,Line A,False
MC-039,2025-03-09 00:00,63.08,2.95,113.72,1587.2,202,Line C,False
MC-122,2025-02-14 23:00,87.84,3.6,106.75,3680.2,22,Line D,False
MC-111,2025-04-11 08:00,56.44,1.4,128.61,4199.3,183,Line D,False
MC-099,2025-04-07 15:00,51.47,4.5,84.9,4291.0,115,Line B,False
MC-070,2025-02-28 05:00,84.76,3.9,105.6,2876.4,183,Line B,False
MC-090,2025-06-01 18:00,80.6,2.43,84.93,458.9,95,Line C,False
MC-112,2025-01-05 21:00,63.55,4.57,109.19,4281.2,23,Line A,False
MC-094,2025-02-08 16:00,57.29,1.39,100.31,523.4,61,Line C,False
MC-145,2025-06-08 21:00,91.04,3.9,84.1,911.2,206,Line B,True
MC-106,2025-02-21 00:00,66.28,5.23,107.52,1040.7,11,Line C,True
MC-024,2025-02-22 11:00,91.01,2.86,110.02,161.0,128,Line C,False
MC-007,2025-04-16 23:00,66.74,2.4,103.02,3597.4,229,Line D,False
MC-145,2025-01-18 11:00,69.26,4.26,69.61,1677.7,60,Line B,False
MC-027,2025-05-05 02:00,63.82,1.61,120.8,3736.8,37,Line C,False
MC-037,2025-03-31 14:00,64.54,3.32,88.84,4455.3,7,Line D,False
MC-053,2025-04-06 09:00,59.2,2.7,112.14,4774.2,61,Line D,False
MC-137,2025-03-27 05:00,70.67,2.46,65.04,3454.7,184,Line C,False
MC-018,2025-02-22 19:00,85.15,5.6,82.46,2471.9,159,Line B,True
MC-039,2025-04-04 07:00,63.66,3.75,113.47,3628.1,172,Line A,False
MC-075,2025-04-24 19:00,78.06,1.18,85.09,3330.8,1,Line C,False
MC-128,2025-05-05 20:00,68.46,3.01,87.63,260.0,93,Line D,False
MC-020,2025-01-02 03:00,60.34,4.12,99.98,3100.6,213,Line C,False
MC-136,2025-02-28 01:00,53.93,5.22,87.71,4082.8,175,Line B,True
MC-111,2025-03-12 02:00,63.7,3.23,123.66,449.3,46,Line C,False
MC-062,2025-06-04 16:00,78.72,2.33,106.65,4157.8,84,Line A,False
MC-080,2025-05-26 12:00,67.6,3.64,116.84,3860.6,239,Line D,False
MC-001,2025-03-03 10:00,96.66,3.16,87.85,1431.5,183,Line B,False
MC-103,2025-02-26 14:00,70.62,2.05,102.35,4522.8,184,Line A,False
MC-052,2025-02-02 09:00,72.98,3.63,115.24,4507.9,25,Line D,False
MC-131,2025-05-02 08:00,62.3,3.6,107.32,2367.0,212,Line C,True
MC-088,2025-01-30 09:00,42.96,3.8,85.01,1819.4,227,Line B,True
MC-087,2025-01-29 02:00,81.1,1.5,108.27,2284.3,191,Line D,False
MC-028,2025-04-09 07:00,67.64,1.48,117.38,1028.5,65,Line D,False
MC-100,2025-05-25 15:00,69.15,4.76,110.9,1308.8,61,Line B,False
MC-031,2025-02-16 05:00,54.56,3.29,85.51,3051.5,28,Line D,False
MC-087,2025-03-30 17:00,61.17,3.27,107.82,666.2,112,Line B,False
MC-063,2025-05-09 21:00,73.81,2.67,99.29,3317.7,235,Line B,False
MC-061,2025-06-17 15:00,62.67,2.25,111.41,973.9,153,Line B,False
MC-028,2025-04-02 12:00,75.67,5.13,61.0,2756.5,173,Line C,False
MC-135,2025-05-02 11:00,71.55,1.35,125.26,4967.8,47,Line A,False
MC-093,2025-06-08 13:00,76.26,2.19,67.83,3660.8,91,Line A,False
MC-109,2025-04-17 15:00,51.55,4.55,110.44,3206.2,49,Line B,False
MC-129,2025-06-22 01:00,75.02,4.21,76.74,853.1,69,Line A,False
MC-084,2025-04-02 23:00,52.29,1.09,82.94,3982.3,104,Line D,False
MC-094,2025-04-01 14:00,76.68,1.74,122.49,4511.8,60,Line B,False
MC-110,2025-01-16 03:00,60.69,4.34,135.16,860.1,131,Line A,False
MC-050,2025-02-15 01:00,69.53,1.56,90.77,4166.0,43,Line B,False
MC-010,2025-05-19 15:00,75.2,2.74,102.71,259.9,62,Line A,False
MC-083,2025-05-20 17:00,86.85,2.56,111.31,1213.8,75,Line A,False
MC-047,2025-05-18 05:00,83.31,4.78,111.92,4806.7,69,Line A,False
MC-086,2025-05-01 04:00,70.16,2.97,122.26,4909.6,46,Line B,False
MC-100,2025-06-18 06:00,79.53,3.86,83.57,2500.8,7,Line A,False
MC-150,2025-03-12 07:00,69.44,1.38,98.85,1578.2,156,Line C,False
MC-104,2025-04-30 11:00,79.91,2.27,96.59,4495.7,103,Line B,False
MC-122,2025-05-31 16:00,81.91,5.65,72.83,4717.7,207,Line C,True
MC-126,2025-06-18 20:00,61.07,2.44,100.23,4989.7,219,Line C,False
MC-059,2025-02-09 10:00,79.85,4.78,97.91,2053.4,51,Line A,False
MC-052,2025-03-13 12:00,78.24,1.43,115.19,307.4,21,Line D,False
MC-128,2025-04-13 13:00,86.85,2.03,96.71,151.3,221,Line B,False
MC-044,2025-04-25 12:00,59.05,3.93,122.36,2215.3,85,Line A,False
MC-047,2025-05-16 19:00,50.99,2.27,106.57,2551.6,161,Line C,False
MC-119,2025-04-26 01:00,70.3,3.99,115.23,3061.4,205,Line D,False
MC-076,2025-04-06 10:00,64.85,2.88,123.25,2233.0,70,Line D,False
MC-113,2025-04-11 22:00,56.2,6.34,58.9,1578.4,135,Line B,False
MC-099,2025-02-03 02:00,79.07,3.02,115.65,1534.2,206,Line D,False
MC-042,2025-05-06 08:00,85.92,4.89,117.56,4794.5,53,Line A,False
MC-019,2025-04-21 21:00,61.39,3.98,129.18,4549.0,144,Line B,False
MC-001,2025-03-30 05:00,82.64,3.22,57.64,1516.6,93,Line D,False
MC-070,2025-04-21 13:00,71.22,3.12,120.33,2656.8,152,Line B,False
MC-083,2025-05-19 03:00,66.86,2.91,76.97,328.9,142,Line A,False
MC-069,2025-02-27 19:00,57.6,2.71,111.66,375.5,175,Line A,True
MC-119,2025-05-23 07:00,88.47,3.43,127.06,4074.2,152,Line C,False
MC-026,2025-02-12 23:00,78.01,1.42,76.45,649.4,52,Line A,False
MC-085,2025-02-22 22:00,96.53,3.5,102.64,4369.2,222,Line D,True
MC-096,2025-04-19 19:00,78.13,3.54,114.55,1234.3,94,Line A,False
MC-069,2025-01-29 05:00,95.2,2.24,137.83,1669.9,115,Line C,False
MC-034,2025-03-26 20:00,92.32,3.51,91.58,253.6,30,Line A,False
MC-068,2025-06-05 00:00,75.43,2.67,92.42,395.5,73,Line C,False
MC-109,2025-05-09 12:00,65.32,3.55,96.43,2214.9,199,Line D,True
MC-040,2025-04-07 20:00,69.9,5.18,100.64,1910.0,2,Line B,False
MC-144,2025-04-07 06:00,65.06,3.35,76.98,3215.9,44,Line C,False
MC-053,2025-06-01 21:00,64.84,3.52,131.17,1191.3,120,Line C,False
MC-113,2025-03-10 23:00,66.31,3.51,116.55,2595.8,15,Line D,False
MC-024,2025-03-25 19:00,70.49,2.53,70.32,4388.3,8,Line C,False
MC-013,2025-04-16 23:00,80.26,3.67,80.17,3685.0,132,Line B,False
MC-078,2025-06-01 02:00,53.19,0.62,108.42,2275.8,171,Line A,False
MC-067,2025-04-25 07:00,61.91,2.34,91.71,4502.4,147,Line A,False
MC-061,2025-06-02 21:00,68.81,4.69,80.43,452.6,109,Line C,False
MC-113,2025-05-01 18:00,77.48,3.97,92.63,3593.0,132,Line C,False
MC-144,2025-03-30 06:00,71.09,4.43,93.94,4048.3,79,Line D,False
MC-138,2025-01-11 21:00,61.5,1.35,101.05,44.9,42,Line B,False
MC-089,2025-01-18 03:00,68.59,3.63,105.68,4026.9,58,Line B,False
MC-055,2025-05-12 18:00,71.65,3.51,123.05,1196.8,27,Line B,False
MC-132,2025-05-07 11:00,57.68,2.22,90.79,4953.3,131,Line D,False
MC-089,2025-02-10 09:00,75.3,1.85,125.67,4440.7,158,Line C,False
MC-090,2025-01-28 10:00,54.47,2.78,81.16,1431.3,224,Line D,False
MC-117,2025-04-14 02:00,67.61,3.75,93.92,1861.2,180,Line C,False
MC-100,2025-06-21 14:00,70.18,2.6,71.8,2334.2,52,Line B,False
MC-115,2025-01-28 21:00,82.2,2.79,118.14,1112.3,207,Line D,False
MC-042,2025-02-14 08:00,68.01,0.99,126.37,4940.1,229,Line A,True
MC-089,2025-03-27 21:00,82.93,1.48,83.41,1454.9,108,Line A,False
MC-096,2025-03-27 22:00,83.73,2.1,92.96,4476.0,14,Line A,False
MC-140,2025-01-01 07:00,77.69,0.83,122.25,126.0,236,Line D,False
MC-055,2025-02-10 20:00,69.54,2.44,100.27,3785.6,71,Line B,False
MC-150,2025-05-11 12:00,78.17,3.21,110.65,1625.6,92,Line D,False
MC-031,2025-03-02 18:00,84.91,3.36,113.31,3278.7,205,Line A,False
MC-111,2025-04-10 05:00,67.17,3.48,111.76,1071.8,191,Line D,False
MC-038,2025-05-03 03:00,58.99,2.19,87.33,2112.6,216,Line C,False
MC-038,2025-03-04 05:00,68.12,2.99,95.39,4637.8,15,Line D,False
MC-097,2025-05-09 04:00,81.89,2.97,114.35,453.0,67,Line D,False
MC-056,2025-06-17 01:00,96.68,5.53,75.33,2557.8,227,Line B,False
MC-073,2025-04-11 15:00,74.49,3.64,98.61,4458.3,235,Line D,False
MC-063,2025-04-16 20:00,66.2,4.84,119.95,1371.2,232,Line A,False
MC-105,2025-01-05 01:00,66.96,3.56,125.51,3873.0,45,Line B,False
MC-079,2025-03-15 00:00,48.09,2.7,81.52,280.5,177,Line D,False
MC-142,2025-06-25 23:00,63.49,4.27,121.82,632.5,178,Line A,True
MC-022,2025-03-08 01:00,65.79,4.14,128.82,89.3,214,Line B,False
MC-033,2025-06-17 16:00,82.22,2.54,95.12,3782.1,232,Line C,False
MC-097,2025-03-22 16:00,76.3,2.64,119.15,4197.8,102,Line B,False
MC-061,2025-05-08 15:00,85.85,1.06,109.04,3941.5,126,Line C,True
MC-083,2025-01-13 06:00,76.75,5.72,113.83,4132.3,198,Line B,True
MC-007,2025-05-13 20:00,71.17,2.23,133.3,3734.8,197,Line D,False
MC-037,2025-05-16 05:00,71.53,3.82,86.87,1009.5,198,Line A,True
MC-047,2025-03-25 19:00,60.71,3.49,96.32,4086.2,150,Line A,False
MC-120,2025-06-24 04:00,73.97,2.33,99.21,973.7,68,Line C,False
MC-056,2025-04-02 22:00,84.55,3.68,100.66,775.1,144,Line C,False
MC-126,2025-04-29 01:00,60.6,2.77,82.4,4803.7,182,Line C,False
MC-080,2025-03-01 17:00,75.98,4.83,96.67,3484.2,185,Line D,False
MC-037,2025-04-18 08:00,65.56,3.83,115.61,3945.5,222,Line B,False
MC-088,2025-01-04 01:00,67.37,3.63,121.49,4891.2,170,Line D,False
MC-021,2025-05-11 03:00,62.41,4.94,90.74,4433.6,168,Line A,False
MC-036,2025-06-16 15:00,75.94,5.02,101.72,1106.3,101,Line D,False
MC-135,2025-06-04 10:00,78.78,5.1,124.35,4709.4,86,Line C,False
MC-029,2025-03-01 15:00,70.99,6.1,84.91,2659.4,128,Line B,True
MC-150,2025-05-08 12:00,74.44,4.35,104.29,1697.6,11,Line C,False
MC-127,2025-01-18 18:00,81.17,4.22,95.39,4954.8,63,Line D,False
MC-117,2025-06-13 08:00,94.12,3.96,81.7,2498.6,239,Line A,True
MC-112,2025-01-07 20:00,75.06,5.09,113.42,2294.0,121,Line C,True
MC-108,2025-02-25 19:00,65.47,3.3,81.12,2884.5,120,Line A,False
MC-084,2025-04-24 01:00,76.43,3.07,102.1,4613.1,211,Line B,False
MC-113,2025-02-14 05:00,52.12,4.63,98.12,4734.6,215,Line C,False
MC-056,2025-06-24 14:00,75.34,5.48,79.04,2415.1,165,Line A,False
MC-056,2025-06-10 04:00,64.21,3.49,101.14,3409.0,164,Line B,False
MC-082,2025-05-17 11:00,86.24,4.38,108.92,3338.5,176,Line C,True
MC-134,2025-02-10 00:00,72.23,3.58,91.39,1557.7,124,Line C,False
MC-033,2025-03-10 10:00,67.07,4.22,116.77,3805.8,15,Line A,False
MC-065,2025-04-19 14:00,63.85,4.58,133.23,3329.0,175,Line A,False
MC-100,2025-04-19 14:00,67.7,1.48,93.32,1032.6,33,Line A,False
MC-129,2025-03-07 03:00,62.72,5.53,105.36,2303.3,9,Line A,True
MC-010,2025-04-24 17:00,65.91,2.48,106.85,4131.8,218,Line D,True
MC-002,2025-01-12 18:00,53.85,4.51,86.72,1371.6,24,Line D,False
MC-001,2025-04-27 13:00,95.43,2.19,105.66,3007.7,22,Line B,False
MC-089,2025-04-06 17:00,72.76,3.41,115.02,4713.2,224,Line B,True
MC-025,2025-02-11 23:00,74.74,5.63,97.22,1524.0,223,Line C,True
MC-109,2025-05-03 05:00,64.69,4.65,108.35,3377.0,222,Line C,False
MC-038,2025-06-18 01:00,52.2,4.48,98.61,3003.4,163,Line C,False
MC-105,2025-06-15 12:00,55.78,2.12,136.6,3787.1,177,Line D,False
MC-032,2025-06-09 13:00,65.22,1.49,105.72,1127.7,93,Line B,False
MC-030,2025-06-14 23:00,69.67,1.93,99.3,3699.7,30,Line B,False
MC-132,2025-04-15 05:00,73.54,1.11,83.42,4698.9,226,Line A,False
MC-109,2025-03-06 11:00,73.64,2.83,84.55,1290.0,77,Line C,False
MC-057,2025-04-18 08:00,67.27,3.29,106.34,3932.3,91,Line C,False
MC-098,2025-01-10 10:00,60.51,3.91,98.92,3818.3,120,Line B,False
MC-048,2025-04-07 13:00,61.05,3.08,82.26,1610.8,79,Line C,False
MC-063,2025-02-17 10:00,63.95,3.74,93.13,3580.7,62,Line C,False
MC-077,2025-02-28 10:00,50.13,5.42,101.92,1216.6,170,Line A,False
MC-044,2025-01-23 08:00,61.97,4.33,94.89,2997.0,143,Line B,False
MC-074,2025-06-28 00:00,50.68,1.67,100.94,4643.4,105,Line B,False
MC-115,2025-05-13 22:00,47.14,6.19,117.62,2819.9,86,Line A,False
MC-091,2025-01-31 06:00,83.26,3.5,127.45,2381.9,190,Line C,False
MC-124,2025-06-13 00:00,85.27,1.95,113.07,34.2,218,Line D,False
MC-111,2025-04-13 00:00,87.03,3.78,84.92,1370.1,174,Line C,False
MC-022,2025-01-31 15:00,72.03,4.73,85.21,3168.6,205,Line A,False
MC-039,2025-04-05 23:00,82.41,4.56,99.11,4120.3,190,Line A,True
MC-115,2025-03-15 23:00,79.02,1.95,93.1,1114.7,208,Line A,False
MC-022,2025-01-08 16:00,54.09,3.57,99.22,2474.8,17,Line D,False
MC-091,2025-04-16 07:00,50.69,2.65,99.6,3309.0,208,Line A,False
MC-102,2025-01-27 18:00,73.49,3.84,113.03,3634.0,57,Line C,False
MC-024,2025-06-12 02:00,65.15,3.42,91.95,9.0,194,Line A,False
MC-068,2025-04-01 08:00,62.66,2.43,106.79,1114.2,156,Line B,False
MC-116,2025-05-01 03:00,63.88,2.72,133.01,2321.9,47,Line D,False
MC-147,2025-03-11 16:00,60.58,3.61,87.54,4550.2,49,Line B,False
MC-006,2025-04-06 06:00,70.98,2.51,116.86,3401.9,152,Line D,True
MC-081,2025-02-23 12:00,82.15,3.72,106.42,1666.0,150,Line C,False
MC-114,2025-02-10 02:00,64.57,3.36,120.07,4736.0,39,Line C,False
MC-116,2025-04-22 04:00,67.08,1.72,102.88,3535.0,212,Line B,False
MC-100,2025-03-02 14:00,75.29,3.63,110.43,2086.5,156,Line D,False
MC-064,2025-03-05 12:00,69.04,4.02,114.61,2318.6,211,Line D,False
MC-013,2025-05-08 17:00,69.58,4.11,70.47,3811.8,236,Line C,False
MC-011,2025-04-08 23:00,78.36,3.07,79.12,4875.3,90,Line C,False
MC-064,2025-05-29 21:00,69.43,3.2,113.77,2088.9,121,Line C,False
MC-101,2025-06-24 18:00,69.43,5.75,72.44,918.3,198,Line C,False
MC-058,2025-02-07 17:00,57.85,1.32,100.82,2595.2,194,Line C,False
MC-026,2025-06-14 21:00,85.49,4.72,116.28,860.0,40,Line C,False
MC-094,2025-01-14 13:00,65.11,3.87,94.78,1701.2,237,Line B,False
MC-081,2025-06-19 17:00,60.4,2.61,92.9,2268.1,168,Line D,True
MC-080,2025-06-01 06:00,82.23,2.58,105.64,4383.6,149,Line B,False
MC-106,2025-03-06 14:00,70.82,1.31,113.14,1459.1,163,Line C,True
MC-009,2025-03-20 02:00,58.99,2.58,77.98,2862.9,213,Line C,False
MC-002,2025-02-10 11:00,61.57,3.29,112.93,1065.1,28,Line C,False
MC-137,2025-05-31 07:00,63.27,4.42,69.32,504.1,222,Line D,False
MC-029,2025-05-29 08:00,64.54,0.95,115.05,4173.0,58,Line A,False
MC-024,2025-05-21 20:00,55.0,2.52,110.61,169.8,117,Line D,False
MC-107,2025-05-23 21:00,51.03,3.89,87.45,1869.7,221,Line D,False
MC-092,2025-05-10 15:00,69.02,4.69,113.6,1958.2,185,Line B,False
MC-149,2025-02-23 22:00,75.97,1.2,80.64,3801.3,154,Line A,False
MC-126,2025-02-15 22:00,79.37,3.12,90.62,1684.2,64,Line A,False
MC-134,2025-05-09 06:00,94.55,4.61,68.32,663.0,22,Line B,False
MC-003,2025-01-13 22:00,85.92,3.76,89.04,1495.7,1,Line B,True
MC-115,2025-05-22 12:00,73.3,4.59,106.02,1002.3,193,Line C,False
MC-117,2025-05-20 10:00,70.1,4.08,101.21,3592.2,148,Line A,False
MC-129,2025-01-13 18:00,62.84,1.34,101.57,3742.7,130,Line D,False
MC-102,2025-06-03 04:00,61.68,1.8,100.79,4408.6,186,Line B,True
MC-124,2025-03-29 18:00,63.91,3.98,91.58,1427.6,179,Line A,False
MC-035,2025-04-18 06:00,53.95,2.48,106.65,1380.9,164,Line B,False
MC-016,2025-03-26 15:00,70.61,4.91,101.55,2440.6,3,Line B,False
MC-067,2025-04-01 14:00,75.12,3.62,92.76,2251.6,32,Line B,False
MC-053,2025-02-19 06:00,66.8,2.68,131.86,842.0,209,Line A,False
MC-100,2025-04-18 06:00,81.21,2.59,74.29,2498.9,180,Line C,False
MC-117,2025-02-08 13:00,65.29,4.6,95.7,1557.8,155,Line C,False
MC-039,2025-03-31 13:00,66.98,2.67,96.97,94.9,174,Line A,True
MC-059,2025-06-16 09:00,92.82,1.63,99.78,3049.1,6,Line B,True
MC-141,2025-05-20 18:00,76.84,2.6,94.32,3920.7,160,Line C,False
MC-086,2025-02-02 16:00,80.19,3.7,133.82,1860.6,27,Line A,False
MC-001,2025-02-27 01:00,66.96,2.92,124.81,2026.6,233,Line C,False
MC-150,2025-02-14 22:00,72.18,1.83,109.65,4241.4,113,Line A,False
MC-027,2025-01-13 13:00,72.91,2.49,89.28,653.8,50,Line A,False
MC-068,2025-05-15 20:00,74.04,2.86,75.34,2592.3,8,Line D,False
