CampaignID,Channel,AudienceSegment,Spend,Impressions,Clicks,Conversions,CampaignMonth,Revenue
M2063,Search,Returning Customer,19683.81,318906,5452,459,2025-06,32909.47
M2064,Display,New Customer,5577.62,187091,6832,1822,2025-07,244111.23
M2065,Email,Returning Customer,15227.14,311908,9011,1401,2025-02,270729.89
M2066,Search,Student,2809.04,36454,28142,2075,2025-04,172510.52
M2067,Search,Enterprise,16500.78,424396,6828,2885,2025-09,695706.49
M2068,Email,Small Business,15048.97,260171,7811,759,2025-10,131828.79
M2069,Referral,Student,20614.95,365033,5093,2557,2025-05,602464.99
M2070,Social Media,Enterprise,16158.35,245113,26741,2546,2025-12,410756.2
M2071,Social Media,Small Business,24291.04,350028,25616,614,2025-04,96475.38
M2072,Email,Student,12309.26,282642,28526,886,2025-09,214470.26
M2073,Email,New Customer,13842.54,81096,27748,1264,2025-09,300539.69
M2074,Email,Student,1988.72,115403,15073,861,2025-08,155925.2
M2075,Display,Student,2795.34,409770,5269,563,2025-05,28592.44
M2076,Social Media,Small Business,4420.19,170919,12625,2200,2025-09,113472.91
M2077,Search,New Customer,3048.04,4646,17357,2102,2025-03,68503.36
M2078,Display,New Customer,3518.96,262219,23994,2243,2025-10,130483.0
M2079,Social Media,Small Business,6585.74,357751,13007,1851,2025-08,274210.13
M2080,Search,Small Business,7033.36,426456,1195,562,2025-05,70384.48
M2081,Search,Returning Customer,17419.64,407469,11303,1743,2025-05,315701.28
M2082,Referral,Small Business,12212.19,471412,16697,1608,2025-02,362979.65
M2083,Referral,New Customer,23183.52,114071,28593,2709,2025-01,297230.24
M2084,Social Media,Student,8639.11,357585,18138,2632,2025-04,580602.3
M2085,Social Media,Returning Customer,1678.98,156583,1392,301,2025-03,68218.72
M2086,Search,Student,21120.29,438227,15843,1630,2025-09,289413.72
M2087,Social Media,Small Business,21082.57,121807,29241,2821,2025-06,600806.75
M2088,Search,Enterprise,9145.88,357933,11877,2126,2025-02,496037.01
M2089,Search,Returning Customer,1853.13,409944,9542,1453,2025-07,185667.61
M2090,Search,Small Business,22033.8,296870,341,2022,2025-08,279418.79
M2091,Search,Returning Customer,23345.1,211015,17094,81,2025-06,11433.1
M2092,Referral,Enterprise,24929.49,233191,8427,1492,2025-08,191798.7
M2093,Email,New Customer,9837.12,182368,27941,2744,2025-12,653955.92
M2094,Display,Small Business,3265.57,58865,7627,1344,2025-08,61267.87
M2095,Search,Small Business,9506.94,251628,19361,2793,2025-05,298099.78
M2096,Display,Returning Customer,14680.62,303133,19185,2395,2025-08,548327.21
M2097,Search,Enterprise,1177.42,365537,23017,2831,2025-11,564022.48
M2098,Display,Enterprise,6927.95,30419,11615,436,2025-08,39185.76
M2099,Display,Small Business,23554.45,330582,2922,2504,2025-06,436445.45
M2100,Display,Student,1200.22,145259,5189,639,2025-02,16251.98
M2101,Search,New Customer,3858.61,354168,17103,835,2025-09,120951.79
M2102,Referral,Student,14567.5,248976,8769,396,2025-10,91732.83
M2103,Social Media,Enterprise,23947.58,473778,9332,859,2025-07,140977.26
M2104,Display,New Customer,23513.91,55079,3344,1932,2025-08,443483.82
M2105,Social Media,Enterprise,6512.25,128311,12595,984,2025-02,41326.27
M2106,Display,New Customer,15382.61,360548,17096,73,2025-12,10591.1
M2107,Referral,Returning Customer,24128.75,104240,7138,676,2025-06,120974.61
M2108,Email,Student,15779.02,127026,22385,390,2025-11,12668.31
M2109,Display,Enterprise,5617.03,325283,18477,2724,2025-09,599110.45
M2110,Search,Enterprise,17371.71,256443,11280,2260,2025-09,186922.86
M2111,Social Media,Returning Customer,12829.77,73881,16086,1604,2025-04,352206.0
M2112,Social Media,Small Business,12395.09,163885,23947,2555,2025-04,224672.98
M2113,Display,Returning Customer,12260.57,322088,3865,798,2025-04,196177.91
M2114,Referral,Small Business,2901.94,33827,9399,2721,2025-04,611341.34
M2115,Social Media,Returning Customer,19756.94,478053,21886,2316,2025-09,504127.55
M2116,Social Media,Returning Customer,8739.2,200421,21619,754,2025-02,135475.92
M2117,Referral,Student,4700.33,229768,8545,1883,2025-09,217169.5
M2118,Display,Student,11077.37,328801,18487,2878,2025-02,368566.39
M2119,Display,Enterprise,16111.82,108138,17606,1137,2025-07,178629.14
M2120,Search,Student,13880.7,281335,17486,648,2025-04,55178.94
M2121,Email,Enterprise,20495.55,497442,26053,2742,2025-09,226698.71
M2122,Email,Student,21098.47,479549,7153,944,2025-04,126690.98
M2123,Email,Small Business,15552.64,192080,11942,1666,2025-11,239898.33
M2124,Social Media,Small Business,13837.51,495604,12938,289,2025-11,59077.42
M2125,Email,Student,14211.6,57821,19196,1884,2025-07,362861.53
M2126,Search,Returning Customer,9888.33,449947,20932,2975,2025-01,492849.15
M2127,Email,Student,11784.83,208642,25869,97,2025-09,16703.81
M2128,Referral,Student,13215.13,157380,4528,849,2025-09,187734.55
M2129,Search,Returning Customer,20041.69,44742,18677,1889,2025-01,71919.84
M2130,Email,Small Business,18672.06,310065,5119,1786,2025-07,273952.88
M2131,Email,Student,4969.97,42515,29491,1238,2025-01,47801.79
M2132,Email,Enterprise,24447.89,365205,150,946,2025-03,47066.97
M2133,Display,New Customer,24137.15,24710,2458,2244,2025-08,296257.75
M2134,Display,Student,7052.61,262684,26908,1461,2025-06,165293.03
M2135,Search,Returning Customer,24971.43,227652,10895,131,2025-08,24907.68
M2136,Display,Student,13175.18,494299,10499,423,2025-05,88489.48
M2137,Email,Enterprise,5745.72,230044,21083,1157,2025-04,234590.96
M2138,Social Media,Student,18040.39,158757,4057,1938,2025-01,301232.59
M2139,Email,Small Business,1294.1,366978,14660,196,2025-08,5165.13
M2140,Search,New Customer,17222.13,434281,9735,2991,2025-07,90497.63
M2141,Email,New Customer,20891.58,272533,7768,2794,2025-02,189409.86
M2142,Display,Student,8828.62,379267,5979,204,2025-02,17413.89
M2143,Search,Enterprise,8432.17,430220,10053,1259,2025-10,162033.75
M2144,Display,Student,6883.34,230325,14975,1111,2025-10,122779.52
M2145,Search,New Customer,10246.62,436574,21732,417,2025-05,24607.48
M2146,Email,Small Business,14378.62,400372,5849,1546,2025-12,72193.89
M2147,Social Media,Returning Customer,19075.27,86289,23596,2229,2025-07,66570.75
M2148,Email,New Customer,22176.75,216432,5537,1598,2025-07,64804.49
M2149,Email,Enterprise,13759.12,21593,19048,2645,2025-12,66483.89
M2150,Referral,Small Business,11927.23,383840,11396,1924,2025-08,62074.62
M2151,Referral,New Customer,9429.62,353458,26664,2326,2025-07,292243.4
M2152,Email,Enterprise,14924.17,20701,20762,2537,2025-02,449051.41
M2153,Search,Small Business,3707.2,5980,15659,2551,2025-07,304072.6
M2154,Social Media,Enterprise,11727.2,303828,1925,1710,2025-04,143784.62
M2155,Search,New Customer,12768.85,197544,24713,2540,2025-02,415259.85
M2156,Display,Returning Customer,15769.39,22983,29747,1137,2025-07,190192.45
M2157,Social Media,Enterprise,1806.15,27947,3236,2967,2025-01,548835.15
M2158,Referral,Student,10799.03,433119,16223,1978,2025-12,175977.89
M2159,Email,New Customer,19068.05,229978,29570,1090,2025-12,261808.31
M2160,Search,Returning Customer,19622.63,378920,18423,177,2025-09,11276.11
M2161,Display,New Customer,13625.87,225390,26239,1045,2025-11,252664.59
M2162,Search,Enterprise,21810.04,460191,24042,1446,2025-10,242133.16
M2163,Display,Enterprise,18893.7,423028,26805,334,2025-10,28812.37
M2164,Display,Student,19952.63,452624,8945,1701,2025-02,118744.54
M2165,Email,Returning Customer,19844.92,323153,26411,2572,2025-12,198377.8
M2166,Display,Small Business,18242.06,8260,4945,946,2025-03,161170.64
M2167,Social Media,New Customer,21420.31,201850,25271,2791,2025-02,671371.07
M2168,Email,Returning Customer,2512.26,49888,16957,1227,2025-11,270244.82
M2169,Search,New Customer,12643.56,255166,2573,847,2025-10,208201.05
M2170,Display,Small Business,20653.42,241120,20841,2510,2025-08,244636.67
M2171,Social Media,Returning Customer,2821.72,275016,27312,1845,2025-02,207102.57
M2172,Email,New Customer,3964.36,469387,26332,1871,2025-04,361240.42
M2173,Referral,Student,10100.08,113852,5080,734,2025-08,59685.56
M2174,Referral,Small Business,14145.03,435737,25379,1799,2025-09,181430.86
M2175,Search,Small Business,18125.27,387923,26037,2585,2025-09,231254.9
M2176,Social Media,Returning Customer,14064.6,223703,29001,584,2025-03,68205.05
M2177,Referral,New Customer,5494.12,234134,16764,20,2025-09,3973.73
M2178,Social Media,Returning Customer,21212.63,196758,27319,2297,2025-02,62015.19
M2179,Social Media,New Customer,6698.05,319284,8501,2085,2025-04,64332.37
M2180,Social Media,Student,21464.79,387452,15556,609,2025-01,15730.09
M2181,Search,Returning Customer,12427.28,16892,9458,1628,2025-11,274914.01
M2182,Display,Enterprise,1107.87,495972,10807,363,2025-05,39014.95
M2183,Social Media,Student,12040.81,56328,8106,858,2025-07,112388.74
M2184,Email,Enterprise,16386.0,79250,19694,543,2025-01,70545.31
M2185,Referral,Returning Customer,22010.99,295186,21765,2769,2025-11,195784.41
M2186,Email,Returning Customer,14595.05,53483,24466,1075,2025-05,218083.86
M2187,Search,Returning Customer,24786.76,372373,22074,1438,2025-06,96346.85
M2188,Email,New Customer,9580.45,110004,3868,720,2025-05,128852.31
M2189,Display,Enterprise,6218.02,161078,12839,1573,2025-05,301017.04
M2190,Social Media,Returning Customer,11139.68,296405,18649,1669,2025-04,137667.57
M2191,Email,Student,16494.82,472918,12833,249,2025-11,45957.44
M2192,Email,Returning Customer,2465.03,100153,5082,2354,2025-01,173777.87
M2193,Search,Enterprise,2341.16,424802,6415,1235,2025-10,177005.94
M2194,Email,Small Business,15645.0,328471,16112,1403,2025-04,261407.4
M2195,Search,Student,9657.32,262720,11956,477,2025-02,27557.92
M2196,Referral,Returning Customer,19602.25,440029,21157,197,2025-11,34939.62
M2197,Social Media,New Customer,6665.98,320310,19887,1662,2025-06,91388.02
M2198,Referral,Student,10892.73,404902,7571,81,2025-11,3322.17
M2199,Display,Returning Customer,12923.96,296990,18764,1735,2025-01,179683.84
M2200,Email,New Customer,23564.52,238169,17379,2294,2025-01,170027.09
M2201,Search,Student,282.81,153523,3912,732,2025-11,42866.72
M2202,Search,Small Business,5503.15,134106,24998,857,2025-04,71261.87
M2203,Search,Student,2391.54,32246,21948,2830,2025-06,555979.08
M2204,Search,Small Business,24783.78,144102,26539,1372,2025-02,299958.81
M2205,Social Media,New Customer,3392.04,402480,29693,908,2025-04,214133.38
M2206,Search,Small Business,20597.59,150023,8559,2659,2025-07,635541.24
M2207,Display,Returning Customer,13049.54,230818,24331,1962,2025-01,326577.32
M2208,Referral,Enterprise,19582.63,192055,28755,1792,2025-10,324421.7
M2209,Email,Returning Customer,7612.61,421086,257,2937,2025-04,275106.28
M2210,Email,Student,11939.06,289832,19305,1813,2025-11,410423.51
M2211,Search,Small Business,24449.25,187893,24667,2410,2025-05,249256.65
M2212,Search,Small Business,2470.48,465631,3709,2106,2025-09,400844.55
M2213,Referral,Returning Customer,15554.3,8127,919,2238,2025-12,451148.12
M2214,Search,Enterprise,23962.37,67358,9299,2051,2025-08,502547.16
M2215,Social Media,Small Business,3254.18,64331,4045,177,2025-12,5700.37
M2216,Referral,Returning Customer,21016.95,49403,5762,551,2025-09,44908.25
M2217,Referral,Small Business,6975.38,79458,7290,1572,2025-06,206074.8
M2218,Email,Enterprise,5096.47,343400,7349,2126,2025-12,434610.65
M2219,Referral,Enterprise,4245.64,365756,14772,2261,2025-11,425622.99
M2220,Social Media,Small Business,18417.09,41065,27948,2418,2025-12,101515.97
M2221,Social Media,Small Business,991.47,17002,25341,1981,2025-10,431547.73
M2222,Email,Small Business,10570.8,451978,3301,129,2025-02,15196.17
M2223,Email,New Customer,17453.71,409842,24425,1703,2025-10,370285.64
M2224,Email,New Customer,3576.76,395114,22619,2131,2025-03,477035.6
M2225,Display,New Customer,5679.57,345647,11185,2763,2025-04,639766.27
M2226,Referral,Enterprise,3896.69,209356,12334,1833,2025-10,369885.83
M2227,Referral,Enterprise,750.05,162346,14229,1678,2025-09,326390.52
M2228,Search,Returning Customer,11467.03,166511,26823,472,2025-01,66013.52
M2229,Social Media,Student,12469.24,261462,5127,2512,2025-12,377213.53
M2230,Referral,Returning Customer,23647.92,24715,15047,1219,2025-09,172146.61
M2231,Referral,Small Business,18229.09,466153,28557,2657,2025-11,374713.3
M2232,Search,Returning Customer,24256.83,487260,20089,531,2025-11,38446.28
M2233,Social Media,Enterprise,18946.98,35801,8209,2358,2025-07,232964.37
M2234,Referral,New Customer,24471.17,262688,24731,896,2025-04,58143.85
M2235,Social Media,New Customer,6280.28,182312,6164,449,2025-01,83730.55
M2236,Search,New Customer,4273.18,188151,7179,2745,2025-09,328288.43
M2237,Referral,New Customer,9843.52,196110,29625,2325,2025-05,185364.42
M2238,Email,New Customer,12345.25,261669,23117,2594,2025-06,531345.64
M2239,Social Media,Enterprise,20634.01,481620,6366,2361,2025-08,534700.72
M2240,Social Media,Student,13582.07,367166,23406,1753,2025-05,45655.17
M2241,Display,Student,23816.54,487638,5466,2021,2025-02,449841.92
M2242,Email,Small Business,7284.25,136988,9100,150,2025-11,4652.15
M2243,Email,Enterprise,14514.98,420836,29486,1114,2025-05,205763.12
M2244,Social Media,New Customer,16326.18,206637,10939,981,2025-09,218087.2
M2245,Social Media,Small Business,3981.08,191616,2315,867,2025-09,67667.83
M2246,Display,Small Business,19659.28,27350,29909,1064,2025-03,252477.94
M2247,Referral,Returning Customer,16021.05,444809,1014,1952,2025-11,365098.28
M2248,Search,Small Business,4878.55,58773,29402,1862,2025-12,458706.81
M2249,Social Media,Enterprise,10396.51,242548,13687,2189,2025-09,153008.16
M2250,Display,Returning Customer,16054.77,486177,8250,1288,2025-11,69378.38
M2251,Display,New Customer,18361.51,322384,8913,2759,2025-08,479704.18
M2252,Email,Small Business,10492.49,61866,3845,1538,2025-04,216642.13
M2253,Referral,Student,18089.94,464022,26103,1024,2025-03,213326.07
M2254,Search,Enterprise,6590.83,300174,29057,2671,2025-12,324630.2
M2255,Display,Student,7694.57,124790,22054,867,2025-09,22063.61
M2256,Email,Student,393.06,131479,6708,2478,2025-06,332381.17
M2257,Referral,Enterprise,12240.2,430529,16228,2224,2025-11,388816.17
M2258,Referral,Returning Customer,4789.56,296240,21113,2856,2025-07,272034.71
M2259,Referral,Enterprise,15091.06,200223,321,2935,2025-06,404963.21
M2260,Search,Student,24144.86,149088,18991,412,2025-01,66235.91
M2261,Email,New Customer,24991.29,435747,7980,871,2025-11,162502.42
M2262,Search,New Customer,9422.68,177082,22033,1495,2025-01,116641.1
M2263,Display,Small Business,18367.28,274661,26717,822,2025-05,70274.0
M2264,Search,Enterprise,24021.61,39672,10632,465,2025-08,83479.12
M2265,Search,Student,13133.2,124405,7464,2681,2025-08,280775.35
M2266,Social Media,Enterprise,8414.88,394406,12161,10,2025-08,1938.41
M2267,Display,Small Business,3979.09,382996,850,794,2025-11,67654.05
M2268,Search,Returning Customer,4483.98,492154,7683,2581,2025-07,502912.96
M2269,Display,New Customer,21366.85,58460,6946,1246,2025-11,75318.61
M2270,Email,Student,6549.0,259763,774,806,2025-07,102180.6
M2271,Social Media,Returning Customer,6839.56,72540,22702,2976,2025-06,202636.78
M2272,Referral,Student,18691.85,373474,13981,2004,2025-05,282698.66
M2273,Display,Enterprise,20936.49,74935,25794,2402,2025-06,438453.95
M2274,Display,Returning Customer,5290.21,61525,8717,1068,2025-06,153441.2
M2275,Search,Enterprise,17246.85,420326,8572,749,2025-12,45694.25
M2276,Search,Enterprise,11220.2,64517,12951,1294,2025-02,300598.94
M2277,Display,Enterprise,6990.89,435754,6982,2857,2025-06,74490.66
M2278,Display,Returning Customer,13053.85,373919,22817,1782,2025-02,337462.5
M2279,Search,Returning Customer,19459.5,286730,25126,2530,2025-01,474587.37
M2280,Referral,Returning Customer,2577.34,73243,20340,2836,2025-06,642674.38
M2281,Social Media,Enterprise,1870.99,140407,5902,2922,2025-06,639240.73
M2282,Social Media,Small Business,22802.16,102500,23305,2819,2025-04,165785.59
M2283,Display,Returning Customer,24088.8,197710,10912,1209,2025-08,287593.93
M2284,Display,Student,13261.22,101637,29509,2846,2025-01,167833.41
M2285,Search,New Customer,3676.01,92618,11430,2001,2025-09,303869.74
M2286,Referral,New Customer,2056.1,165553,18036,2718,2025-05,163629.18
M2287,Referral,Student,3984.33,2903,11892,1145,2025-01,126296.54
M2288,Social Media,Student,7137.44,453981,26356,27,2025-12,5490.23
M2289,Display,Student,17128.05,419978,2269,1326,2025-07,312427.46
M2290,Referral,Enterprise,2845.09,135330,29428,898,2025-06,87284.62
M2291,Referral,Returning Customer,3509.76,98120,25317,2013,2025-08,247795.43
M2292,Search,New Customer,17854.52,437087,1072,1857,2025-07,381671.99
M2293,Display,Small Business,6509.4,40467,6466,1244,2025-09,197970.47
M2294,Display,New Customer,5479.8,382618,9904,2007,2025-09,455476.7
M2295,Referral,Small Business,14607.9,66771,11020,1257,2025-04,124399.78
M2296,Social Media,Returning Customer,2061.83,38779,17589,2209,2025-08,148446.61
M2297,Email,Enterprise,15764.75,463104,19126,1625,2025-10,241082.33
M2298,Display,New Customer,578.67,275023,5202,844,2025-02,109730.86
M2299,Display,Student,5902.37,182251,24112,321,2025-10,71655.25
M2300,Referral,Enterprise,11317.39,23572,132,300,2025-05,13504.23
M2301,Email,Enterprise,15810.46,324395,17620,2957,2025-02,104172.04
M2302,Email,New Customer,5175.8,283130,22472,2358,2025-09,151254.6
M2303,Search,Returning Customer,21992.01,16611,10862,2480,2025-10,436880.54
M2304,Display,Enterprise,22983.73,356657,12433,1914,2025-07,188006.67
M2305,Referral,New Customer,12070.02,265028,178,1447,2025-08,67898.86
M2306,Display,Student,6883.05,428988,4274,2480,2025-06,556640.98
M2307,Display,Returning Customer,2851.05,373588,14862,2267,2025-06,445506.82
M2308,Social Media,Student,23473.49,299166,3657,768,2025-04,172022.97
M2309,Search,New Customer,3425.98,33727,16876,2992,2025-10,150117.9
M2310,Email,New Customer,7537.37,105344,27252,342,2025-06,32802.75
M2311,Display,Small Business,8291.07,150164,10797,1549,2025-02,256597.89
M2312,Email,Returning Customer,6782.1,474125,21228,337,2025-03,14408.94
M2313,Email,Small Business,151.21,161687,18892,2171,2025-05,538621.0
M2314,Email,Student,5256.81,262131,22062,1144,2025-09,284148.64
M2315,Referral,Enterprise,18737.89,443756,23639,254,2025-11,35988.03
M2316,Email,Student,5214.51,17153,21165,2404,2025-02,597593.53
M2317,Social Media,Enterprise,19125.45,332915,1085,2868,2025-02,676292.76
M2318,Referral,Returning Customer,10455.67,444022,24131,1050,2025-07,170133.98
M2319,Email,Small Business,2117.4,432815,24346,497,2025-12,21887.49
M2320,Search,New Customer,20691.78,254391,12002,913,2025-04,48803.56
M2321,Email,Student,15915.28,188395,17722,2402,2025-08,220787.06
M2322,Search,Student,15341.93,93095,24672,2566,2025-09,539707.85
M2323,Referral,New Customer,3840.53,295973,9779,1463,2025-01,214216.3
M2324,Social Media,Student,15621.42,449891,5099,1635,2025-05,346523.78
M2325,Search,Small Business,19934.08,259353,20822,1933,2025-02,357985.7
M2326,Referral,Returning Customer,24909.69,330540,9709,1099,2025-12,229000.46
M2327,Search,Enterprise,16803.9,138775,21121,1788,2025-01,151579.72
M2328,Referral,Returning Customer,10861.24,370806,12156,178,2025-02,32505.91
M2329,Social Media,New Customer,20489.98,211787,22742,1246,2025-10,52865.94
M2330,Social Media,New Customer,1354.48,180790,5313,2180,2025-02,392773.06
M2331,Email,New Customer,10540.23,123242,12391,2856,2025-04,384482.02
M2332,Social Media,Student,18331.82,328861,16321,2685,2025-07,269765.48
M2333,Email,Student,9050.1,9081,17302,930,2025-07,168935.57
M2334,Search,New Customer,1567.04,464393,25200,619,2025-12,16413.95
M2335,Email,New Customer,2862.4,484116,14302,693,2025-11,137653.31
M2336,Email,Small Business,4263.02,477886,29885,653,2025-11,95042.79
M2337,Search,Small Business,20798.81,479079,10930,2682,2025-11,326895.51
M2338,Display,Enterprise,18048.73,420468,24911,90,2025-07,12976.43
M2339,Email,Student,19120.26,412282,3894,882,2025-11,75950.33
M2340,Display,Returning Customer,22742.32,211934,14261,1920,2025-09,314548.02
M2341,Search,New Customer,7634.87,88109,27572,323,2025-07,24688.37
M2342,Email,Small Business,18602.58,3829,28012,1151,2025-12,268953.79
M2343,Search,Returning Customer,9178.02,11062,3839,469,2025-02,94017.29
M2344,Referral,Returning Customer,19663.58,352417,10008,861,2025-05,192744.8
M2345,Search,Enterprise,17427.77,98780,19467,1071,2025-05,199118.45
M2346,Referral,Student,24745.98,78442,1499,2000,2025-07,86416.15
M2347,Referral,New Customer,18951.05,435909,12010,2635,2025-05,374847.4
M2348,Social Media,Enterprise,247.05,77943,27669,2955,2025-06,541857.0
M2349,Email,Enterprise,17525.28,77443,24646,1991,2025-12,326237.24
M2350,Display,Student,2630.9,237907,14675,2212,2025-10,396026.87
M2351,Search,Small Business,13697.78,117525,14151,380,2025-10,55300.51
M2352,Social Media,Student,4017.31,38004,10592,1891,2025-05,316613.5
M2353,Email,Student,12418.72,345936,5610,1605,2025-04,242648.61
M2354,Email,Small Business,19836.37,258944,20749,2932,2025-07,124936.57
M2355,Referral,Enterprise,7298.85,239238,4537,1868,2025-05,292678.49
M2356,Email,New Customer,3901.88,120680,22373,2390,2025-08,310326.86
M2357,Referral,Small Business,7930.92,327348,11758,2424,2025-04,335858.41
M2358,Social Media,Small Business,4423.97,282602,23873,359,2025-02,15005.54
M2359,Email,Small Business,4670.69,281967,16056,1690,2025-05,385978.32
M2360,Search,Small Business,17460.91,466192,28902,2679,2025-10,572646.33
M2361,Email,Small Business,17637.66,286665,18889,1030,2025-01,37343.73
M2362,Social Media,Student,13275.62,462813,27629,2362,2025-02,537083.16
M2363,Email,New Customer,6380.32,436493,25468,2987,2025-11,641669.45
M2364,Email,Student,13288.28,53785,21960,2928,2025-05,585015.13
M2365,Email,New Customer,23718.72,109659,11242,778,2025-07,182290.71
M2366,Referral,New Customer,9653.94,343499,1822,980,2025-10,169962.7
M2367,Email,Student,10646.76,70466,23440,2893,2025-08,152095.06
M2368,Social Media,Small Business,12407.15,363690,18305,1185,2025-12,72253.08
M2369,Email,Returning Customer,4542.45,203043,6759,627,2025-03,25823.0
M2370,Email,New Customer,6193.37,155026,1898,1845,2025-10,220174.41
M2371,Email,Enterprise,17304.48,267773,26350,1554,2025-06,96103.02
M2372,Email,Returning Customer,4123.21,147920,16625,0,2025-02,0.0
M2373,Email,Small Business,15152.33,245724,2937,331,2025-06,46765.12
M2374,Search,New Customer,9708.67,381093,25995,1866,2025-07,175549.02
M2375,Social Media,Small Business,7726.45,270385,24117,2678,2025-02,186631.66
M2376,Email,Returning Customer,13788.78,491992,13624,1952,2025-06,356727.15
M2377,Social Media,Returning Customer,5719.57,243604,8056,1468,2025-01,226026.63
M2378,Search,Student,7810.72,407536,6284,2994,2025-08,446377.48
M2379,Search,Small Business,13160.96,259418,19708,2651,2025-08,276832.13
M2380,Email,Enterprise,16466.59,420613,7470,1129,2025-02,220140.78
M2381,Referral,Enterprise,20925.16,466027,16326,2474,2025-07,146664.57
