LoanID,CustomerAge,AnnualIncome,LoanAmount,CreditScore,EmploymentYears,DebtToIncome,LoanPurpose,Defaulted
400101,63,38554,3323,619,27,0.15,Education,1
400102,43,92065,46456,643,10,0.32,Debt Consolidation,0
400103,74,165706,47544,720,20,0.2,Medical,0
400104,70,41597,22384,574,6,0.3,Medical,0
400105,32,51756,58448,821,21,0.22,Debt Consolidation,0
400106,29,66088,37594,614,28,0.08,Debt Consolidation,1
400107,47,84220,43351,618,6,0.48,Home Improvement,0
400108,45,49124,35506,777,7,0.41,Home Improvement,0
400109,43,142914,31887,801,10,0.46,Home Improvement,0
400110,72,84716,26889,642,8,0.48,Medical,0
400111,59,167209,5643,754,30,0.47,Business,0
400112,29,102966,48109,801,19,0.61,Education,0
400113,62,165417,21428,817,7,0.55,Debt Consolidation,0
400114,45,98860,41719,538,24,0.39,Medical,0
400115,45,120222,24267,653,28,0.12,Auto,0
400116,30,139093,36690,562,19,0.05,Debt Consolidation,0
400117,35,41436,57710,725,23,0.1,Auto,0
400118,57,143698,7183,560,29,0.57,Business,1
400119,64,75897,48696,690,26,0.59,Debt Consolidation,0
400120,71,175301,6069,683,21,0.42,Business,0
400121,23,109227,43411,646,29,0.56,Education,0
400122,44,170735,27927,555,5,0.6,Home Improvement,0
400123,44,71969,37491,661,2,0.11,Auto,0
400124,29,135697,26577,619,4,0.16,Education,0
400125,70,132679,25170,720,30,0.36,Medical,0
400126,53,38182,19838,717,15,0.12,Home Improvement,0
400127,34,66368,25935,839,32,0.23,Education,0
400128,23,43064,14638,734,4,0.2,Education,0
400129,26,176652,6282,807,10,0.49,Education,0
400130,36,153923,23513,598,12,0.19,Debt Consolidation,0
400131,55,74059,5055,849,28,0.09,Home Improvement,0
400132,37,91516,37737,697,2,0.59,Debt Consolidation,0
400133,25,76428,41286,816,25,0.12,Medical,0
400134,42,40302,5841,577,25,0.41,Home Improvement,0
400135,36,63684,3293,578,23,0.56,Medical,0
400136,33,90938,41937,527,5,0.5,Home Improvement,0
400137,63,83196,54029,556,19,0.3,Debt Consolidation,1
400138,32,67645,46378,578,5,0.45,Auto,1
400139,30,169436,7512,747,24,0.48,Debt Consolidation,0
400140,30,128654,53771,766,28,0.38,Home Improvement,0
400141,72,51175,37892,830,2,0.62,Business,1
400142,68,93462,56623,678,0,0.61,Business,0
400143,34,161244,23498,546,27,0.49,Auto,0
400144,53,53072,20058,796,27,0.55,Auto,1
400145,59,90387,37773,825,25,0.55,Business,0
400146,61,154010,50020,611,4,0.52,Auto,0
400147,65,158933,30256,743,5,0.53,Home Improvement,0
400148,61,34066,40379,527,13,0.25,Education,0
400149,48,57265,25953,557,0,0.3,Business,1
400150,42,129830,41319,794,27,0.32,Auto,0
400151,38,35565,55131,731,29,0.39,Auto,0
400152,35,137633,11678,595,11,0.53,Auto,0
400153,37,28194,37773,551,24,0.47,Education,1
400154,22,69976,32420,561,28,0.12,Business,0
400155,29,94529,59583,580,1,0.16,Medical,0
400156,33,101552,54965,839,21,0.11,Debt Consolidation,0
400157,41,131824,18134,847,28,0.13,Medical,0
400158,34,120106,9289,840,2,0.62,Debt Consolidation,0
400159,61,39695,3809,558,15,0.08,Home Improvement,0
400160,35,125130,8229,754,30,0.36,Business,1
400161,22,114298,30383,547,20,0.06,Education,0
400162,47,85889,26638,820,32,0.29,Debt Consolidation,0
400163,54,164877,22772,811,22,0.44,Business,0
400164,41,163537,3478,787,7,0.54,Medical,0
400165,57,52094,12546,702,27,0.44,Medical,0
400166,68,119571,51683,530,3,0.58,Medical,1
400167,33,62878,20636,633,31,0.2,Medical,0
400168,62,53040,11916,814,13,0.35,Business,0
400169,27,82086,11635,520,32,0.32,Business,0
400170,55,132232,32876,826,23,0.26,Auto,0
400171,44,79978,40186,529,6,0.08,Auto,1
400172,71,58818,55867,614,1,0.16,Debt Consolidation,1
400173,67,72985,32079,811,18,0.16,Auto,0
400174,21,128957,50916,637,32,0.22,Auto,0
400175,62,138841,24081,843,14,0.32,Business,0
400176,41,109121,16443,633,30,0.21,Auto,0
400177,61,116911,35180,747,5,0.38,Business,0
400178,40,171034,54498,677,2,0.22,Home Improvement,0
400179,39,39270,54385,685,2,0.41,Home Improvement,0
400180,41,56667,48215,796,20,0.19,Business,0
400181,38,175932,44463,635,20,0.45,Education,0
400182,59,153206,2204,595,12,0.53,Auto,1
400183,45,147865,32865,644,33,0.35,Debt Consolidation,0
400184,40,140044,29907,674,33,0.48,Debt Consolidation,0
400185,57,93168,24775,618,17,0.48,Auto,1
400186,51,128831,47934,633,13,0.33,Education,0
400187,41,175127,27805,595,1,0.28,Education,0
400188,68,93275,6334,718,13,0.22,Business,0
400189,36,39155,22989,720,10,0.2,Business,0
400190,27,56350,31231,705,1,0.14,Medical,0
400191,61,56405,25303,725,3,0.18,Medical,0
400192,60,108493,28130,552,1,0.5,Business,1
400193,63,174182,39527,786,10,0.1,Business,0
400194,52,32029,9038,669,14,0.46,Auto,0
400195,27,63368,8448,798,13,0.21,Debt Consolidation,0
400196,60,101785,38471,608,34,0.56,Home Improvement,1
400197,32,31135,10591,684,2,0.49,Medical,1
400198,72,156868,17076,697,2,0.17,Auto,0
400199,73,44726,11781,724,16,0.49,Education,0
400200,54,138798,38672,734,21,0.38,Medical,0
400201,73,179095,56316,706,33,0.47,Home Improvement,0
400202,38,158141,54494,728,29,0.1,Debt Consolidation,0
400203,33,88263,20952,763,13,0.37,Business,0
400204,21,99578,35449,636,3,0.2,Debt Consolidation,0
400205,54,129766,54305,567,27,0.6,Debt Consolidation,1
400206,21,156072,53971,621,34,0.34,Auto,0
400207,45,65390,29561,648,3,0.62,Auto,0
400208,74,124560,21125,725,11,0.48,Education,0
400209,29,37422,47753,562,14,0.06,Home Improvement,0
400210,41,104810,32965,566,1,0.11,Home Improvement,0
400211,27,179635,43208,805,32,0.62,Home Improvement,0
400212,74,134578,38991,736,14,0.25,Education,0
400213,39,129188,8340,635,21,0.28,Education,0
400214,51,102761,20310,679,18,0.16,Home Improvement,0
400215,53,101756,13825,631,25,0.06,Business,0
400216,48,154745,2193,831,3,0.11,Medical,0
400217,70,26296,20370,735,31,0.05,Medical,1
400218,74,124218,47952,551,20,0.61,Home Improvement,1
400219,41,27447,35937,533,8,0.48,Home Improvement,0
400220,58,91962,33213,782,32,0.2,Debt Consolidation,0
400221,23,167828,22469,740,20,0.2,Medical,0
400222,64,123582,4487,708,31,0.29,Business,0
400223,41,88906,3157,601,10,0.23,Auto,0
400224,31,28465,31345,801,5,0.55,Medical,0
400225,59,161226,6067,688,9,0.09,Debt Consolidation,0
400226,66,146301,11258,574,1,0.15,Education,0
400227,73,141458,49556,597,33,0.4,Business,0
400228,47,86951,25272,543,7,0.24,Home Improvement,0
400229,55,74703,21860,765,25,0.13,Medical,0
400230,41,54071,5953,784,30,0.52,Auto,0
400231,51,114166,12838,686,29,0.18,Business,1
400232,28,34925,28619,596,18,0.62,Education,1
400233,52,126143,13392,582,15,0.23,Auto,0
400234,43,177848,40074,527,1,0.14,Home Improvement,0
400235,57,128027,33138,598,32,0.4,Home Improvement,1
400236,23,105020,17676,686,20,0.56,Auto,0
400237,74,179381,47458,802,32,0.49,Debt Consolidation,1
400238,30,139917,7941,691,27,0.1,Home Improvement,0
400239,74,95775,51849,689,11,0.26,Auto,0
400240,43,123642,46094,755,18,0.5,Home Improvement,0
400241,59,82410,13177,560,3,0.12,Medical,0
400242,25,32662,20949,741,12,0.3,Home Improvement,0
400243,66,152123,38329,700,21,0.38,Home Improvement,0
400244,63,139367,7813,545,22,0.21,Debt Consolidation,0
400245,60,172230,49710,730,32,0.63,Debt Consolidation,0
400246,23,76051,33099,802,7,0.35,Medical,0
400247,58,138197,7035,652,18,0.59,Education,0
400248,69,67669,8842,754,13,0.38,Home Improvement,0
400249,64,127855,49373,765,21,0.55,Debt Consolidation,0
400250,24,131008,16863,750,16,0.62,Debt Consolidation,0
400251,31,100285,4680,808,34,0.61,Business,0
400252,31,30333,50699,767,17,0.31,Auto,0
400253,68,132644,25964,828,21,0.63,Medical,1
400254,39,94800,30518,817,13,0.23,Home Improvement,0
400255,24,81565,40631,698,28,0.43,Business,0
400256,52,83043,46370,694,6,0.53,Education,0
400257,51,56991,55308,567,28,0.1,Home Improvement,0
400258,65,122786,59556,842,19,0.51,Auto,0
400259,56,86816,12336,606,24,0.64,Business,0
400260,71,37368,38701,824,12,0.18,Education,0
400261,38,39131,2525,541,8,0.54,Education,0
400262,70,109420,41838,713,25,0.39,Education,0
400263,53,73620,10153,685,17,0.6,Business,0
400264,23,88493,30342,744,9,0.32,Business,0
400265,26,100667,30163,827,17,0.53,Debt Consolidation,0
400266,30,177496,2931,712,23,0.48,Medical,0
400267,63,124726,14364,655,6,0.36,Medical,0
400268,39,170750,42756,730,18,0.58,Education,0
400269,21,160992,8116,711,21,0.58,Education,0
400270,65,117421,44505,825,12,0.64,Auto,0
400271,55,112984,50484,675,0,0.21,Auto,0
400272,33,134045,58541,783,2,0.39,Auto,0
400273,72,152950,35406,567,1,0.21,Debt Consolidation,0
400274,53,56143,2185,606,13,0.57,Medical,0
400275,40,94702,29195,786,15,0.47,Business,0
400276,29,134024,38328,687,9,0.53,Home Improvement,0
400277,30,58169,33491,757,11,0.59,Debt Consolidation,0
400278,54,114523,15705,808,1,0.37,Education,0
400279,39,170131,48503,791,2,0.63,Medical,0
400280,73,67077,47287,687,24,0.42,Business,0
400281,35,167370,57067,780,33,0.44,Debt Consolidation,0
400282,58,62041,14993,806,33,0.08,Medical,0
400283,57,51696,48682,583,22,0.14,Auto,0
400284,44,162313,37804,821,33,0.48,Business,0
400285,57,102248,9941,845,5,0.41,Education,0
400286,41,90460,21915,675,6,0.63,Medical,0
400287,53,62899,9528,669,28,0.27,Medical,0
400288,51,64608,8087,589,23,0.54,Auto,0
400289,42,168131,18841,644,3,0.49,Auto,0
400290,47,41170,55584,767,24,0.16,Auto,0
400291,73,38639,36880,826,2,0.16,Business,0
400292,39,143218,25106,772,19,0.16,Medical,0
400293,31,77560,46139,651,3,0.28,Home Improvement,0
400294,33,64172,29516,598,31,0.13,Home Improvement,0
400295,27,92020,51709,671,22,0.57,Medical,1
400296,47,128464,18027,641,14,0.45,Medical,0
400297,44,121954,11705,535,14,0.54,Medical,0
400298,66,101354,18867,561,1,0.08,Auto,1
400299,45,141021,59084,714,12,0.48,Home Improvement,0
400300,67,86493,50175,775,29,0.3,Home Improvement,0
400301,43,80610,35689,579,11,0.51,Debt Consolidation,1
400302,71,29040,2697,826,14,0.43,Home Improvement,0
400303,57,157531,8488,729,12,0.24,Home Improvement,0
400304,42,85402,18737,677,0,0.62,Education,1
400305,42,113633,21394,755,29,0.35,Home Improvement,0
400306,23,117922,39176,648,6,0.31,Home Improvement,0
400307,31,166599,15339,650,6,0.4,Debt Consolidation,0
400308,73,176511,59846,751,15,0.29,Home Improvement,0
400309,44,114561,5356,653,16,0.08,Medical,1
400310,45,79735,51932,835,11,0.47,Debt Consolidation,0
400311,65,135816,46927,757,34,0.41,Auto,0
400312,38,110377,51385,676,14,0.28,Medical,0
400313,70,39647,59190,619,21,0.38,Home Improvement,0
400314,68,132599,10116,825,27,0.22,Home Improvement,0
400315,71,131669,57955,778,26,0.35,Home Improvement,0
400316,48,104308,59718,646,31,0.55,Business,1
400317,59,86759,36709,764,25,0.11,Business,0
400318,30,46249,28124,628,5,0.38,Medical,0
400319,54,156168,45646,724,11,0.54,Debt Consolidation,0
400320,46,128987,25736,554,32,0.56,Education,0
400321,56,167402,13625,582,26,0.05,Business,0
400322,44,126112,39842,766,29,0.25,Medical,0
400323,40,65624,15124,560,8,0.43,Auto,1
400324,67,31307,4628,711,6,0.38,Education,0
400325,53,71232,12849,604,28,0.37,Auto,1
400326,56,39573,51789,549,21,0.07,Home Improvement,1
400327,43,108156,43520,732,33,0.27,Education,0
400328,45,59641,55373,818,8,0.42,Debt Consolidation,0
400329,65,26289,19249,658,8,0.23,Debt Consolidation,0
400330,28,135873,30938,707,4,0.17,Education,0
400331,74,80242,35781,712,27,0.54,Education,0
400332,26,48860,13910,849,8,0.44,Home Improvement,0
400333,52,124350,59999,638,8,0.59,Auto,0
400334,28,152171,19937,649,32,0.51,Medical,0
400335,53,158363,41109,679,4,0.09,Debt Consolidation,0
400336,22,96610,35009,641,10,0.38,Medical,0
400337,23,74491,50116,577,7,0.21,Business,0
400338,22,35164,37186,601,28,0.63,Home Improvement,1
400339,30,115188,27211,728,10,0.35,Medical,0
400340,25,99793,11152,559,28,0.45,Business,0
400341,66,97344,25254,698,12,0.06,Home Improvement,0
400342,69,133681,36559,746,30,0.43,Home Improvement,0
400343,53,29496,16437,761,1,0.08,Business,0
400344,67,139820,17239,718,6,0.25,Auto,0
400345,42,83357,51099,832,24,0.14,Education,0
400346,24,133172,7188,654,12,0.33,Medical,0
400347,39,54728,37126,621,27,0.58,Medical,0
400348,30,118292,49914,567,21,0.42,Education,0
400349,23,61286,45610,704,23,0.19,Medical,0
400350,28,167948,28092,780,0,0.43,Debt Consolidation,0
400351,38,113113,36556,603,30,0.4,Debt Consolidation,0
400352,22,41213,16456,737,31,0.37,Education,0
400353,59,27565,11201,639,17,0.21,Home Improvement,0
400354,30,103647,24804,740,25,0.3,Debt Consolidation,0
400355,40,159744,49278,826,23,0.3,Debt Consolidation,0
400356,72,168343,18574,689,17,0.19,Education,0
400357,50,33451,26746,549,1,0.47,Home Improvement,1
400358,27,84317,8564,711,24,0.53,Business,0
400359,45,164281,38684,803,12,0.21,Auto,0
400360,34,99569,5261,638,15,0.6,Auto,0
400361,30,64972,8354,569,11,0.53,Education,1
400362,34,97170,18058,530,29,0.56,Education,1
400363,53,46409,59228,538,22,0.52,Business,0
400364,29,33070,5029,782,25,0.63,Auto,1
400365,39,123584,25981,792,1,0.14,Education,0
400366,58,44908,48879,787,3,0.1,Education,0
400367,41,25243,36248,667,7,0.58,Education,1
400368,74,137349,11957,718,27,0.34,Medical,0
400369,71,151867,7487,580,8,0.23,Home Improvement,1
400370,67,54432,42342,576,34,0.6,Debt Consolidation,0
400371,51,123158,40256,683,6,0.29,Education,0
400372,23,81079,49174,782,33,0.13,Medical,0
400373,73,58262,20185,757,15,0.11,Medical,0
400374,24,63586,22413,675,23,0.36,Education,0
400375,52,121408,28500,825,19,0.06,Education,0
400376,67,111030,54943,830,6,0.62,Business,0
400377,71,88341,15105,715,5,0.12,Medical,0
400378,33,86856,2893,765,0,0.27,Medical,0
400379,38,161242,25667,528,26,0.24,Business,0
400380,30,135210,39236,625,33,0.28,Auto,0
400381,37,130600,42357,555,26,0.5,Auto,0
400382,44,160353,51273,838,15,0.36,Auto,0
400383,39,124489,13534,744,13,0.1,Education,0
400384,72,116047,8815,645,16,0.11,Home Improvement,0
400385,53,128197,48524,818,21,0.23,Auto,0
400386,26,38223,48399,555,4,0.17,Home Improvement,1
400387,63,164376,40451,547,24,0.34,Home Improvement,0
400388,74,109365,45362,836,18,0.63,Education,0
400389,72,154336,5351,756,5,0.46,Business,0
400390,54,101555,27571,600,5,0.59,Home Improvement,0
400391,60,129196,19319,599,24,0.37,Medical,1
400392,69,66178,34696,759,20,0.44,Business,0
400393,72,118516,59466,751,33,0.21,Education,0
400394,56,67307,20600,614,4,0.14,Home Improvement,1
400395,68,168692,22593,818,19,0.1,Debt Consolidation,0
400396,39,71270,32297,757,21,0.28,Medical,0
400397,56,67131,19508,580,5,0.2,Home Improvement,0
400398,21,63617,58104,698,7,0.13,Education,0
400399,63,73763,6630,666,28,0.6,Home Improvement,0
400400,33,66483,14818,766,23,0.13,Medical,0
400401,45,174816,25725,736,22,0.08,Business,0
400402,32,59971,11354,841,0,0.1,Home Improvement,0
400403,49,37996,16386,704,19,0.05,Auto,0
400404,47,143267,21473,818,10,0.18,Education,0
400405,46,156457,35883,833,13,0.2,Medical,0
400406,28,98287,36510,605,28,0.45,Education,0
400407,44,100151,18361,819,11,0.13,Business,0
400408,40,172578,25975,806,23,0.17,Medical,0
400409,67,171557,53231,725,7,0.59,Medical,0
400410,40,153310,27550,825,34,0.07,Business,0
400411,21,155374,7053,764,32,0.08,Business,0
400412,44,86014,50834,534,1,0.3,Education,0
400413,62,167174,12663,742,10,0.57,Home Improvement,1
400414,44,114519,3714,789,18,0.64,Business,0
400415,43,73399,47003,693,9,0.14,Medical,0
400416,54,66442,43871,605,9,0.42,Medical,0
400417,29,164362,53396,824,30,0.05,Home Improvement,0
400418,52,85865,16254,818,7,0.62,Auto,0
400419,62,170656,30036,615,29,0.41,Business,1
400420,23,41538,19771,697,18,0.19,Medical,0
400421,58,173690,25640,797,4,0.34,Education,0
400422,53,57613,16711,713,21,0.43,Medical,0
400423,33,149073,36163,571,18,0.06,Business,0
400424,58,31378,34906,528,29,0.09,Medical,0
400425,29,25025,58871,577,34,0.63,Medical,0
400426,21,119018,10457,541,5,0.52,Medical,1
400427,33,27244,59956,537,17,0.37,Business,1
400428,57,137095,36439,701,33,0.19,Medical,0
400429,41,91382,39843,735,32,0.1,Home Improvement,0
400430,31,153343,3404,623,4,0.52,Business,1
400431,57,88776,54836,780,3,0.58,Education,0
400432,33,164085,23986,661,19,0.2,Medical,0
400433,54,48793,21612,722,11,0.15,Debt Consolidation,0
400434,21,59299,36720,777,13,0.63,Medical,0
400435,73,46150,55082,829,28,0.32,Medical,0
400436,25,94721,52989,800,5,0.51,Medical,0
400437,60,33176,39702,529,16,0.31,Auto,0
400438,39,145487,38374,716,15,0.21,Business,0
400439,41,162554,21889,750,30,0.34,Auto,0
400440,52,116648,30535,846,20,0.32,Debt Consolidation,0
400441,25,108976,36394,554,21,0.36,Debt Consolidation,0
400442,24,171263,41940,716,12,0.59,Business,1
400443,72,177084,54106,763,26,0.11,Business,0
400444,54,27564,48324,645,6,0.36,Business,0
400445,22,26019,5948,609,23,0.09,Debt Consolidation,1
400446,24,77270,13392,601,19,0.41,Home Improvement,0
400447,43,90077,9869,826,27,0.41,Home Improvement,0
400448,35,31615,52603,613,9,0.61,Business,0
400449,55,133593,45996,733,16,0.56,Auto,1
400450,64,166665,22676,700,17,0.18,Business,0
400451,74,26957,42015,622,21,0.29,Education,0
400452,57,44678,32541,578,16,0.14,Auto,0
400453,22,110982,22263,640,1,0.47,Auto,1
400454,49,175442,27919,714,22,0.4,Education,0
400455,34,44699,28952,618,31,0.57,Education,0
400456,42,37417,19522,811,12,0.46,Education,0
400457,43,152654,14703,641,1,0.11,Home Improvement,0
400458,71,36531,29872,618,0,0.09,Education,0
400459,44,152022,40441,585,21,0.09,Business,0
400460,40,159325,15574,653,5,0.18,Medical,0
400461,50,94852,15222,752,5,0.64,Home Improvement,0
400462,39,146948,49828,833,9,0.19,Home Improvement,0
400463,23,87843,6238,616,20,0.27,Home Improvement,1
400464,72,114650,29105,767,7,0.38,Auto,0
400465,54,139999,44371,747,9,0.26,Medical,0
400466,32,116453,13511,747,0,0.14,Auto,0
400467,54,82783,27995,575,14,0.47,Auto,1
400468,25,38081,21681,813,4,0.54,Auto,0
400469,67,150240,56331,702,31,0.47,Auto,0
400470,27,84833,44485,697,18,0.42,Medical,0
400471,65,132862,18343,648,3,0.16,Auto,0
400472,35,123958,16134,667,34,0.46,Debt Consolidation,0
400473,73,37104,20868,695,27,0.23,Education,0
400474,45,79619,21412,832,8,0.49,Auto,0
400475,38,61439,37493,683,26,0.65,Medical,0
400476,44,121534,17802,689,3,0.27,Business,0
400477,44,127574,26688,809,27,0.52,Debt Consolidation,0
400478,51,106586,28664,719,32,0.36,Auto,0
400479,59,31429,24143,597,12,0.27,Business,1
400480,30,48922,35499,571,4,0.33,Business,1
400481,24,155787,6482,715,21,0.63,Education,0
400482,27,42374,47248,749,17,0.45,Medical,0
400483,74,94232,59511,821,23,0.3,Auto,0
400484,46,151508,57178,707,12,0.6,Home Improvement,1
400485,25,31534,45219,565,3,0.31,Education,0
400486,50,169507,43029,696,2,0.23,Auto,0
400487,23,99104,23307,730,10,0.53,Education,0
400488,28,48390,6853,565,14,0.3,Business,1
400489,71,102305,54394,845,19,0.39,Auto,0
400490,40,137149,9526,662,10,0.18,Education,0
400491,52,119272,31736,848,8,0.23,Home Improvement,0
400492,37,142909,46835,844,33,0.44,Auto,0
400493,68,125359,32871,743,2,0.35,Auto,0
400494,58,62364,6408,710,7,0.34,Auto,0
400495,65,33848,58630,576,12,0.35,Education,1
400496,59,83430,39485,521,13,0.11,Business,0
400497,44,37137,40109,636,34,0.13,Business,0
400498,45,162953,6970,828,33,0.62,Business,1
400499,70,146184,11001,756,4,0.56,Auto,0
400500,74,36049,15696,822,13,0.61,Medical,0
400501,60,72043,29865,540,8,0.53,Debt Consolidation,0
400502,31,59195,42649,681,19,0.36,Auto,0
400503,46,116050,59427,815,0,0.4,Business,0
400504,29,159687,50847,634,19,0.23,Business,0
400505,24,34953,4527,816,28,0.55,Debt Consolidation,1
400506,44,69370,36824,528,32,0.14,Home Improvement,0
400507,32,80037,23243,614,30,0.33,Home Improvement,1
400508,59,102312,55854,579,14,0.31,Debt Consolidation,0
400509,61,141309,49770,810,13,0.32,Home Improvement,1
400510,52,136781,57957,534,14,0.32,Education,0
400511,61,50424,41408,567,7,0.54,Debt Consolidation,0
400512,69,108817,12239,757,7,0.18,Business,0
400513,64,104334,52937,658,29,0.63,Education,0
400514,27,59287,20862,708,15,0.36,Business,0
400515,68,107186,58788,806,8,0.48,Debt Consolidation,0
400516,43,30855,9844,727,34,0.43,Auto,0
400517,36,155112,17081,796,0,0.55,Auto,0
400518,24,124339,21369,563,29,0.07,Business,0
400519,70,141851,56808,754,19,0.07,Home Improvement,0
400520,22,39523,59602,780,24,0.49,Business,0
400521,73,143766,16850,701,2,0.35,Education,0
400522,53,175278,50760,610,33,0.63,Debt Consolidation,0
400523,74,38271,3731,806,6,0.33,Debt Consolidation,0
400524,65,109514,16837,567,25,0.17,Debt Consolidation,0
400525,66,47784,47356,545,2,0.57,Debt Consolidation,0
400526,66,32719,58954,590,19,0.33,Medical,0
400527,35,165142,25675,684,15,0.08,Home Improvement,0
400528,66,174371,38900,798,8,0.5,Education,0
400529,39,102991,15857,744,8,0.28,Education,0
400530,48,88596,59336,607,31,0.56,Education,0
400531,47,144787,47001,761,13,0.12,Education,0
400532,44,106798,55358,827,2,0.09,Medical,0
400533,42,85367,59473,585,31,0.48,Auto,0
400534,57,119685,5838,757,24,0.26,Medical,0
400535,71,59943,32813,758,4,0.49,Medical,0
400536,49,29197,45608,811,34,0.53,Business,0
