CampaignID,Channel,CampaignDate,AudienceSegment,Spend,Impressions,Clicks,Conversions,Revenue
200105,Social Media,2025-12-04,High Value,3794.13,118074,17497,1910,284668.86
200106,Social Media,2025-03-28,New Customers,11376.72,253899,28652,1277,246597.58
200107,Affiliate,2025-05-11,New Customers,12413.09,23149,26174,1718,237563.75
200108,Affiliate,2025-09-12,New Customers,4798.87,216828,13132,1536,213890.73
200109,Email,2025-03-02,High Value,6185.5,24944,20739,166,23828.66
200110,Email,2025-08-17,Returning,14893.24,256144,6824,807,143664.12
200111,Social Media,2025-09-16,Dormant,2188.55,413314,19100,632,79547.82
200112,Social Media,2025-06-06,High Value,9331.61,469251,8993,1483,110362.53
200113,Affiliate,2025-10-14,New Customers,6156.51,213274,18627,249,27972.61
200114,Affiliate,2025-07-18,Dormant,8540.7,196896,24322,795,83049.57
200115,Display,2025-11-23,High Value,16791.07,479800,25385,133,6098.87
200116,Search,2025-02-24,Returning,19592.4,465730,18584,1944,355685.07
200117,Display,2025-04-02,Returning,4017.63,100111,21915,676,128246.72
200118,Search,2025-08-16,Dormant,1691.72,177488,23874,102,8612.95
200119,Social Media,2025-04-20,Dormant,4340.37,406684,2959,698,66267.65
200120,Affiliate,2025-12-26,High Value,17514.89,455657,29087,1142,107776.7
200121,Display,2025-10-08,Returning,17649.48,370559,11530,1944,254069.08
200122,Search,2025-02-19,High Value,6091.49,190255,6250,1362,165862.42
200123,Email,2025-02-07,High Value,6932.28,271552,24599,713,141928.79
200124,Search,2025-11-12,Dormant,13447.77,435325,16173,220,27788.65
200125,Search,2025-03-26,Returning,7164.39,116820,10835,1433,97320.25
200126,Affiliate,2025-06-29,New Customers,18129.43,463649,24148,1872,324399.95
200127,Display,2025-12-06,High Value,16120.71,288305,19296,838,163931.63
200128,Social Media,2025-07-17,New Customers,7477.38,23295,21186,1411,208480.24
200129,Display,2025-03-17,Returning,19459.58,200692,6032,462,81518.52
200130,Social Media,2025-06-22,New Customers,15026.15,86082,15080,145,11096.72
200131,Email,2025-08-13,High Value,15267.34,297068,28547,739,148879.63
200132,Affiliate,2025-04-10,Returning,19226.79,293430,17164,1586,77594.11
200133,Search,2025-04-22,High Value,8898.06,499652,21739,924,186041.68
200134,Display,2025-01-19,Returning,1307.57,496731,28343,1404,143669.6
200135,Display,2025-09-13,High Value,19823.7,245774,24397,1950,100677.35
200136,Social Media,2025-05-13,New Customers,18738.07,252093,16652,1061,72739.58
200137,Display,2025-08-25,High Value,19340.24,431731,25177,1581,344638.78
200138,Search,2025-05-02,New Customers,9740.57,243611,22218,1756,182592.9
200139,Social Media,2025-04-03,High Value,3709.09,272535,5165,1541,274620.48
200140,Search,2025-12-23,High Value,4318.36,379273,14957,1293,159400.16
200141,Social Media,2025-01-30,High Value,9728.56,176913,6749,995,140987.6
200142,Search,2025-11-17,High Value,13670.06,321648,11883,191,29177.3
200143,Social Media,2025-03-17,Dormant,9570.31,472699,13108,1149,168343.36
200144,Affiliate,2025-09-18,High Value,8194.49,49642,26775,92,20210.93
200145,Display,2025-10-21,Dormant,19288.1,316451,8137,943,129205.06
200146,Search,2025-05-19,Returning,13130.43,311441,17687,1566,234804.65
200147,Email,2025-12-06,New Customers,8443.45,412244,1366,555,55295.04
200148,Affiliate,2025-10-12,New Customers,13951.9,295325,13104,826,65672.78
200149,Affiliate,2025-09-27,Dormant,15939.28,16169,2696,1401,165407.35
200150,Search,2025-08-06,Returning,7663.96,129047,1927,154,22889.92
200151,Search,2025-03-15,High Value,9764.18,242639,18168,1381,128727.3
200152,Email,2025-12-13,New Customers,13016.46,344923,21519,1508,192176.61
200153,Search,2025-09-06,Dormant,12933.01,32721,26642,1765,327859.58
200154,Email,2025-04-18,Returning,3922.09,113086,27329,1997,226493.95
200155,Search,2025-08-21,Returning,10190.87,22855,14674,1939,275274.1
200156,Email,2025-08-21,Dormant,5552.89,377572,29174,474,97702.72
200157,Social Media,2025-09-23,Returning,18315.04,406776,12640,468,70338.18
200158,Display,2025-02-08,New Customers,10181.17,78585,21323,1383,127913.14
200159,Display,2025-03-01,Dormant,15448.58,339195,4786,349,49003.28
200160,Search,2025-04-06,Dormant,1360.46,163644,20219,1639,318383.81
200161,Search,2025-08-14,Returning,7941.39,78385,6093,1565,99016.98
200162,Display,2025-04-07,Dormant,3596.44,369957,28720,1650,309130.27
200163,Display,2025-12-09,Dormant,8163.16,497347,29627,617,33061.73
200164,Email,2025-07-30,Returning,16003.28,101891,6934,1397,296272.95
200165,Email,2025-10-05,Dormant,18574.83,466527,11620,1151,74263.79
200166,Social Media,2025-08-10,New Customers,18366.85,196233,18638,1465,177614.79
200167,Social Media,2025-10-02,Dormant,2818.0,314025,7029,1294,272936.37
200168,Email,2025-01-22,Returning,6379.78,322438,21206,1748,128685.67
200169,Social Media,2025-05-07,Dormant,13377.33,437169,25397,406,62418.84
200170,Affiliate,2025-06-11,New Customers,4469.01,280220,26646,113,19368.53
200171,Email,2025-01-26,High Value,1502.79,348329,8074,1846,77543.44
200172,Social Media,2025-01-04,New Customers,19096.82,283815,25672,1569,227386.61
200173,Social Media,2025-06-25,Dormant,6925.23,354085,23633,1941,340843.78
200174,Search,2025-02-14,New Customers,8688.34,79047,1310,1342,287721.84
200175,Search,2025-09-25,High Value,5813.2,170709,4462,776,47081.62
200176,Search,2025-04-02,Returning,6841.42,201370,28927,72,14022.6
200177,Display,2025-10-20,Returning,19298.95,347813,22254,1977,299388.44
200178,Display,2025-06-05,Returning,4239.78,220225,12312,83,14074.89
200179,Display,2025-08-09,New Customers,10151.17,222512,23491,771,132634.82
200180,Email,2025-05-10,High Value,12943.72,36002,19717,648,109483.94
200181,Search,2025-10-29,High Value,4875.4,259223,4892,1041,214211.3
200182,Search,2025-04-21,Returning,14454.84,302496,11724,182,10514.17
200183,Email,2025-08-16,Returning,13808.27,15357,2147,1081,94503.22
200184,Display,2025-08-22,Returning,19117.59,116704,24932,60,12126.61
200185,Social Media,2025-07-20,Dormant,9477.13,159455,1266,1866,222883.1
200186,Affiliate,2025-02-06,Dormant,8001.6,469891,3067,1353,148946.35
200187,Search,2025-02-23,High Value,7541.22,196420,2059,59,7949.96
200188,Display,2025-10-08,Returning,7604.21,422218,5148,805,74428.74
200189,Social Media,2025-04-15,High Value,1234.06,268511,22625,970,141208.97
200190,Search,2025-12-05,New Customers,5106.3,320914,16421,422,83421.98
200191,Search,2025-07-09,Dormant,2840.8,227879,3241,585,63303.74
200192,Affiliate,2025-06-02,Returning,17671.83,424158,21541,1780,130727.12
200193,Display,2025-06-29,New Customers,1596.21,377043,21556,574,36674.85
200194,Email,2025-08-29,High Value,7621.42,255360,3114,808,132576.21
200195,Social Media,2025-07-10,New Customers,4778.63,197614,24742,785,38158.22
200196,Social Media,2025-10-29,Dormant,13089.07,463708,11387,864,42249.38
200197,Display,2025-02-25,New Customers,6863.63,461868,25569,139,29584.5
200198,Social Media,2025-04-24,Returning,823.65,495803,19503,61,9662.54
200199,Email,2025-01-26,Returning,17929.81,461865,14133,1677,117403.55
200200,Social Media,2025-04-20,Dormant,12910.64,100449,795,798,121298.61
200201,Display,2025-06-02,High Value,526.9,74987,6059,1893,268947.51
200202,Email,2025-10-04,High Value,13753.67,167032,6543,1339,239880.66
200203,Affiliate,2025-06-11,High Value,4719.32,75065,544,1563,177215.05
200204,Display,2025-04-12,High Value,19290.58,497026,1917,1897,72299.08
200205,Affiliate,2025-12-27,New Customers,9174.7,420649,4516,700,81500.7
200206,Social Media,2025-01-25,High Value,4852.16,413968,18276,158,25735.51
200207,Email,2025-07-12,Dormant,1089.85,86873,27871,632,134046.88
200208,Social Media,2025-10-15,New Customers,1645.19,207731,27981,1615,307540.23
200209,Display,2025-09-13,High Value,1600.39,360113,3430,437,17172.75
200210,Affiliate,2025-06-12,Returning,1114.05,19630,21197,593,47593.7
200211,Affiliate,2025-09-29,High Value,11195.38,10149,13607,1592,217668.18
200212,Social Media,2025-02-01,New Customers,17008.91,441610,10043,991,44828.93
200213,Display,2025-08-27,New Customers,7248.05,76799,16687,1478,214577.79
200214,Social Media,2025-01-10,New Customers,7300.42,477705,9393,1729,197767.17
200215,Search,2025-12-29,Dormant,2529.05,320260,21579,276,43801.09
200216,Display,2025-11-24,New Customers,523.11,285952,15931,1015,76934.2
200217,Display,2025-03-20,Dormant,19059.23,263754,29697,1889,131523.0
200218,Email,2025-10-03,Dormant,9425.14,67030,1738,1688,344889.41
200219,Search,2025-12-11,Dormant,14879.09,22896,644,612,60317.23
200220,Affiliate,2025-03-31,New Customers,17430.09,271178,7892,987,211854.65
200221,Social Media,2025-11-26,Dormant,2683.32,274944,24696,1280,82612.26
200222,Affiliate,2025-08-28,New Customers,5621.16,61293,17138,1101,191979.83
200223,Display,2025-03-02,New Customers,10288.61,115058,13730,1672,120878.33
200224,Social Media,2025-01-05,High Value,6299.01,163689,23583,310,51902.52
200225,Affiliate,2025-06-09,High Value,1538.78,66072,28306,814,67990.92
200226,Social Media,2025-04-06,Dormant,17910.8,404038,4931,1651,159095.34
200227,Affiliate,2025-10-05,High Value,5371.91,286218,18248,1009,155015.8
200228,Social Media,2025-01-12,Returning,1919.22,283086,10072,1524,62802.81
200229,Affiliate,2025-11-16,New Customers,8735.52,428006,7874,654,52720.91
200230,Affiliate,2025-11-27,High Value,16185.81,305809,14116,1928,373270.18
200231,Social Media,2025-12-10,Returning,3784.74,360442,5014,1012,93727.94
200232,Email,2025-08-23,Returning,9019.42,405226,29572,60,12709.74
200233,Social Media,2025-04-19,Dormant,4117.73,426851,2117,1231,75703.32
200234,Affiliate,2025-07-27,New Customers,16453.29,274366,590,1862,313701.22
200235,Search,2025-01-16,Returning,10695.39,6782,29153,224,14602.1
200236,Display,2025-11-03,High Value,11778.28,340507,3791,706,124465.91
200237,Email,2025-08-03,New Customers,15077.2,389640,3118,1168,86945.33
200238,Social Media,2025-02-01,High Value,18824.22,366001,26699,1580,308454.42
200239,Display,2025-04-25,High Value,2563.08,85652,8151,985,148222.44
200240,Email,2025-05-06,Returning,16988.29,158879,24007,817,161770.04
200241,Search,2025-08-16,Dormant,9747.46,245405,3160,998,150884.93
200242,Display,2025-08-17,New Customers,12989.75,161122,13893,1788,329386.07
200243,Social Media,2025-12-14,Dormant,17129.13,406070,17644,742,145380.09
200244,Search,2025-11-10,Returning,6869.71,278952,24962,1576,191875.21
200245,Social Media,2025-02-14,Dormant,17455.85,453315,1792,1462,233312.37
200246,Display,2025-01-24,Returning,12812.64,204193,18864,1850,73849.5
200247,Social Media,2025-01-13,High Value,5940.71,160819,26861,967,122642.05
200248,Search,2025-01-05,High Value,18435.96,94474,13548,1579,117342.47
200249,Search,2025-03-22,Returning,1627.77,133059,14676,1418,79668.68
200250,Display,2025-06-27,High Value,12015.62,338789,18101,1349,295898.11
200251,Display,2025-06-26,Returning,828.91,444291,2526,493,108192.7
200252,Affiliate,2025-10-16,New Customers,2092.69,488429,20222,528,39277.91
200253,Search,2025-07-05,High Value,2453.32,235025,515,1003,201625.97
200254,Affiliate,2025-06-11,High Value,17938.17,201485,8555,1282,257619.75
200255,Social Media,2025-12-16,Returning,11394.7,193688,27227,1541,332306.19
200256,Display,2025-12-18,Returning,5570.22,294978,4144,1112,119627.4
200257,Email,2025-01-31,High Value,8117.39,263042,2805,168,34846.78
200258,Social Media,2025-12-21,New Customers,16841.94,190741,20221,1706,306467.84
200259,Affiliate,2025-03-20,High Value,11617.24,203263,16563,436,74538.5
200260,Search,2025-10-10,Returning,1116.76,121677,12088,947,76561.15
200261,Display,2025-07-06,New Customers,17488.94,49960,9553,1799,226194.42
200262,Display,2025-01-27,New Customers,11000.05,224473,14908,513,92743.82
200263,Social Media,2025-03-17,New Customers,4325.78,50509,6992,694,133005.73
200264,Social Media,2025-07-15,Dormant,14446.53,109721,13790,951,68091.15
200265,Display,2025-09-11,Dormant,10910.89,436453,11111,177,16386.68
200266,Affiliate,2025-12-20,Returning,4192.12,224075,3972,1176,76524.87
200267,Search,2025-11-04,High Value,13176.72,379680,16449,754,47493.09
200268,Display,2025-03-28,High Value,13007.39,331850,21122,1714,127646.24
200269,Display,2025-05-03,Dormant,19117.08,78133,28676,1356,275575.0
200270,Social Media,2025-07-10,New Customers,5653.15,461941,16041,1167,119117.83
200271,Search,2025-09-12,Dormant,11193.18,190202,498,1904,241919.14
200272,Display,2025-07-31,High Value,6760.02,388911,12850,1468,54545.34
200273,Social Media,2025-08-09,Returning,6314.52,79169,1290,1925,335527.15
200274,Email,2025-11-29,High Value,10360.01,49804,13570,546,48259.24
200275,Display,2025-10-11,Dormant,14439.76,252369,11948,64,10577.95
200276,Email,2025-10-07,Returning,12293.87,320109,29663,941,67554.09
200277,Search,2025-09-11,New Customers,2788.04,252733,19843,1208,126541.42
200278,Search,2025-10-05,New Customers,18486.35,246235,17488,24,3138.23
200279,Display,2025-06-17,Returning,14320.51,321991,10147,114,17303.52
200280,Affiliate,2025-07-22,New Customers,11796.87,360689,20749,1314,86069.31
200281,Social Media,2025-04-06,High Value,3312.58,340564,10808,1329,152809.33
200282,Social Media,2025-08-04,High Value,3130.33,482306,29848,1232,45809.77
200283,Affiliate,2025-09-25,High Value,6222.48,128369,19439,272,16197.93
200284,Email,2025-04-14,Returning,18500.35,420232,26374,1400,133998.65
200285,Search,2025-05-29,Dormant,3365.99,239485,14770,811,168944.44
200286,Display,2025-11-19,High Value,13266.0,228965,10135,1094,217058.87
200287,Social Media,2025-06-16,New Customers,13075.08,227691,13006,1243,163965.15
200288,Social Media,2025-04-19,High Value,2292.96,169012,5823,894,131253.27
200289,Display,2025-11-14,High Value,14293.05,418797,2499,975,86123.64
200290,Display,2025-12-04,Returning,9786.22,142159,17622,692,109975.15
200291,Social Media,2025-02-27,New Customers,10264.74,445904,19773,1297,102291.98
200292,Social Media,2025-07-17,High Value,607.07,134512,1057,834,29577.24
200293,Social Media,2025-06-22,New Customers,17987.56,402245,3885,534,113848.07
200294,Display,2025-05-08,Returning,12402.22,450485,11724,151,15945.8
200295,Email,2025-12-01,Dormant,12288.3,427304,16634,1183,155805.04
200296,Social Media,2025-09-28,Returning,8087.78,288556,15844,911,48754.1
200297,Email,2025-11-14,High Value,14184.41,87107,15027,505,66939.55
200298,Social Media,2025-06-15,High Value,16744.04,287230,21304,1058,213647.62
200299,Display,2025-03-05,New Customers,10152.62,50360,5239,645,127300.46
200300,Affiliate,2025-04-18,High Value,11129.12,124365,22333,465,65992.3
200301,Email,2025-04-26,Returning,4562.9,202776,4468,1471,284633.85
200302,Affiliate,2025-09-01,Returning,7387.46,493693,28220,1164,119175.52
200303,Social Media,2025-12-10,Returning,9629.14,309918,6567,579,40887.6
200304,Social Media,2025-07-18,Returning,13394.86,233004,13503,1690,190972.89
200305,Display,2025-07-22,Returning,18668.99,256969,27172,152,28086.86
200306,Affiliate,2025-03-19,High Value,3173.05,52589,28896,850,140903.95
200307,Affiliate,2025-01-28,New Customers,10816.15,382179,18609,1682,178558.82
200308,Social Media,2025-11-01,High Value,12413.77,299654,29305,852,83647.44
200309,Search,2025-08-18,High Value,16597.21,230493,7473,1175,250744.89
200310,Search,2025-10-17,New Customers,16949.76,390920,2930,1835,153634.82
200311,Affiliate,2025-07-20,Dormant,13383.41,80370,23976,896,82437.54
200312,Affiliate,2025-01-20,High Value,4295.24,233137,22002,1633,162073.93
200313,Email,2025-04-17,New Customers,15706.33,464118,4567,1322,237760.39
200314,Social Media,2025-09-01,Returning,11781.72,310064,10914,1485,285535.26
200315,Search,2025-12-24,Returning,19246.01,94254,5455,1334,100264.92
200316,Display,2025-08-11,Returning,19087.72,278579,8709,1418,156497.12
200317,Email,2025-01-22,Returning,11257.44,187215,27328,30,5852.95
200318,Search,2025-07-24,Returning,18895.54,491618,10425,693,64455.94
200319,Social Media,2025-02-16,New Customers,1001.82,208081,24179,1128,123751.66
200320,Social Media,2025-01-25,High Value,18352.34,302377,24746,536,73661.16
200321,Social Media,2025-05-30,New Customers,19308.87,175933,5412,1389,213443.37
200322,Search,2025-04-12,Dormant,19591.98,194613,3478,1693,154349.69
200323,Social Media,2025-11-13,New Customers,15670.95,49008,11085,1676,237213.74
200324,Display,2025-06-29,New Customers,4022.88,333431,24633,627,105974.1
200325,Social Media,2025-04-29,New Customers,19505.83,259522,29653,1132,58486.5
200326,Email,2025-05-28,New Customers,8845.13,447532,4459,1439,316399.48
200327,Display,2025-07-27,Dormant,9689.03,427407,3145,644,133667.64
200328,Email,2025-01-20,Returning,794.96,226203,19812,1049,66391.08
200329,Email,2025-04-15,Dormant,7194.89,364104,12476,1231,118681.03
200330,Affiliate,2025-04-16,High Value,5514.33,52734,14559,471,41012.23
200331,Affiliate,2025-12-24,Returning,9271.38,37304,27664,1937,75705.29
200332,Social Media,2025-06-22,New Customers,5749.1,42318,15834,1022,130678.62
200333,Display,2025-02-06,High Value,9221.99,387206,15963,1715,110226.85
200334,Search,2025-05-23,New Customers,3377.54,441025,8098,905,54570.07
200335,Affiliate,2025-11-28,Dormant,19064.53,377554,22331,94,6954.42
200336,Display,2025-05-17,Returning,13450.53,242670,22471,75,13164.13
200337,Affiliate,2025-04-11,Dormant,19774.84,313157,28306,1681,99010.53
200338,Display,2025-06-21,Returning,593.94,201607,28387,756,114357.9
200339,Social Media,2025-05-23,New Customers,16798.34,457742,12859,604,53632.11
200340,Email,2025-02-13,High Value,2143.28,70524,2466,372,17727.58
200341,Affiliate,2025-04-30,New Customers,15589.95,258692,17229,156,33683.52
200342,Email,2025-04-28,High Value,18488.19,258347,21086,742,114885.04
200343,Email,2025-12-08,Dormant,3243.25,25179,14540,1067,77536.67
200344,Search,2025-08-27,Dormant,19144.85,492520,23454,1736,223324.58
200345,Search,2025-06-02,Dormant,9007.11,171638,12075,88,9405.43
200346,Social Media,2025-07-21,New Customers,7212.05,233922,14686,1233,83155.24
200347,Display,2025-09-06,High Value,16017.44,172841,21221,573,121946.12
200348,Social Media,2025-12-30,New Customers,17135.04,6787,20675,1851,359047.17
200349,Display,2025-02-19,Dormant,16812.13,208222,26426,320,33058.81
200350,Search,2025-09-10,Returning,12668.43,94847,6275,825,152626.11
200351,Social Media,2025-11-24,New Customers,6275.9,9670,13395,873,61176.89
200352,Display,2025-05-19,High Value,5892.64,302751,22182,1179,57634.53
200353,Search,2025-12-25,High Value,4958.78,230468,19541,1712,226710.45
200354,Display,2025-12-05,Dormant,3356.23,431376,29645,1986,213702.04
200355,Social Media,2025-10-06,Dormant,8155.2,18206,8149,1105,52949.29
200356,Affiliate,2025-03-29,Returning,17192.94,412599,4678,1908,289329.27
200357,Affiliate,2025-05-23,High Value,19925.36,17240,25279,426,79504.44
200358,Social Media,2025-03-04,High Value,14025.1,58303,2615,318,42152.17
200359,Email,2025-05-28,Dormant,3544.96,113070,7161,891,40071.72
200360,Affiliate,2025-12-11,High Value,13634.48,430825,8932,1905,199691.39
200361,Affiliate,2025-09-05,Returning,5869.49,256269,16909,1938,157749.9
200362,Affiliate,2025-01-10,New Customers,14493.87,212490,28715,1192,74477.75
200363,Email,2025-04-22,Returning,5107.57,357884,7915,957,121882.7
200364,Search,2025-08-30,Returning,3699.27,435053,13367,1596,75158.26
200365,Search,2025-02-18,New Customers,12872.24,322733,13684,1197,55880.14
200366,Email,2025-02-18,High Value,13860.45,345733,13362,1417,253207.55
200367,Email,2025-11-28,New Customers,4103.05,496655,2126,591,67429.03
200368,Social Media,2025-02-02,Returning,10484.16,174352,14099,516,89145.46
200369,Social Media,2025-03-28,New Customers,17672.66,175830,17977,148,14122.26
200370,Social Media,2025-11-30,Returning,13853.93,117959,28122,336,33526.65
200371,Search,2025-10-06,New Customers,13679.66,62053,13555,1813,207092.51
200372,Display,2025-06-30,Returning,14609.3,250936,27460,1187,108409.96
200373,Affiliate,2025-10-20,Dormant,7325.43,496075,25531,204,28238.33
200374,Social Media,2025-10-05,High Value,4515.94,193892,18167,912,44218.18
