CustomerID,TenureMonths,ContractType,MonthlyCharges,TotalCharges,InternetService,TechSupport,PaymentMethod,SeniorCitizen,ChurnFlag
C700094,18,One year,124.83,1932.19,None,No,Mailed Check,0,False
C700095,8,Two year,106.16,806.48,Fiber,No,Electronic Check,0,False
C700096,6,Month-to-month,41.79,213.8,DSL,No,Electronic Check,0,False
C700097,67,Two year,90.21,6424.43,None,Yes,Electronic Check,1,False
C700098,40,Two year,61.27,2485.72,Fiber,Yes,Electronic Check,0,False
C700099,16,One year,81.06,1408.52,Fiber,No,Mailed Check,0,True
C700100,23,Month-to-month,67.25,1353.33,DSL,Yes,Bank Transfer,0,False
C700101,71,Two year,69.48,5665.95,DSL,Yes,Mailed Check,0,False
C700102,18,One year,104.23,2121.5,DSL,No,Bank Transfer,0,False
C700103,58,Month-to-month,111.12,6834.42,Fiber,Yes,Credit Card,0,False
C700104,0,One year,146.89,0.0,Fiber,No,Credit Card,0,True
C700105,1,Month-to-month,95.7,95.21,Fiber,No,Credit Card,0,False
C700106,64,Month-to-month,133.2,7674.97,Fiber,No,Credit Card,0,True
C700107,56,Month-to-month,89.18,4342.16,DSL,No,Bank Transfer,1,True
C700108,13,Month-to-month,118.79,1442.85,Fiber,No,Electronic Check,0,False
C700109,1,Month-to-month,149.19,126.91,DSL,Yes,Bank Transfer,1,True
C700110,15,Two year,122.5,1840.82,DSL,Yes,Electronic Check,0,False
C700111,23,Two year,124.77,2655.33,Fiber,No,Bank Transfer,1,False
C700112,57,Month-to-month,132.92,8052.58,DSL,No,Credit Card,0,False
C700113,62,Month-to-month,62.03,4204.15,Fiber,No,Mailed Check,0,True
C700114,42,Two year,127.08,5159.44,None,No,Electronic Check,0,False
C700115,53,One year,55.98,3285.65,DSL,No,Bank Transfer,0,False
C700116,38,One year,25.93,1069.81,Fiber,No,Bank Transfer,0,False
C700117,57,Two year,125.86,6203.04,Fiber,Yes,Electronic Check,0,False
C700118,58,Month-to-month,76.82,4355.4,DSL,No,Credit Card,0,True
C700119,44,Month-to-month,73.91,3253.27,Fiber,No,Bank Transfer,1,False
C700120,10,Month-to-month,85.77,775.01,None,No,Electronic Check,0,True
C700121,10,Month-to-month,84.86,735.79,Fiber,Yes,Electronic Check,1,True
C700122,2,Month-to-month,64.8,115.61,None,No,Credit Card,0,False
C700123,63,One year,45.08,3029.77,DSL,No,Credit Card,0,False
C700124,29,Month-to-month,75.16,2009.95,Fiber,No,Electronic Check,0,True
C700125,71,Month-to-month,37.98,2738.14,Fiber,Yes,Electronic Check,1,False
C700126,10,One year,28.1,308.13,Fiber,No,Mailed Check,0,True
C700127,35,One year,131.74,4077.96,Fiber,No,Mailed Check,0,False
C700128,64,Month-to-month,88.75,6083.94,Fiber,No,Bank Transfer,0,True
C700129,11,One year,47.17,454.67,DSL,No,Credit Card,0,True
C700130,15,Month-to-month,89.62,1264.09,Fiber,No,Credit Card,1,False
C700131,0,One year,130.78,0.0,None,No,Electronic Check,0,True
C700132,33,Two year,147.12,4914.59,DSL,No,Electronic Check,0,True
C700133,29,Two year,47.12,1202.97,DSL,Yes,Credit Card,0,False
C700134,48,Month-to-month,76.45,4066.5,DSL,No,Mailed Check,0,True
C700135,67,Month-to-month,131.7,7513.07,DSL,No,Credit Card,0,False
C700136,55,Month-to-month,98.86,4836.9,Fiber,No,Bank Transfer,1,True
C700137,33,Two year,122.74,3558.72,Fiber,No,Electronic Check,0,False
C700138,5,One year,49.57,249.75,DSL,Yes,Credit Card,1,False
C700139,28,Two year,65.64,1966.9,DSL,No,Electronic Check,0,False
C700140,71,Month-to-month,145.37,9488.08,DSL,No,Bank Transfer,0,True
C700141,54,One year,137.39,8474.09,Fiber,Yes,Credit Card,0,False
C700142,54,Month-to-month,127.67,7735.16,Fiber,No,Bank Transfer,0,True
C700143,7,Month-to-month,140.98,1129.3,DSL,Yes,Electronic Check,1,False
C700144,13,One year,58.63,790.82,Fiber,No,Credit Card,0,True
C700145,4,Two year,41.0,164.82,Fiber,No,Mailed Check,0,False
C700146,14,Two year,111.38,1567.21,DSL,No,Electronic Check,0,False
C700147,65,Month-to-month,77.81,5308.59,DSL,No,Bank Transfer,1,False
C700148,32,One year,113.72,3972.9,Fiber,Yes,Bank Transfer,0,False
C700149,30,Month-to-month,131.28,4272.29,DSL,No,Electronic Check,0,False
C700150,32,Month-to-month,62.27,2213.7,DSL,No,Electronic Check,0,True
C700151,20,Month-to-month,120.81,2620.89,DSL,Yes,Bank Transfer,0,True
C700152,58,Month-to-month,140.65,8047.69,None,No,Bank Transfer,1,True
C700153,16,One year,83.73,1398.92,None,No,Mailed Check,0,False
C700154,28,One year,37.5,893.17,DSL,No,Mailed Check,0,False
C700155,1,Month-to-month,62.28,55.52,DSL,Yes,Bank Transfer,0,True
C700156,49,Month-to-month,27.17,1246.01,None,Yes,Electronic Check,0,False
C700157,9,Two year,21.84,192.28,DSL,No,Credit Card,0,True
C700158,35,Month-to-month,74.76,2639.95,None,Yes,Bank Transfer,0,False
C700159,25,One year,113.83,2455.3,DSL,Yes,Credit Card,0,False
C700160,68,Month-to-month,97.84,6655.52,None,No,Credit Card,0,False
C700161,23,Two year,134.25,3487.71,Fiber,Yes,Electronic Check,0,False
C700162,49,Two year,91.06,4386.73,Fiber,No,Electronic Check,1,False
C700163,39,Month-to-month,149.34,5780.32,Fiber,No,Credit Card,0,True
C700164,71,One year,85.17,6526.29,DSL,Yes,Mailed Check,0,False
C700165,56,Two year,36.79,1821.14,None,No,Credit Card,1,True
C700166,71,Month-to-month,27.99,1729.52,None,Yes,Credit Card,0,False
C700167,25,Month-to-month,141.0,3295.03,Fiber,No,Credit Card,0,True
C700168,14,Two year,87.01,1255.36,Fiber,No,Electronic Check,0,False
C700169,30,One year,110.49,2947.48,Fiber,No,Mailed Check,0,False
C700170,4,Two year,41.99,186.21,DSL,Yes,Electronic Check,1,True
C700171,20,One year,81.99,1714.97,DSL,No,Bank Transfer,1,False
C700172,1,One year,82.16,80.99,Fiber,Yes,Electronic Check,0,False
C700173,35,Month-to-month,104.48,3865.11,DSL,No,Bank Transfer,0,True
C700174,8,Month-to-month,21.69,161.93,Fiber,No,Electronic Check,0,False
C700175,14,Two year,89.8,1322.88,DSL,No,Bank Transfer,0,False
C700176,30,Month-to-month,145.85,4873.37,DSL,No,Mailed Check,0,True
C700177,53,Two year,72.68,4397.13,Fiber,Yes,Bank Transfer,0,False
C700178,6,Month-to-month,122.26,623.72,Fiber,Yes,Mailed Check,1,True
C700179,23,Month-to-month,63.43,1460.8,Fiber,No,Electronic Check,0,False
C700180,48,Month-to-month,68.44,2928.55,Fiber,Yes,Credit Card,0,False
C700181,35,Month-to-month,104.08,3395.05,DSL,No,Electronic Check,0,False
C700182,23,One year,78.55,1576.63,DSL,No,Electronic Check,0,True
C700183,36,Month-to-month,101.67,3904.76,Fiber,No,Bank Transfer,0,False
C700184,38,One year,36.04,1313.11,Fiber,No,Bank Transfer,0,False
C700185,46,Month-to-month,99.82,5194.12,DSL,Yes,Mailed Check,0,True
C700186,35,Month-to-month,68.65,2061.3,DSL,Yes,Mailed Check,0,False
C700187,67,Two year,104.71,7247.64,Fiber,Yes,Electronic Check,0,False
C700188,43,Month-to-month,118.85,5628.15,None,No,Credit Card,0,False
C700189,26,Month-to-month,94.59,2133.96,Fiber,Yes,Credit Card,0,False
C700190,67,Month-to-month,139.78,8941.57,Fiber,No,Electronic Check,0,True
C700191,25,Month-to-month,55.64,1552.89,DSL,Yes,Mailed Check,0,False
C700192,8,One year,116.31,850.24,DSL,Yes,Electronic Check,1,False
C700193,69,Month-to-month,132.44,9226.44,DSL,Yes,Electronic Check,0,True
C700194,43,One year,127.66,5354.28,DSL,No,Electronic Check,0,False
C700195,27,Two year,22.82,539.91,DSL,No,Bank Transfer,0,False
C700196,11,Month-to-month,38.93,401.07,DSL,No,Bank Transfer,0,False
C700197,11,One year,93.89,953.66,Fiber,No,Credit Card,0,True
C700198,65,Month-to-month,107.34,7016.84,DSL,No,Bank Transfer,0,True
C700199,28,Two year,104.03,2868.69,DSL,No,Electronic Check,0,True
C700200,50,Month-to-month,40.91,2129.82,None,Yes,Mailed Check,0,False
C700201,50,One year,142.5,6110.5,Fiber,Yes,Mailed Check,0,True
C700202,27,Month-to-month,124.31,3348.26,DSL,Yes,Credit Card,1,False
C700203,48,Month-to-month,145.19,6347.51,Fiber,No,Bank Transfer,0,True
C700204,15,Month-to-month,68.96,995.49,Fiber,Yes,Electronic Check,0,False
C700205,59,Two year,46.01,3069.9,DSL,No,Credit Card,0,False
C700206,17,Month-to-month,105.78,1979.77,Fiber,Yes,Credit Card,0,False
C700207,32,Month-to-month,133.16,3692.61,DSL,Yes,Bank Transfer,0,True
C700208,33,Month-to-month,90.22,3162.02,DSL,No,Credit Card,0,False
C700209,35,Month-to-month,149.37,4752.18,Fiber,No,Electronic Check,1,True
C700210,39,One year,117.53,4548.8,DSL,Yes,Mailed Check,0,False
C700211,15,Month-to-month,20.79,317.23,DSL,No,Credit Card,0,False
C700212,67,Month-to-month,67.85,4938.7,DSL,Yes,Bank Transfer,0,False
C700213,55,Month-to-month,31.55,1812.72,None,No,Mailed Check,0,True
C700214,45,Month-to-month,77.49,3130.33,DSL,Yes,Electronic Check,0,False
C700215,1,Month-to-month,75.48,82.38,DSL,No,Mailed Check,0,False
C700216,2,Month-to-month,132.19,296.68,DSL,No,Credit Card,0,False
C700217,63,Month-to-month,96.21,6842.22,None,No,Bank Transfer,1,False
C700218,36,Two year,149.07,4952.81,DSL,No,Electronic Check,0,False
C700219,60,Two year,131.81,8656.09,Fiber,Yes,Credit Card,0,False
C700220,69,Month-to-month,57.32,4412.3,Fiber,No,Mailed Check,0,False
C700221,29,Month-to-month,95.3,2709.79,DSL,No,Bank Transfer,0,True
C700222,38,Month-to-month,148.02,4881.57,DSL,No,Bank Transfer,1,True
C700223,27,Month-to-month,61.99,1767.94,DSL,No,Mailed Check,0,False
C700224,6,Month-to-month,80.14,434.64,Fiber,Yes,Credit Card,0,False
C700225,50,Month-to-month,81.84,4165.66,DSL,No,Bank Transfer,1,True
C700226,46,Month-to-month,32.3,1695.14,None,No,Electronic Check,0,False
C700227,31,Month-to-month,138.08,3779.53,Fiber,No,Bank Transfer,0,True
C700228,60,Month-to-month,25.7,1700.09,DSL,Yes,Electronic Check,0,False
C700229,5,Month-to-month,106.67,516.65,DSL,Yes,Credit Card,0,True
C700230,41,One year,116.57,4726.61,Fiber,Yes,Credit Card,0,False
C700231,68,Month-to-month,129.95,7999.93,DSL,Yes,Mailed Check,0,False
C700232,48,One year,94.2,4169.63,DSL,No,Credit Card,0,False
C700233,63,Month-to-month,82.2,5303.39,DSL,No,Credit Card,1,True
C700234,10,Month-to-month,144.68,1304.12,Fiber,No,Bank Transfer,0,True
C700235,18,One year,141.03,2756.21,DSL,No,Electronic Check,0,False
C700236,43,Month-to-month,124.38,6038.92,Fiber,No,Bank Transfer,0,True
C700237,2,Month-to-month,109.47,222.13,Fiber,No,Mailed Check,0,False
C700238,56,One year,70.64,3408.49,Fiber,Yes,Electronic Check,0,False
C700239,60,Two year,65.57,4324.01,Fiber,No,Credit Card,0,False
C700240,37,Month-to-month,40.67,1691.77,Fiber,Yes,Bank Transfer,0,False
C700241,38,Month-to-month,149.28,5139.11,Fiber,Yes,Mailed Check,1,True
C700242,12,One year,70.86,835.84,Fiber,No,Bank Transfer,0,False
C700243,27,Month-to-month,122.98,2968.61,Fiber,Yes,Credit Card,0,False
C700244,50,Month-to-month,40.45,1741.83,DSL,No,Mailed Check,1,False
C700245,56,Month-to-month,88.37,5414.86,DSL,No,Mailed Check,0,False
C700246,44,Month-to-month,67.01,3085.87,Fiber,Yes,Mailed Check,0,False
C700247,36,Month-to-month,143.19,5657.49,DSL,No,Credit Card,0,False
C700248,49,Month-to-month,117.63,6441.33,Fiber,Yes,Mailed Check,0,True
C700249,24,Two year,27.57,650.81,Fiber,Yes,Mailed Check,0,False
C700250,25,Month-to-month,46.68,1324.61,DSL,No,Mailed Check,0,False
C700251,23,Two year,26.28,546.13,DSL,Yes,Mailed Check,0,True
C700252,71,Month-to-month,34.74,2766.08,Fiber,No,Mailed Check,0,True
C700253,3,One year,35.54,111.43,None,No,Bank Transfer,0,True
C700254,33,Month-to-month,94.29,3302.68,DSL,No,Electronic Check,1,True
C700255,47,Two year,120.45,4883.49,Fiber,No,Credit Card,0,False
C700256,68,One year,54.06,3839.2,Fiber,No,Bank Transfer,1,False
C700257,50,Month-to-month,28.99,1410.58,Fiber,Yes,Credit Card,0,False
C700258,39,Month-to-month,45.6,1544.18,None,No,Electronic Check,0,False
C700259,60,Month-to-month,81.7,5506.73,Fiber,Yes,Electronic Check,0,False
C700260,28,One year,31.45,900.74,DSL,Yes,Mailed Check,0,True
C700261,6,Month-to-month,147.74,841.09,Fiber,No,Credit Card,0,False
C700262,63,Month-to-month,53.94,3903.64,None,No,Credit Card,0,False
C700263,42,One year,120.47,4450.59,Fiber,Yes,Mailed Check,0,False
C700264,15,One year,135.72,2086.2,Fiber,No,Bank Transfer,0,True
C700265,0,Month-to-month,80.28,0.0,DSL,Yes,Mailed Check,0,False
C700266,37,Month-to-month,76.18,2628.1,Fiber,No,Credit Card,1,True
C700267,35,Month-to-month,60.64,1990.74,Fiber,No,Mailed Check,0,False
C700268,29,One year,100.63,3072.64,DSL,Yes,Mailed Check,0,False
C700269,31,Two year,124.96,4197.31,None,No,Bank Transfer,0,False
C700270,66,Month-to-month,41.56,2801.11,Fiber,No,Mailed Check,0,False
C700271,58,One year,25.39,1555.96,Fiber,No,Mailed Check,1,False
C700272,60,Month-to-month,145.56,9874.32,Fiber,No,Bank Transfer,1,True
C700273,35,One year,100.16,3006.84,DSL,Yes,Credit Card,0,False
C700274,13,One year,41.92,535.29,DSL,No,Mailed Check,0,False
C700275,11,Two year,47.44,580.78,DSL,No,Credit Card,0,False
C700276,55,Month-to-month,136.19,7354.83,DSL,No,Credit Card,0,False
C700277,45,Month-to-month,69.07,3380.19,Fiber,No,Credit Card,0,False
C700278,60,Two year,136.76,6996.69,DSL,Yes,Bank Transfer,0,False
C700279,52,Two year,120.0,6555.79,Fiber,Yes,Electronic Check,0,False
C700280,32,Two year,73.03,2544.41,DSL,No,Bank Transfer,0,False
C700281,52,Two year,53.81,2913.09,DSL,No,Bank Transfer,1,False
C700282,59,Month-to-month,27.3,1538.72,Fiber,No,Mailed Check,0,False
C700283,57,One year,78.04,4493.52,Fiber,No,Electronic Check,0,False
C700284,68,Two year,70.67,5381.35,DSL,Yes,Bank Transfer,0,False
C700285,23,Month-to-month,95.89,2091.1,Fiber,Yes,Electronic Check,1,False
C700286,15,Month-to-month,32.58,424.75,DSL,Yes,Mailed Check,0,False
C700287,22,Month-to-month,45.55,901.48,Fiber,Yes,Bank Transfer,1,False
C700288,1,Month-to-month,143.0,121.94,Fiber,No,Credit Card,0,True
C700289,60,Month-to-month,28.61,1506.04,Fiber,No,Electronic Check,0,False
C700290,41,Month-to-month,98.81,3488.04,DSL,Yes,Bank Transfer,0,True
C700291,33,Month-to-month,138.24,5104.96,DSL,Yes,Mailed Check,0,False
C700292,4,One year,97.83,425.28,DSL,Yes,Mailed Check,0,False
C700293,6,Two year,122.68,753.16,None,No,Mailed Check,1,True
C700294,68,Month-to-month,76.79,5967.16,Fiber,No,Mailed Check,0,False
C700295,28,Month-to-month,98.89,2587.65,Fiber,No,Mailed Check,1,True
C700296,33,Two year,136.52,3923.89,Fiber,Yes,Credit Card,0,False
C700297,20,Month-to-month,90.07,1917.05,None,No,Bank Transfer,0,True
C700298,58,Month-to-month,27.69,1478.38,DSL,No,Credit Card,0,False
C700299,36,Month-to-month,132.53,4556.39,Fiber,No,Mailed Check,0,False
C700300,56,Month-to-month,122.6,6171.76,Fiber,Yes,Electronic Check,0,False
C700301,15,One year,65.86,907.05,DSL,Yes,Mailed Check,0,False
C700302,17,Month-to-month,51.74,975.13,DSL,No,Electronic Check,1,False
C700303,71,One year,97.65,6707.27,DSL,Yes,Credit Card,1,False
C700304,3,One year,129.97,357.54,None,Yes,Credit Card,0,False
C700305,56,One year,24.75,1223.74,Fiber,Yes,Credit Card,0,False
C700306,33,One year,125.75,4515.44,Fiber,Yes,Bank Transfer,0,False
C700307,26,Two year,24.85,591.8,DSL,No,Bank Transfer,0,False
C700308,28,Month-to-month,104.78,3072.69,None,Yes,Mailed Check,1,False
C700309,20,Month-to-month,35.5,628.82,DSL,No,Bank Transfer,0,False
C700310,1,One year,54.2,50.67,Fiber,Yes,Mailed Check,0,False
C700311,42,One year,118.97,5025.86,None,Yes,Electronic Check,0,False
C700312,47,One year,42.98,2266.27,Fiber,No,Mailed Check,0,False
C700313,25,One year,38.96,1076.1,Fiber,No,Bank Transfer,1,False
C700314,65,Month-to-month,127.63,9477.26,DSL,No,Mailed Check,0,True
C700315,45,Two year,66.28,3025.75,DSL,No,Credit Card,0,False
C700316,35,One year,108.61,3741.88,None,No,Credit Card,0,True
C700317,61,Two year,146.84,9128.91,Fiber,Yes,Credit Card,0,False
C700318,56,One year,30.63,1918.36,DSL,No,Mailed Check,0,False
C700319,71,Month-to-month,39.75,2617.01,Fiber,No,Mailed Check,0,False
C700320,6,Month-to-month,63.87,424.35,Fiber,No,Electronic Check,0,True
C700321,60,Month-to-month,130.2,7032.62,Fiber,No,Bank Transfer,0,False
C700322,46,Month-to-month,69.01,2938.77,None,No,Credit Card,0,True
C700323,14,One year,84.9,1156.41,Fiber,No,Mailed Check,0,True
C700324,15,Month-to-month,96.8,1288.98,Fiber,No,Electronic Check,1,True
C700325,30,Month-to-month,29.49,896.85,DSL,Yes,Bank Transfer,1,True
C700326,36,Two year,27.89,983.48,Fiber,No,Electronic Check,0,False
C700327,30,One year,96.89,2579.07,None,No,Mailed Check,0,True
C700328,49,Month-to-month,99.79,5027.14,DSL,No,Electronic Check,0,True
C700329,53,Month-to-month,141.82,6579.3,DSL,No,Mailed Check,0,True
C700330,26,One year,135.44,3040.04,Fiber,No,Electronic Check,1,True
C700331,3,One year,95.71,285.05,DSL,No,Mailed Check,0,False
C700332,60,Month-to-month,77.08,4846.91,Fiber,No,Electronic Check,0,False
C700333,57,Two year,41.4,2045.76,Fiber,Yes,Credit Card,0,False
C700334,32,Two year,138.7,4601.04,Fiber,Yes,Electronic Check,0,False
C700335,4,Month-to-month,100.46,399.04,DSL,Yes,Credit Card,0,False
C700336,48,Month-to-month,35.68,1813.71,Fiber,No,Electronic Check,0,True
C700337,58,Month-to-month,29.46,1563.49,None,Yes,Mailed Check,0,True
C700338,30,Month-to-month,75.37,2127.5,DSL,No,Electronic Check,0,False
C700339,1,Two year,60.16,53.13,Fiber,Yes,Credit Card,0,False
C700340,25,Month-to-month,79.45,2257.17,Fiber,No,Bank Transfer,1,True
C700341,57,Month-to-month,140.58,7088.13,DSL,Yes,Credit Card,1,False
C700342,51,One year,98.72,5591.4,DSL,No,Credit Card,0,False
C700343,15,One year,95.85,1384.31,Fiber,No,Mailed Check,0,False
C700344,43,Month-to-month,41.1,1886.9,Fiber,No,Electronic Check,0,False
C700345,62,One year,128.03,6821.56,DSL,No,Mailed Check,0,False
C700346,30,Month-to-month,60.51,2013.68,DSL,No,Credit Card,0,True
C700347,33,Two year,37.71,1147.22,DSL,Yes,Credit Card,0,False
C700348,3,Month-to-month,89.22,279.5,DSL,No,Credit Card,0,True
C700349,48,Month-to-month,115.19,5817.71,None,No,Credit Card,0,False
C700350,50,One year,135.8,6820.33,Fiber,No,Electronic Check,1,False
C700351,12,One year,28.97,378.76,Fiber,No,Credit Card,0,False
C700352,64,One year,137.01,7867.86,Fiber,No,Bank Transfer,0,False
C700353,17,Two year,77.57,1399.63,DSL,No,Bank Transfer,0,False
C700354,6,Two year,128.71,705.72,Fiber,No,Mailed Check,1,False
C700355,61,Month-to-month,21.13,1248.52,DSL,No,Bank Transfer,1,False
C700356,21,Month-to-month,23.63,570.52,None,No,Mailed Check,0,True
C700357,54,One year,127.27,7835.39,DSL,Yes,Credit Card,0,True
C700358,65,One year,148.09,10046.64,None,Yes,Credit Card,1,False
C700359,54,Month-to-month,93.22,5473.01,Fiber,No,Credit Card,0,False
C700360,44,Month-to-month,58.96,2754.21,DSL,No,Electronic Check,0,False
C700361,6,One year,138.12,941.97,None,No,Mailed Check,0,True
C700362,46,Month-to-month,118.36,4785.06,DSL,No,Credit Card,0,False
C700363,10,Month-to-month,128.2,1318.66,Fiber,Yes,Credit Card,0,False
C700364,20,Month-to-month,145.41,3181.37,DSL,No,Credit Card,0,False
