OrderID,OrderDate,Region,Category,CustomerSegment,Sales,Discount,Profit,Quantity
100048,2025-04-16,South,Technology,Home Office,1169.07,0.3,280.07,11
100049,2025-11-26,Central,Furniture,Consumer,1007.48,0.2,-83.9,8
100050,2025-05-18,South,Technology,Home Office,4863.09,0.0,1058.4,4
100051,2025-06-09,South,Furniture,Consumer,4891.07,0.15,-599.02,4
100052,2025-02-08,Central,Technology,Home Office,2915.73,0.05,655.32,6
100053,2025-04-29,west,Technology,Corporate,2499.48,0.15,98.62,6
100054,2025-07-12,Central,Office Supplies,Corporate,1594.07,0.1,-179.47,5
100055,2025-07-10,West,Technology,Consumer,343.59,0.15,102.9,11
100056,2025-05-27,Central,Furniture,Consumer,3182.12,0.05,33.55,11
100057,2025-07-24,West,Office Supplies,Corporate,4568.85,0.2,408.92,8
100058,2025-01-26,South,Office Supplies,Corporate,4561.29,0.2,-419.29,7
100059,2025-12-02,South,Furniture,Home Office,1208.55,0.15,132.52,4
100060,2025-08-20,East,Furniture,Corporate,4533.17,0.15,243.85,10
100061,2025-04-14,South,Technology,Corporate,4438.51,0.3,862.69,5
100062,2025-10-22,East,Furniture,Corporate,4839.07,0.05,961.22,1
100063,2025-03-07,South,Office Supplies,Corporate,180.57,0.3,26.79,8
100064,2025-05-08,West,Furniture,Consumer,3919.87,0.05,-118.71,9
100065,2025-01-21,West,Office Supplies,Corporate,26.8,0.05,0.09,12
100066,2025-02-27,East,Furniture,Corporate,515.24,0.1,57.8,5
100067,2025-06-11,East,Technology,Consumer,3229.99,0.05,347.92,4
100068,2025-09-13,Central,Office Supplies,Corporate,4426.55,0.3,2.69,12
100069,2025-08-04,Central,Furniture,Consumer,1824.35,0.15,-81.78,4
100070,2025-08-27,South,Technology,Home Office,1122.79,0.1,-74.62,3
100071,2025-07-21,East,Office Supplies,Corporate,290.7,0.0,98.51,12
100072,2025-02-27,East,Office Supplies,Corporate,4987.7,0.05,223.99,6
100073,2025-06-19,Central,Technology,Corporate,2223.33,0.0,-175.12,6
100074,2025-06-08,South,Office Supplies,Corporate,4113.6,0.15,-379.53,1
100075,2025-11-20,West,Technology,Home Office,2065.79,0.3,309.18,2
100076,2025-11-07,West,Technology,Home Office,1708.57,0.1,52.46,10
100077,2025-11-21,East,Furniture,Corporate,4733.51,0.0,-329.31,8
100078,2025-03-09,Central,Furniture,Corporate,4641.94,0.05,-431.35,6
100079,2025-11-02,East,Furniture,Consumer,413.49,0.05,29.67,7
100080,2025-02-23,East,Technology,Consumer,4939.36,0.1,766.81,7
100081,2025-08-24,West,Furniture,Home Office,3109.13,0.3,-245.55,5
100082,2025-04-12,East,Furniture,Consumer,2208.2,0.05,19.5,9
100083,2025-09-27,West,Furniture,Consumer,1172.28,0.0,235.55,5
100084,2025-04-30,East,Furniture,Home Office,613.7,0.05,99.14,1
100085,2025-02-24,East,Technology,Home Office,3194.54,0.3,276.58,12
100086,2025-11-30,South,Furniture,Home Office,4571.5,0.0,1243.9,8
100087,2025-02-02,East,Furniture,Corporate,2052.69,0.15,319.26,11
100088,2025-06-07,Central,Office Supplies,Consumer,2100.87,0.0,114.11,7
100089,2025-07-27,East,Furniture,Consumer,1034.26,0.0,110.35,3
100090,2025-01-08,South,Technology,Corporate,277.44,0.05,49.61,5
100091,2025-03-24,South,Technology,Corporate,2615.37,0.0,-86.88,6
100092,2025-01-28,East,Technology,Corporate,3046.07,0.3,-40.22,3
100093,2025-10-17,East,Technology,Consumer,1106.32,0.15,302.66,9
100094,2025-12-11,South,Office Supplies,Consumer,209.88,0.1,-13.16,7
100095,2025-07-19,East,Office Supplies,Corporate,3301.04,0.15,285.67,3
100096,2025-08-31,South,Technology,Home Office,2013.7,0.0,-49.87,3
100097,2025-02-12,West,Technology,Consumer,4612.19,0.1,1019.53,2
100098,2025-11-11,South,Office Supplies,Consumer,3665.78,0.0,12.08,2
100099,2025-06-29,Central,Furniture,Consumer,3060.01,0.1,-137.89,10
100100,2025-05-15,West,Furniture,Corporate,3087.01,0.05,125.14,3
100101,2025-05-16,Central,Technology,Corporate,593.09,0.2,-74.6,9
100102,2025-11-19,Central,Technology,Corporate,4285.86,0.3,698.59,4
100103,2025-04-01,Central,Furniture,Home Office,3084.56,0.0,146.35,1
100104,2025-01-18,South,Office Supplies,Home Office,1123.75,0.1,170.33,1
100105,2025-01-12,West,Technology,Consumer,290.88,0.2,1.74,6
100106,2025-11-16,East,Office Supplies,Corporate,4145.79,0.05,-160.54,7
100107,2025-05-16,Central,Furniture,Consumer,4836.33,0.0,954.34,3
100108,2025-01-01,East,Office Supplies,Home Office,239.13,0.2,-32.48,4
100109,2025-03-14,South,Technology,Home Office,2077.63,0.2,238.53,8
100110,2025-10-03,South,Furniture,Consumer,51.62,0.15,9.83,11
100111,2025-01-20,Central,Office Supplies,Corporate,633.87,0.3,138.07,5
100112,2025-11-25,West,Technology,Home Office,4644.28,0.05,-278.36,6
100113,2025-04-09,South,Office Supplies,Corporate,4403.22,0.1,639.33,8
100114,2025-09-29,East,Technology,Home Office,3494.14,0.0,377.37,3
100115,2025-03-16,East,Office Supplies,Home Office,183.91,0.0,-6.28,11
100116,2025-01-22,Central,Office Supplies,Corporate,3491.1,0.3,-558.31,2
100117,2025-05-07,West,Technology,Home Office,1044.5,0.0,-68.35,4
100118,2025-05-31,Central,Furniture,Home Office,1609.31,0.15,-28.49,9
100119,2025-09-01,South,Technology,Home Office,4259.86,0.2,741.07,10
100120,2025-04-21,,Technology,Consumer,3577.66,0.0,597.66,6
100121,2025-09-09,East,Office Supplies,Consumer,496.53,0.3,80.74,5
100122,2025-04-20,West,Office Supplies,Consumer,4692.68,0.05,551.9,11
100123,2025-06-17,West,Furniture,Home Office,1790.97,0.15,482.23,9
100124,2025-03-29,South,Technology,Corporate,1908.94,0.3,-151.88,10
100125,2025-06-17,Central,Technology,Corporate,2618.23,0.15,405.05,8
100126,2025-11-26,Central,Technology,Consumer,4427.93,0.05,538.64,12
100127,2025-06-17,Central,Technology,Home Office,3022.42,0.1,-133.4,2
100128,2025-04-11,Central,Technology,Corporate,1933.48,0.05,473.96,8
100129,2025-01-18,Central,Office Supplies,Consumer,82.83,0.15,13.93,7
100130,2025-12-25,East,Office Supplies,Consumer,2878.41,0.3,282.94,11
100131,2025-04-03,Central,Office Supplies,Home Office,3214.86,0.15,179.99,11
100132,2025-03-22,West,Technology,Home Office,1265.3,0.15,98.16,6
100133,2025-01-06,West,Technology,Home Office,1955.77,0.15,509.52,6
100134,2025-02-21,South,Furniture,Home Office,4238.85,0.15,435.1,8
100135,2025-04-18,West,Furniture,Corporate,4951.58,0.05,357.04,1
100136,2025-01-07,Central,Office Supplies,Consumer,394.42,0.15,55.33,7
100137,2025-08-25,West,Technology,Consumer,1075.82,0.05,325.96,6
100138,2025-12-08,Central,Technology,Corporate,3201.21,0.15,228.19,12
100139,2025-07-12,west,Furniture,Corporate,3443.51,0.15,557.48,8
100140,2025-09-06,Central,Office Supplies,Corporate,2153.9,0.3,-308.59,3
100141,2025-09-29,West,Office Supplies,Consumer,4160.01,0.3,293.1,4
100142,2025-04-06,East,Office Supplies,Consumer,3886.0,0.1,871.11,11
100143,2025-10-08,East,Office Supplies,Consumer,3944.61,0.1,-112.28,5
100144,2025-08-03,West,Technology,Home Office,1186.2,0.05,126.72,10
100145,2025-01-04,South,Office Supplies,Consumer,818.58,0.1,71.94,3
100146,2025-11-23,West,Office Supplies,Corporate,1814.67,0.3,-304.38,8
100147,2025-03-15,East,Office Supplies,Home Office,188.81,0.3,-0.24,4
100148,2025-05-26,West,Office Supplies,Corporate,2187.24,0.15,-47.73,9
100149,2025-06-26,West,Office Supplies,Consumer,4875.48,0.3,154.27,1
100150,2025-07-24,West,Furniture,Home Office,3618.93,0.15,378.26,11
100151,2025-01-31,East,Technology,Consumer,3949.35,0.2,459.63,11
100152,2025-11-21,East,Technology,Corporate,2300.24,0.05,-122.1,3
100153,2025-06-08,East,Technology,Corporate,2819.27,0.1,726.02,10
100154,2025-09-25,South,Furniture,Home Office,216.11,0.0,54.62,10
100155,2025-12-04,West,Furniture,Consumer,4904.31,0.15,986.02,1
100156,2025-12-17,West,Office Supplies,Home Office,3353.44,0.0,46.43,3
100157,2025-01-26,East,Furniture,Home Office,1842.05,0.3,233.62,5
100158,2025-01-27,West,Furniture,Home Office,3591.71,0.0,-193.82,1
100159,2025-06-11,South,Office Supplies,Consumer,1850.48,0.2,307.68,11
100160,2025-08-02,Central,Office Supplies,Corporate,2395.27,0.15,661.85,10
100161,2025-01-08,South,Technology,Corporate,4159.82,0.2,879.23,5
100162,2025-12-19,East,Technology,Home Office,28.39,0.1,0.05,3
100163,2025-05-21,South,Technology,Home Office,4877.34,0.2,720.52,4
100164,2025-06-08,East,Office Supplies,Consumer,60847.0,0.3,-30.23,9
100165,2025-07-01,Central,Technology,Consumer,3865.39,0.05,288.18,4
100166,2025-02-17,Central,Furniture,Corporate,919.85,0.3,-50.95,2
100167,2025-07-10,West,Office Supplies,Corporate,3171.06,0.0,-40.76,10
100168,2025-10-18,South,Technology,Corporate,1083.64,0.1,75.67,4
100169,2025-04-03,Central,Technology,Home Office,1903.45,0.0,-110.54,11
100170,2025-07-23,Central,Office Supplies,Corporate,4612.33,0.3,1072.36,3
100171,2025-08-18,East,Office Supplies,Consumer,4251.48,0.1,1283.72,1
100172,2025-05-13,South,Office Supplies,Home Office,3936.14,0.3,543.25,5
100173,2025-10-29,Central,Furniture,Consumer,2965.5,0.3,-399.36,3
100174,2025-12-13,East,Office Supplies,Corporate,4463.01,0.15,796.23,12
100175,2025-03-13,South,Technology,Corporate,3896.01,0.0,1239.53,2
100176,2025-11-18,West,Technology,Corporate,1842.84,0.1,-33.21,7
100177,2025-07-30,Central,Furniture,Consumer,1248.85,0.0,45.68,3
100178,2025-09-20,South,Furniture,Corporate,303.13,0.3,66.04,4
100179,2025-05-02,East,Technology,Corporate,505.87,0.1,33.08,9
100180,2025-06-24,Central,Office Supplies,Consumer,2563.71,0.15,-331.16,3
100181,2025-04-03,East,Furniture,Consumer,2617.83,0.05,547.99,4
100182,2025-03-12,East,Furniture,Home Office,3069.92,0.3,277.0,1
100183,2025-09-23,South,Office Supplies,Corporate,4057.02,0.1,31.74,4
100184,2025-04-06,Central,Office Supplies,Consumer,2824.38,0.1,-275.56,2
100185,2025-07-02,South,Office Supplies,Corporate,3578.66,0.1,793.35,8
100186,2025-09-20,East,Furniture,Home Office,147.7,0.2,-13.13,1
100187,2025-01-10,west,Office Supplies,Corporate,500.43,0.3,68.89,2
100188,2025-06-29,Central,Technology,Consumer,4350.24,0.3,-448.26,7
100189,2025-03-12,East,Technology,Home Office,2717.16,0.05,743.42,7
100190,2025-12-22,South,Furniture,Home Office,2114.01,0.2,167.74,7
100191,2025-10-16,West,Furniture,Home Office,4025.8,0.1,954.66,11
100192,2025-01-06,Central,Furniture,Corporate,1834.87,0.2,-121.18,11
100193,2025-01-24,Central,Technology,Home Office,4050.16,0.0,-264.15,2
100194,2025-05-09,West,Office Supplies,Home Office,626.06,0.0,66.67,5
100195,2025-02-13,South,Furniture,Corporate,2342.76,0.2,595.21,4
100196,2025-02-14,East,Office Supplies,Corporate,3707.21,0.1,918.49,10
100197,2025-09-02,Central,Technology,Corporate,2355.45,0.1,-235.59,3
100198,2025-05-03,Central,Office Supplies,Consumer,1633.28,0.1,160.02,10
100199,2025-06-28,South,Office Supplies,Home Office,2211.13,0.0,314.66,3
100200,2025-08-02,East,Office Supplies,Home Office,1698.34,0.1,-90.0,8
100201,2025-05-18,East,Technology,Corporate,3929.01,0.3,360.75,7
100202,2025-10-20,West,Furniture,Corporate,765.17,0.1,200.44,7
100203,2025-09-27,West,Technology,Home Office,2785.65,0.15,414.3,5
100204,2025-03-16,West,Technology,Corporate,2189.52,0.15,262.92,4
100205,2025-08-07,Central,Office Supplies,Home Office,4458.44,0.0,-307.64,7
100206,2025-09-22,South,Technology,Home Office,4131.87,0.3,473.71,2
100207,2025-09-26,South,Furniture,Corporate,1161.77,0.15,36.01,7
100208,2025-08-14,West,Office Supplies,Consumer,3841.29,0.2,3.62,2
100209,2025-12-02,South,Technology,Corporate,4474.67,0.3,-144.79,3
100210,2025-01-31,West,Office Supplies,Consumer,63157.8,0.2,-318.38,5
100211,2025-07-23,West,Office Supplies,Home Office,4213.95,0.2,-590.07,9
100212,2025-03-15,East,Technology,Home Office,2880.85,0.15,370.91,8
100213,2025-08-28,Central,Office Supplies,Consumer,3072.76,0.0,613.15,10
100214,2025-02-02,West,Furniture,Consumer,1757.49,0.15,243.1,10
100215,2025-05-03,East,Office Supplies,Corporate,1261.66,0.0,-14.45,8
100216,2025-02-04,East,Technology,Consumer,1229.78,0.15,197.02,3
100217,2025-03-29,Central,Furniture,Corporate,1804.81,0.05,-168.54,11
100218,2025-02-03,Central,Furniture,Consumer,4806.92,0.15,1082.06,5
100219,2025-12-07,East,Furniture,Corporate,145.92,0.05,1.07,4
100220,2025-03-23,South,Technology,Consumer,1852.23,0.05,396.37,8
100221,2025-12-12,South,Technology,Consumer,672.11,0.3,167.43,2
100222,2025-12-14,South,Office Supplies,Consumer,2574.88,0.2,565.53,12
100223,2025-04-01,West,Technology,Consumer,3885.17,0.05,160.77,12
100224,2025-06-09,South,Office Supplies,Consumer,457.94,0.1,-27.06,5
100225,2025-04-01,Central,Furniture,Corporate,167.28,0.3,27.39,11
100226,2025-02-20,East,Technology,Corporate,924.65,0.0,33.73,3
100227,2025-07-14,East,Furniture,Home Office,3696.85,0.2,-47.96,11
100228,2025-10-22,Central,Technology,Home Office,1758.21,0.0,-56.08,2
100229,2025-01-20,Central,Office Supplies,Home Office,3961.36,0.05,940.8,4
100230,2025-05-24,South,Office Supplies,Home Office,2646.08,0.1,776.89,8
100231,2025-09-18,East,Office Supplies,Corporate,290.42,0.3,-26.55,3
100232,2025-10-07,Central,Technology,Home Office,835.21,0.3,-65.58,5
100233,2025-03-12,South,Office Supplies,Corporate,700.04,0.3,20.42,12
100234,2025-06-03,East,Technology,Home Office,684.33,0.3,-81.43,11
100235,2025-03-21,South,Technology,Consumer,3001.44,0.15,693.27,1
100236,2025-05-24,South,Furniture,Consumer,1533.44,0.0,339.96,9
100237,2025-02-06,South,Technology,Home Office,246.99,0.15,73.26,8
100238,2025-08-11,Central,Office Supplies,Home Office,2451.95,0.2,-20.32,5
100239,2025-12-01,West,Office Supplies,Home Office,1245.02,0.05,279.8,11
100240,2025-03-28,Central,Technology,Home Office,528.84,0.3,93.64,6
100241,2025-05-10,South,Technology,Corporate,1212.11,0.0,-41.08,10
100242,2025-10-25,East,Furniture,Corporate,3139.94,0.05,625.37,4
100243,2025-04-22,South,Furniture,Consumer,3620.29,0.0,-239.77,8
100244,2025-01-05,,Office Supplies,Consumer,3337.2,0.05,974.64,8
100245,2025-02-13,East,Technology,Home Office,2722.75,0.2,139.78,11
100246,2025-06-19,South,Furniture,Home Office,3053.56,0.1,395.82,11
100247,2025-01-15,South,Furniture,Corporate,4243.59,0.05,828.21,9
100248,2025-05-04,East,Furniture,Home Office,2832.78,0.15,-50.24,2
100249,2025-04-07,East,Office Supplies,Home Office,2663.26,0.1,510.22,10
100250,2025-02-11,South,Technology,Home Office,4260.65,0.3,-632.31,12
100251,2025-09-21,East,Furniture,Home Office,528.42,0.3,-6.05,1
100252,2025-07-27,East,Technology,Home Office,1199.77,0.1,-114.44,4
100253,2025-10-16,East,Technology,Corporate,591.26,0.3,114.96,2
100254,2025-05-03,Central,Office Supplies,Corporate,1877.61,0.3,85.67,10
100255,2025-02-27,Central,Technology,Consumer,190.05,0.3,-14.4,8
100256,2025-02-26,Central,Furniture,Home Office,387.3,0.1,-13.04,12
100257,2025-05-18,East,Technology,Consumer,4744.86,0.0,-329.08,10
100258,2025-11-27,East,Office Supplies,Consumer,3403.97,0.15,791.33,6
100259,2025-06-18,West,Furniture,Corporate,2650.73,0.1,718.56,6
100260,2025-06-10,East,Technology,Home Office,49.82,0.2,3.05,11
100261,2025-03-15,Central,Office Supplies,Consumer,1377.88,0.1,-118.55,9
100262,2025-02-18,West,Technology,Home Office,4364.47,0.15,620.78,2
100263,2025-06-05,East,Furniture,Home Office,4815.53,0.1,985.57,6
100264,2025-09-04,Central,Furniture,Corporate,2528.59,0.05,635.43,7
100265,2025-10-19,East,Furniture,Consumer,3866.29,0.05,601.8,4
100266,2025-10-26,Central,Technology,Corporate,4625.4,0.2,-322.89,6
100267,2025-03-31,East,Furniture,Consumer,1393.84,0.1,169.57,10
100268,2025-05-25,East,Office Supplies,Corporate,4323.08,0.3,-593.06,12
100269,2025-03-11,West,Office Supplies,Consumer,45.15,0.1,5.31,11
100270,2025-09-06,East,Furniture,Corporate,2038.48,0.3,334.64,10
100271,2025-07-24,West,Office Supplies,Home Office,1299.95,0.15,319.17,12
100272,2025-06-18,East,Furniture,Home Office,800.26,0.0,-10.27,11
100273,2025-10-29,Central,Technology,Home Office,4332.12,0.05,805.77,5
100274,2025-11-30,Central,Office Supplies,Corporate,3867.58,0.3,57.47,2
100275,2025-12-02,East,Technology,Consumer,4049.8,0.1,-196.73,9
100276,2025-09-14,Central,Technology,Home Office,1040.59,0.05,15.35,1
100277,2025-06-29,South,Technology,Corporate,3894.96,0.05,363.02,1
100278,2025-02-25,South,Furniture,Home Office,3306.94,0.0,-171.5,11
100279,2025-04-25,South,Furniture,Corporate,172.92,0.0,5.67,8
100280,2025-04-21,Central,Technology,Corporate,4907.1,0.05,532.93,4
100281,2025-03-24,South,Office Supplies,Corporate,1612.45,0.2,177.85,1
100282,2025-08-13,Central,Technology,Corporate,927.84,0.05,307.21,3
100283,2025-09-15,South,Office Supplies,Corporate,3685.36,0.0,895.77,6
100284,2025-01-17,West,Technology,Home Office,2934.66,0.05,715.88,1
100285,2025-01-25,West,Technology,Consumer,4954.08,0.1,-423.94,11
100286,2025-10-04,West,Technology,Consumer,756.72,0.3,41.3,12
100287,2025-02-07,Central,Office Supplies,Corporate,1379.4,0.05,-124.32,5
100288,2025-01-06,Central,Office Supplies,Corporate,1642.05,0.0,329.79,7
100289,2025-08-05,East,Office Supplies,Consumer,1604.96,0.15,55.66,4
100290,2025-11-08,South,Office Supplies,Consumer,2515.24,0.1,465.18,12
100291,01/26/25,South,Office Supplies,Home Office,2040.98,0.2,-14.67,8
100292,2025-09-19,East,Technology,Corporate,1724.94,0.2,484.84,9
100293,2025-05-17,West,Furniture,Corporate,3071.81,0.3,538.38,8
100294,2025-06-28,East,Technology,Corporate,2619.78,0.15,302.33,4
100295,2025-12-11,West,Furniture,Consumer,878.31,0.3,15.75,12
100296,2025-05-09,Central,Office Supplies,Consumer,1888.23,0.1,75.58,8
100297,2025-11-21,west,Office Supplies,Corporate,2402.13,0.05,551.57,9
100298,2025-06-24,west,Office Supplies,Corporate,4011.75,0.1,-424.02,6
100299,2025-05-11,South,Office Supplies,Corporate,1224.32,0.15,-111.08,1
100300,2025-08-15,Central,Technology,Corporate,1891.12,0.0,428.13,10
100301,2025-03-08,Central,Furniture,Corporate,4625.59,0.05,1497.49,7
100302,2025-09-27,West,Furniture,Corporate,2085.27,0.3,303.46,8
100303,2025-04-01,East,Furniture,Home Office,4453.95,0.15,182.5,1
100304,2025-12-15,South,Technology,Corporate,1484.03,0.1,322.68,2
100305,2025-04-21,East,Furniture,Home Office,2830.78,0.0,776.53,3
100306,2025-07-28,Central,Office Supplies,Corporate,4087.91,0.3,-480.02,2
100307,2025-06-10,South,Furniture,Corporate,1930.95,0.3,365.56,9
100308,2025-05-12,Central,Furniture,Consumer,1538.74,0.05,-114.27,8
100309,2025-12-28,West,Furniture,Consumer,2789.51,0.0,651.58,8
100310,2025-05-30,South,Technology,Corporate,1018.74,0.05,253.05,11
100311,2025-03-05,South,Furniture,Consumer,263.84,0.0,71.28,11
100312,2025-12-12,East,Technology,Consumer,3748.37,0.05,499.08,2
100313,2025-01-26,South,Technology,Consumer,2085.16,0.3,372.06,8
100314,2025-05-31,East,Office Supplies,Consumer,3795.68,0.2,744.45,7
100315,2025-01-17,East,Technology,Corporate,1651.53,0.05,295.41,6
100316,2025-12-14,West,Technology,Corporate,2018.84,0.0,557.71,8
100317,2025-06-28,West,Technology,Consumer,108.5,0.15,27.39,3
100318,2025-08-29,Central,Technology,Home Office,1370.45,0.05,208.6,5
100319,2025-01-26,East,Technology,Home Office,876.46,0.1,70.12,9
100320,2025-08-21,East,Technology,Corporate,496.43,0.2,-48.7,11
100321,2025-12-23,West,Technology,Corporate,677.21,0.2,144.47,1
100322,2025-11-27,Central,Office Supplies,Home Office,4369.7,0.15,1.99,2
100323,2025-06-16,West,Technology,Consumer,2349.71,0.05,347.13,4
100324,2025-10-01,West,Technology,Consumer,2518.95,0.0,-185.15,3
100325,2025-03-20,West,Technology,Consumer,4208.55,0.0,430.62,10
100326,2025-09-20,West,Office Supplies,Consumer,3559.73,0.0,972.47,5
100327,2025-06-25,west,Technology,Consumer,438.33,0.15,54.57,3
100328,2025-09-19,East,Technology,Consumer,3400.45,0.05,837.62,8
100329,2025-01-20,West,Technology,Home Office,2496.7,0.1,691.96,12
100330,2025-06-28,South,Office Supplies,Corporate,2922.23,0.15,465.42,11
100331,2025-10-30,Central,Technology,Corporate,840.33,0.15,188.93,4
100332,2025-05-03,South,Office Supplies,Corporate,1006.11,0.15,112.17,11
100333,2025-12-16,South,Office Supplies,Home Office,3874.06,0.1,936.54,7
100334,2025-06-06,West,Technology,Corporate,42.39,0.15,5.5,9
100335,2025-04-20,West,Furniture,Corporate,433.83,0.15,101.15,11
100336,2025-10-03,West,Technology,Corporate,4039.52,0.0,52.59,3
100337,2025-04-25,South,Office Supplies,Consumer,1770.72,0.2,411.83,3
100338,2025-07-20,West,Furniture,Home Office,2645.42,0.0,759.24,2
100339,2025-10-10,East,Office Supplies,Corporate,3678.17,0.2,514.06,8
100340,2025-05-17,South,Furniture,Corporate,4790.07,0.1,86.03,12
100341,2025-01-10,South,Office Supplies,Corporate,303.76,0.3,-39.13,1
100342,2025-06-16,Central,Furniture,Consumer,2422.71,0.0,798.96,12
100343,2025-10-29,East,Office Supplies,Consumer,3214.65,0.1,502.78,11
100344,2025-11-24,Central,Office Supplies,Corporate,1914.82,0.3,-48.06,3
100345,2025-04-13,East,Furniture,Home Office,2589.65,0.0,-26.61,3
100346,2025-05-20,Central,Furniture,Corporate,1560.83,0.15,-70.45,8
100347,2025-05-17,South,Office Supplies,Corporate,580.09,0.2,27.23,11
100348,2025-10-14,Central,Office Supplies,Consumer,4243.53,0.15,821.68,5
100349,2025-08-19,Central,Technology,Home Office,3861.39,0.0,574.75,2
100350,2025-11-05,West,Office Supplies,Home Office,3396.77,0.15,777.15,2
100351,2025-07-26,South,Technology,Home Office,1984.6,0.3,358.93,12
100352,09/24/25,Central,Office Supplies,Home Office,2079.93,0.1,-116.27,4
100353,2025-10-23,Central,Technology,Home Office,2174.12,0.05,326.19,4
100354,2025-09-14,South,Office Supplies,Corporate,642.21,0.1,175.42,12
100355,2025-02-04,Central,Office Supplies,Consumer,3862.19,0.2,802.41,6
100356,2025-01-12,Central,Office Supplies,Consumer,3503.19,0.0,-96.72,8
100357,2025-10-30,South,Furniture,Home Office,2783.46,0.0,-175.27,10
100358,2025-04-28,West,Furniture,Consumer,1104.94,0.05,27.04,11
100359,2025-05-21,South,Technology,Corporate,3628.17,0.2,-356.81,9
100360,2025-06-18,South,Office Supplies,Corporate,3295.97,0.1,-272.38,4
100361,2025-06-24,Central,Technology,Home Office,3086.11,0.0,287.74,12
100362,2025-04-11,Central,Office Supplies,Consumer,3871.12,0.05,558.4,2
100363,2025-07-01,Central,Furniture,Corporate,1044.09,0.0,291.56,2
100364,2025-01-23,West,Technology,Corporate,3702.04,0.3,-100.84,8
100365,2025-09-06,South,Furniture,Home Office,4953.04,0.1,1131.32,7
100366,2025-04-18,East,Office Supplies,Home Office,1782.0,0.3,-304.5,7
100367,2025-03-24,West,Technology,Corporate,4063.11,0.15,-294.39,1
