,Country,Surface area (km2),"Population 1,000  (2017)",GDP (M US$),Life Exp Female,Life Exp Male
47,Croatia,56594,4189,48676,80.4,73.6
48,Cuba,109884,11485,87206,81.3,77.1
49,Cyprus,9251,1180,19561,82.2,77.7
50,Czechia,78868,10618,185156,81.2,75.1
51,Democratic People's Republic of Korea,120538,25491,16283,74.1,67.2
52,Democratic Republic of the Congo,2344858,81340,37569,59.5,56.7
53,Denmark,42921,5734,301308,82.2,78.1
54,Djibouti,23200,957,1737,63.2,60
55,Dominican Republic,48671,10767,67103,76.4,70.2
56,Ecuador,257217,16625,100177,78.4,72.8
57,Egypt,1002000,97553,315917,73,68.7
58,El Salvador,21041,6378,25850,77.1,67.9
59,Equatorial Guinea,28052,1268,13812,58.4,55.5
60,Eritrea,117600,5069,4783,65.6,61.4
61,Estonia,45227,1310,22460,81.2,71.8
62,Ethiopia,1104300,104957,59917,65.5,61.9
63,Faroe Islands,1393,49,-99,84.5,78.3
64,Fiji,18272,906,4391,72.9,66.9
65,Finland,338440,5523,231960,83.7,77.7
66,France,551500,64980,2418946,85,78.8
67,French Guiana,83534,283,-99,82.6,76.1
68,French Polynesia,4000,283,5135,78.6,74
69,Gabon,267668,2025,13735,65.8,63.1
70,Gambia,11295,2101,942,61.6,59.1
71,Georgia,69700,3912,13965,77,68.5
72,Germany,357376,82114,3363600,82.9,77.9
73,Ghana,238537,28834,37156,62.6,60.7
74,Greece,131957,11160,194860,83.3,78
75,Greenland,2166086,56,2078,73.4,68.7
76,Grenada,345,108,954,75.6,70.8
77,Guadeloupe,1705,450,-99,84,76.8
78,Guam,549,164,-99,81.5,76.4
79,Guatemala,108889,16914,63794,75.6,69.2
80,Guinea-Bissau,36125,1861,978,57.7,54.3
81,Guinea,245857,12717,8875,58.4,57.4
82,Guyana,214969,778,3282,68.6,64
83,Haiti,27750,10981,8501,64.4,60.2
84,Honduras,112492,9265,20365,75.4,70.4
85,Hungary,93024,9722,121715,78.8,71.7
86,Iceland,103000,335,16780,83.8,80.6
87,India,3287263,1339180,2116239,69.1,66.2
88,Indonesia,1910931,263991,861934,70.7,66.6
89,Iran (Islamic Republic of),1628750,81163,398563,76.2,74
90,Iraq,435052,38275,164234,71.4,67
91,Ireland,69797,4762,283716,83,78.7
92,Israel,22072,8322,299413,83.7,80
93,Italy,302073,59360,1821580,84.7,79.9
94,Jamaica,10990,2890,14262,77.9,73.1
95,Japan,377930,127484,4383076,86.4,80
96,Jordan,89318,9702,37517,75.5,72.2
97,Kazakhstan,2724902,18204,181754,73.9,64.3
98,Kenya,591958,49700,63399,67.8,63
99,Kiribati,726,116,162,68.9,62.4
100,Kuwait,17818,4136,114054,75.5,73.5
101,Kyrgyzstan,199949,6045,6572,74.3,66.4
102,Lao People's Democratic Republic,236800,6858,12585,66.8,63.9
103,Latvia,64573,1950,27004,78.7,68.8
104,Lebanon,10452,6082,50149,80.9,77.3
105,Lesotho,30355,2233,2008,54.7,50.1
106,Liberia,111369,4732,2053,61.6,59.8
107,Libya,1676198,6375,34457,74.4,68.8
108,Lithuania,65286,2890,41402,79.3,68.5
109,Luxembourg,2586,584,56802,83.4,78.8
110,Madagascar,587295,25571,9739,66,63
111,Malawi,118484,18622,6420,63.1,58.2
112,Malaysia,330323,31624,296284,77.1,72.6
113,Maldives,300,436,3435,77.4,75.4
114,Mali,1240192,18542,13100,56.9,55.6
115,Malta,315,431,9747,82,78.6
116,Marshall Islands,181,53,183,72.5,71.3
117,Martinique,1128,385,-99,84.4,77.8
118,Mauritania,1030700,4420,5023,64.1,61.2
119,Mauritius,1969,1265,11511,77.7,70.7
120,Mayotte,-99,253,-99,82.9,76
121,Mexico,1964375,129163,1140724,78.9,74
122,Micronesia (Federated States of),702,106,315,69.8,67.7
123,Mongolia,1564116,3076,11758,72.7,64.5
124,Montenegro,13812,629,4020,78.8,74
125,Morocco,446550,35740,100359,76,73.7
126,Mozambique,799380,29669,14806,58.1,54
127,Myanmar,676577,53371,62601,68.3,63.7
128,Namibia,824116,2534,11491,64.3,59.1
129,Nauru,21,11,189,64.8,57.8
130,Nepal,147181,29305,20658,70.4,67.4
131,Netherlands,41542,17036,750318,83.1,79.4
132,New Caledonia,18575,276,8937,79.3,73.7
133,New Zealand,268107,4706,173417,83.1,79.5
134,Nicaragua,130373,6218,12693,77.5,71.4
135,Niger,1267000,21477,7143,59.5,57.6
136,Nigeria,923768,190886,494583,52.6,51.2
137,Niue,260,2,-99,76.3,70.1
138,Northern Mariana Islands,457,55,-99,77.9,74.9
139,Norway,386194,5305,386578,83.6,79.5
140,Oman,309500,4636,69832,78.7,74.5
141,Pakistan,796095,197016,266458,66.8,65
142,Palau,459,22,258,77.8,68.1
143,Panama,75320,4099,52132,80.5,74.3
144,Papua New Guinea,462840,8251,21315,67.4,62.6
145,Paraguay,406752,6811,27714,74.9,70.7
146,Peru,1285216,32166,190428,76.8,71.5
147,Philippines,300000,104918,292449,72.1,65.4
148,Poland,312679,38171,477066,81,72.9
149,Portugal,92226,10330,199122,83.5,77.3
150,Puerto Rico,8868,3663,102906,83.2,75.2
151,Qatar,11607,2639,164641,79.4,76.8
152,Republic of Korea,100284,50982,1377873,84.4,77.9
153,Republic of Moldova,33846,4051,6475,75.2,66.7
154,Romania,238391,19679,177956,78.4,71.4
155,Russian Federation,17098246,143990,1326016,75.9,64.7
156,Rwanda,26338,12208,8096,67.1,63.1
157,Saint Lucia,539,179,1450,77.6,72.2
158,Saint Vincent and the Grenadines,389,110,738,74.9,70.7
159,Samoa,2842,196,774,77.4,71.1
160,San Marino,61,33,1565,86.4,81.7
161,Sao Tome and Principe,964,204,334,68.2,64
162,Saudi Arabia,2206714,32938,653219,75.6,72.7
163,Senegal,196712,15851,13633,67.5,63.8
164,Serbia,88499,8791,37160,77.5,71.8
165,Seychelles,457,95,1363,77.9,68.7
166,Sierra Leone,72300,7557,4483,50.7,49.6
167,Singapore,719,5709,292734,84.5,80.1
168,Sint Maarten (Dutch part),34,40,1094,77.1,69.2
169,Slovakia,49035,5448,87268,79.8,72.6
170,Slovenia,20273,2080,42777,83.2,77.2
171,Solomon Islands,28896,611,1075,71.1,68.3
172,Somalia,637657,14742,1559,56.5,53.3
173,South Africa,1221037,56717,314571,63,56.1
174,South Sudan,658841,12576,13167,56,54.1
175,Spain,505944,46354,1192955,85.3,79.6
176,Sri Lanka,65610,20877,82316,78,71.2
177,State of Palestine,6020,4921,12677,74.8,71.1
178,Sudan,-99,40533,79546,65.1,62.1
179,Suriname,163820,563,4879,74.2,67.8
180,Swaziland,17363,1367,4133,58.2,51.6
181,Sweden,438574,9911,495694,83.7,80
182,Switzerland,41291,8476,670790,84.8,80.5
183,Syrian Arab Republic,185180,18270,28393,76.3,64.4
184,Tajikistan,142600,8921,7853,73.5,67.7
185,Thailand,513120,69038,395168,78.4,70.8
186,The former Yugoslav Republic of Macedonia,25713,2083,10052,77.2,73.2
187,Timor-Leste,14919,1296,2873,69.5,66.1
188,Togo,56785,7798,4086,59.8,58.3
189,Tonga,747,108,402,75.6,69.6
190,Trinidad and Tobago,5127,1369,25927,73.8,66.9
191,Tunisia,163610,11532,41199,77.1,73
192,Turkey,783562,80745,717888,78.1,71.5
193,Turkmenistan,488100,5758,37597,70.8,63.9
194,Turks and Caicos Islands,948,35,863,77.8,75.8
195,Uganda,241550,42863,25282,60.7,56.5
196,Ukraine,603500,44223,90615,76,66.1
197,United Arab Emirates,83600,9400,370296,78.2,76
198,United Kingdom,242495,66182,2858003,82.8,79
199,United Republic of Tanzania,947303,57310,45628,64.8,60.8
200,United States of America,9833517,324460,18036648,81.2,76.5
201,United States Virgin Islands,347,105,-99,81.5,76.7
202,Uruguay,173626,3457,53442,80.4,73.2
203,Uzbekistan,448969,31911,69004,73.5,68.1
204,Vanuatu,12189,276,737,73.6,69.4
205,Venezuela (Bolivarian Republic of),912050,31977,344331,78.2,69.9
206,Viet Nam,330967,95541,193241,80.3,70.7
207,Wallis and Futuna Islands,142,12,-99,78.7,72.8
208,Western Sahara,266000,553,-99,70.3,66.9
209,Yemen,527968,28250,29688,65.6,62.8
210,Zambia,752612,17094,21255,61.9,57.5
211,Zimbabwe,390757,16530,13893,59,56.1
